,pathlength,source_article,target_article,shortest_path_distance,top,center_top,center,center_bottom,bottom,success
6974,5,dance,martin luther,3,-0.13149233595179838,-0.14051982213794345,-0.1373270579457025,-1.0646503562306577,0.7993553233770851,1
10111,4,landform,ethiopia,3,-1.0654697942013354,0.7936003215070936,-1.0701545544617668,-0.1298806715834914,-0.138980713319578,1
7283,5,palazzo pitti,margaret thatcher,3,-1.0654697942013354,2.6618406087971676,-1.0701545544617668,-0.1298806715834914,-1.077316750016241,1
9435,5,gangtok,george washington,3,0.8024851222977387,0.7936003215070936,-1.0701545544617668,-0.1298806715834914,-1.077316750016241,1
8273,5,antananarivo,money,3,0.8024851222977387,-0.14051982213794345,0.7955004385703618,-1.0646503562306577,-1.077316750016241,1
9444,4,gas giant,pelycosaur,3,0.8024851222977387,0.7936003215070936,-1.0701545544617668,-1.0646503562306577,-1.077316750016241,1
8835,5,castra,platypus,3,-0.13149233595179838,-1.0746399657829806,-1.0701545544617668,-0.1298806715834914,1.7376913600737482,1
15445,4,richard francis burton,vole,3,0.9634494789594749,0.03466557047099861,0.06637374540520334,-0.894109690166889,-0.8880784227595354,0
8390,5,australian rules football,book of kells,3,-0.13149233595179838,-0.14051982213794345,-0.1373270579457025,-1.0646503562306577,0.7993553233770851,1
10541,5,nash equilibrium,gautama buddha,3,-0.13149233595179838,0.7936003215070936,-1.0701545544617668,-0.1298806715834914,-0.138980713319578,1
13010,4,brain,telephone,3,-0.8576589479364737,-0.8867758799162075,1.946421460506556,-0.894109690166889,0.0464688440407617,0
10792,5,parliament of canada,battle of britain,3,-0.13149233595179838,-0.14051982213794345,-1.0701545544617668,-1.0646503562306577,1.7376913600737482,1
12320,5,zulu,arctic,3,0.8024851222977387,-0.14051982213794345,0.7955004385703618,-1.0646503562306577,-1.077316750016241,1
13606,3,haraldskær woman,graphic novel,3,-0.8576589479364737,0.9561070208582046,0.06637374540520334,-0.894109690166889,-0.8880784227595354,0
10726,4,osama bin laden,war of the spanish succession,3,-1.0654697942013354,0.7936003215070936,-1.0701545544617668,-0.1298806715834914,-0.138980713319578,1
7553,5,white mountain art,mauritius,3,-1.0654697942013354,-0.14051982213794345,-0.1373270579457025,-0.1298806715834914,0.7993553233770851,1
14900,5,boy scout,cryptography,3,1.8740036924074488,-0.8867758799162075,0.06637374540520334,-0.894109690166889,0.0464688440407617,0
11949,5,tiger shark,alexander the great,3,-1.0654697942013354,-0.14051982213794345,1.7283279350864262,-1.0646503562306577,-0.138980713319578,1
9440,4,gas giant,3rd century,3,0.8024851222977387,-0.14051982213794345,-0.1373270579457025,-1.0646503562306577,-1.077316750016241,1
7638,5,irrigation,eagle,3,-0.13149233595179838,1.7277204651521305,-0.1373270579457025,-1.0646503562306577,-1.077316750016241,1
11719,5,theatre,zebra,3,0.8024851222977387,-1.0746399657829806,-0.1373270579457025,-0.1298806715834914,-0.138980713319578,1
16545,5,folic acid,kuru (disease),3,0.9634494789594749,-0.8867758799162075,0.06637374540520334,-0.894109690166889,0.9810161108410588,0
9456,5,geography of india,microsoft windows,3,0.8024851222977387,-1.0746399657829806,-0.1373270579457025,-1.0646503562306577,0.7993553233770851,1
8807,5,cane toad,lille,3,-0.13149233595179838,-0.14051982213794345,0.7955004385703618,-0.1298806715834914,-1.077316750016241,1
16789,4,archaeology,hernán cortés,3,0.05289526551150059,0.03466557047099861,-0.8736501121454731,-0.894109690166889,0.9810161108410588,0
12165,4,washington metro,art,3,-0.13149233595179838,-1.0746399657829806,-1.0701545544617668,-0.1298806715834914,0.7993553233770851,1
9952,5,john constable,petroleum,3,-1.0654697942013354,1.7277204651521305,-0.1373270579457025,-1.0646503562306577,-0.138980713319578,1
16520,5,renormalization,tea,3,1.8740036924074488,-0.8867758799162075,0.06637374540520334,-0.894109690166889,0.0464688440407617,0
13830,3,badger,beach,3,0.05289526551150059,0.03466557047099861,0.06637374540520334,-0.894109690166889,-0.8880784227595354,0
11046,4,rabbit,rain,3,-1.0654697942013354,0.7936003215070936,-0.1373270579457025,-0.1298806715834914,-1.077316750016241,1
7520,5,kookaburra,kuwait,3,-1.0654697942013354,0.7936003215070936,-0.1373270579457025,-1.0646503562306577,0.7993553233770851,1
8215,5,alternation of generations,star,3,-1.0654697942013354,-0.14051982213794345,0.7955004385703618,-1.0646503562306577,0.7993553233770851,1
10386,4,milan,algebra,3,0.8024851222977387,-1.0746399657829806,0.7955004385703618,-1.0646503562306577,-1.077316750016241,1
7898,5,camel,ottawa,3,1.7364625805472758,-0.14051982213794345,-1.0701545544617668,-1.0646503562306577,-0.138980713319578,1
9582,5,guglielmo marconi,bottlenose dolphin,3,0.8024851222977387,0.7936003215070936,-1.0701545544617668,-0.1298806715834914,-1.077316750016241,1
11249,5,sandy koufax,football,3,-0.13149233595179838,1.7277204651521305,-1.0701545544617668,-0.1298806715834914,-1.077316750016241,1
13019,4,florida east coast railway,coconut oil,3,0.05289526551150059,0.03466557047099861,-0.8736501121454731,-0.894109690166889,0.9810161108410588,0
8920,4,cochineal,channel islands,3,-1.0654697942013354,-0.14051982213794345,0.7955004385703618,-1.0646503562306577,-0.138980713319578,1
14197,3,spain,energy,3,-0.8576589479364737,0.9561070208582046,-0.8736501121454731,-0.894109690166889,0.0464688440407617,0
10078,4,kuala lumpur,tungsten,3,-0.13149233595179838,-0.14051982213794345,-1.0701545544617668,-0.1298806715834914,-0.138980713319578,1
12963,4,theatre,zebra,3,1.8740036924074488,-0.8867758799162075,-0.8736501121454731,-0.894109690166889,0.0464688440407617,0
7214,5,british english,beirut,3,0.8024851222977387,-0.14051982213794345,-0.1373270579457025,-1.0646503562306577,-0.138980713319578,1
16159,4,pyramid,bean,3,0.05289526551150059,0.03466557047099861,0.06637374540520334,-0.894109690166889,0.0464688440407617,0
9676,4,henry moore,nazi germany,3,-0.13149233595179838,-0.14051982213794345,-1.0701545544617668,-1.0646503562306577,0.7993553233770851,1
13157,4,theatre,zebra,3,-0.8576589479364737,1.877548471245411,-0.8736501121454731,-0.894109690166889,0.0464688440407617,0
14844,4,deity,salsa music,3,0.9634494789594749,0.03466557047099861,-0.8736501121454731,-0.894109690166889,0.0464688440407617,0
14116,4,dog,venus,3,-0.8576589479364737,-0.8867758799162075,2.8864453180572323,-0.894109690166889,-0.8880784227595354,0
9563,5,greco-buddhism,rocky mountains,3,1.7364625805472758,-0.14051982213794345,-1.0701545544617668,-1.0646503562306577,-0.138980713319578,1
15679,3,obi-wan kenobi,eagle scout (boy scouts of america),3,-0.8576589479364737,-0.8867758799162075,1.0063976029558797,-0.894109690166889,0.0464688440407617,0
13774,3,asteroid,viking,3,0.05289526551150059,0.03466557047099861,-0.8736501121454731,-0.894109690166889,0.0464688440407617,0
14736,4,indo-greek kingdom,princeton university,3,0.9634494789594749,-0.8867758799162075,0.06637374540520334,-0.894109690166889,0.0464688440407617,0
11165,4,romeo and juliet,plant,3,-1.0654697942013354,-0.14051982213794345,0.7955004385703618,-0.1298806715834914,-1.077316750016241,1
