,link,#_clicks,in_image,#_link_in_img,#_link_in_article
87,abbot,2,0,0.0,12.0
88,abel tasman,2,0,0.0,3.0
89,aberdeen,6,0,0.0,22.0
90,aberration of light,3,0,0.0,1.0
91,aberystwyth,5,0,0.0,3.0
92,abhidhamma pitaka,2,0,0.0,2.0
93,abidjan,1,0,0.0,4.0
94,abkhazia,3,0,0.0,14.0
95,able archer 83,2,0,0.0,1.0
96,abraham goldfaden,0,0,0.0,0.0
97,abraham lincoln,32,0,0.0,70.0
98,absinthe,7,0,0.0,7.0
99,absolute zero,10,0,0.0,11.0
100,abstract art,7,0,0.0,3.0
101,abu dhabi,5,0,0.0,9.0
102,abuja,2,0,0.0,9.0
103,acceleration,14,0,0.0,8.0
104,accountancy,5,0,0.0,2.0
105,accra,1,0,0.0,7.0
106,acetic acid,7,0,0.0,15.0
107,acetone,2,0,0.0,3.0
108,achilles,28,0,0.0,22.0
109,achilles tendon,16,0,0.0,0.0
110,acid rain,7,0,0.0,15.0
111,acorn computers,5,0,0.0,1.0
112,actinium,0,0,0.0,5.0
113,action potential,18,0,0.0,6.0
114,actor,87,0,0.0,18.0
115,acts of union 1707,9,0,0.0,6.0
116,actuary,0,0,0.0,0.0
117,adam smith,4,0,0.0,46.0
118,addis ababa,3,0,0.0,12.0
119,adelaide,4,0,0.0,16.0
120,adenosine triphosphate,7,0,0.0,3.0
121,adi shankara,0,0,0.0,0.0
122,adolf hitler,71,0,0.0,90.0
123,adriaen van der donck,0,0,0.0,0.0
124,advertising,33,0,0.0,38.0
125,aesthetics,19,0,0.0,28.0
126,afghan hound,4,0,0.0,0.0
127,afghanistan,24,0,0.0,161.0
128,africa,521,0,0.0,442.0
129,african american literature,3,0,0.0,0.0
130,african black oystercatcher,0,0,0.0,0.0
131,african brush-tailed porcupine,0,0,0.0,0.0
132,african buffalo,2,0,0.0,1.0
133,african darter,0,0,0.0,0.0
134,african great lakes,4,0,0.0,2.0
135,african grey hornbill,0,0,0.0,0.0
136,african grey parrot,2,0,0.0,1.0
137,african jacana,0,0,0.0,0.0
138,african penguin,3,0,0.0,2.0
139,african union,9,0,0.0,37.0
140,african wild dog,5,0,0.0,1.0
141,african clawed frog,3,0,0.0,3.0
142,african dwarf frog,2,0,0.0,1.0
143,african slave trade,5,0,0.0,3.0
144,afrikaans,13,0,0.0,40.0
145,agamemnon,5,1,1.0,14.0
146,age of enlightenment,26,0,0.0,19.0
147,aggregator,2,0,0.0,2.0
148,agnosticism,6,0,0.0,5.0
149,agriculture,353,0,0.0,187.0
150,airbus,4,0,0.0,15.0
151,airbus a380,5,1,1.0,9.0
152,aircraft,63,0,0.0,41.0
153,aircraft carrier,12,0,0.0,4.0
154,airship,23,0,0.0,4.0
155,ajax (programming),2,0,0.0,0.0
156,akbar,2,1,1.0,9.0
157,akhenaten,0,0,0.0,6.0
158,akira kurosawa,4,0,0.0,4.0
159,akkadian empire,2,0,0.0,3.0
160,akrotiri and dhekelia,1,0,0.0,4.0
161,aksumite currency,3,0,0.0,0.0
162,al jazeera,2,0,0.0,8.0
163,alamosaurus,0,0,0.0,0.0
164,alan turing,16,0,0.0,16.0
165,albania,8,0,0.0,98.0
166,albatross,12,0,0.0,5.0
167,albert einstein,67,0,0.0,77.0
168,alberto santos-dumont,4,0,0.0,4.0
169,albertosaurus,0,0,0.0,0.0
170,albigensian crusade,3,0,0.0,7.0
171,albinism,3,0,0.0,3.0
172,albrecht dürer,2,1,2.0,14.0
173,albrecht rodenbach,0,0,0.0,0.0
174,alchemy,36,0,0.0,33.0
175,alcibiades,5,0,0.0,10.0
176,alcohol,35,0,0.0,43.0
177,aleksandr pushkin,5,0,0.0,5.0
178,aleksandr vasilevsky,3,0,0.0,1.0
179,aleksey arakcheyev,0,0,0.0,0.0
180,alexander graham bell,5,0,0.0,4.0
181,alexander hamilton,4,0,0.0,23.0
182,alexander the great,41,0,0.0,88.0
183,alfred hitchcock,10,0,0.0,17.0
184,alfred nobel,8,0,0.0,5.0
185,alfred the great,10,0,0.0,17.0
186,algebra,11,0,0.0,22.0
187,algeria,15,0,0.0,166.0
188,algerian civil war,3,0,0.0,2.0
189,algiers,3,0,0.0,14.0
190,algol,2,0,0.0,6.0
191,algoma central railway,0,0,0.0,0.0
192,algorithm,26,0,0.0,15.0
193,alice's adventures in wonderland,8,0,0.0,3.0
194,all blacks,5,0,0.0,4.0
195,all you need is love (the jams song),0,0,0.0,0.0
196,all your base are belong to us,0,0,0.0,0.0
197,allah,9,1,1.0,17.0
198,allegory in the middle ages,7,0,0.0,0.0
199,alligator,10,0,0.0,0.0
200,alliterative verse,1,0,0.0,2.0
201,allosaurus,0,0,0.0,5.0
202,almaty,1,0,0.0,4.0
203,almond,4,0,0.0,3.0
204,alpaca,5,0,0.0,4.0
205,alphabet,21,0,0.0,15.0
206,alternating current,8,0,0.0,23.0
207,alternation of generations,1,0,0.0,1.0
208,alternative rock,12,0,0.0,13.0
209,aluminium,38,0,0.0,108.0
210,aluminium chloride,18,0,0.0,6.0
211,alzheimer's disease,12,0,0.0,13.0
212,amaranth oil,2,0,0.0,0.0
213,"amarillo, texas",2,0,0.0,5.0
214,amazon basin,12,0,0.0,7.0
215,amazon rainforest,16,0,0.0,10.0
216,amazon river,19,0,0.0,10.0
217,amazon parrot,4,0,0.0,0.0
218,amber,5,0,0.0,17.0
219,amda seyon i,0,0,0.0,0.0
220,american civil war,74,0,0.0,110.0
221,american english,54,0,0.0,24.0
222,american revolutionary war,39,0,0.0,32.0
223,american samoa,5,0,0.0,22.0
224,american football,61,0,0.0,36.0
225,american popular music,38,0,0.0,5.0
226,americium,4,0,0.0,7.0
227,amish,2,0,0.0,4.0
228,ammolite,2,0,0.0,1.0
229,ammonia,9,0,0.0,58.0
230,ammonite,3,0,0.0,4.0
231,ammosaurus,2,0,0.0,1.0
232,amsterdam,17,1,1.0,57.0
233,amtrak,41,0,0.0,52.0
234,amur,3,0,0.0,4.0
235,anaconda,8,0,0.0,2.0
236,analytical marxism,4,0,0.0,1.0
237,anarchism,14,0,0.0,22.0
238,anarcho-capitalism,6,0,0.0,2.0
239,anatomy,42,0,0.0,24.0
240,ancient egypt,179,0,0.0,64.0
241,ancient greece,158,0,0.0,48.0
242,ancient rome,116,0,0.0,21.0
243,ancient history,10,0,0.0,4.0
244,andes,5,0,0.0,46.0
245,andorra,5,0,0.0,36.0
246,andrés nocioni,2,0,0.0,1.0
247,andrew carnegie,12,0,0.0,10.0
248,andrew dickson white,2,0,0.0,4.0
249,andrew gonzalez,0,0,0.0,0.0
250,andrew jackson,4,0,0.0,20.0
251,andrew johnson,7,1,1.0,20.0
252,andrew robinson,2,0,0.0,1.0
253,andriyivskyy descent,0,0,0.0,2.0
254,andromeda galaxy,8,0,0.0,11.0
255,andy warhol,6,0,0.0,18.0
256,anemia,20,0,0.0,0.0
257,angel shark,4,0,0.0,0.0
258,angelica,1,0,0.0,1.0
259,angkor,2,0,0.0,9.0
260,angkor wat,4,0,0.0,7.0
261,anglican church of australia,3,0,0.0,3.0
262,anglican communion,5,0,0.0,37.0
263,anglicanism,10,0,0.0,21.0
264,anglo-saxon literature,0,0,0.0,1.0
265,angola,6,0,0.0,126.0
266,anguilla,3,0,0.0,14.0
267,animal,425,0,0.0,39.0
268,animal law,6,0,0.0,1.0
269,animal rights,20,0,0.0,16.0
270,animation,84,0,0.0,12.0
271,ankylosaurus,1,0,0.0,5.0
272,"ann arbor, michigan",3,0,0.0,2.0
273,anna karenina,2,0,0.0,6.0
274,anne frank,9,0,0.0,6.0
275,anne of great britain,9,0,0.0,1.0
276,annibale bugnini,0,0,0.0,0.0
277,anno domini,21,0,0.0,3.0
278,anschluss,4,0,0.0,13.0
279,ant,23,0,0.0,5.0
280,antananarivo,1,0,0.0,2.0
281,antarctic treaty system,4,0,0.0,2.0
282,antarctic krill,2,0,0.0,4.0
283,antarctica,34,0,0.0,95.0
284,antarctosaurus,0,0,0.0,0.0
285,anteater,3,0,0.0,2.0
286,antelope,12,0,0.0,10.0
287,anthony van dyck,0,0,0.0,2.0
288,anthropology,53,0,0.0,41.0
289,antigua and barbuda,3,0,0.0,18.0
290,antimony,3,0,0.0,16.0
291,antlion,2,0,0.0,0.0
292,antoine lavoisier,10,0,0.0,11.0
293,antonín dvořák,3,0,0.0,4.0
294,anton alexander von werner,0,0,0.0,0.0
295,antonio vivaldi,4,0,0.0,5.0
296,antwerp,4,0,0.0,53.0
297,apaochi,0,0,0.0,0.0
298,apatosaurus,6,0,0.0,11.0
299,ape,15,0,0.0,5.0
300,aphid,4,0,0.0,2.0
301,apollo,20,0,0.0,35.0
302,apollo 11,46,0,0.0,21.0
303,apollo 8,16,0,0.0,6.0
304,apostolic succession,7,0,0.0,20.0
305,apple,25,0,0.0,10.0
306,applied mathematics,9,0,0.0,12.0
307,apricot,4,0,0.0,1.0
308,aquarium,8,0,0.0,10.0
309,arab-israeli conflict,2,0,0.0,7.0
310,arab league,5,0,0.0,14.0
311,arabic language,50,0,0.0,10.0
312,arable land,5,0,0.0,18.0
313,"aradia, or the gospel of the witches",0,0,0.0,0.0
314,aral sea,3,1,1.0,10.0
315,arcadia (play),1,0,0.0,0.0
316,archaeoastronomy,1,0,0.0,2.0
317,archaeology,51,0,0.0,30.0
318,archaeopteryx,7,0,0.0,16.0
319,archbishop of canterbury,38,0,0.0,83.0
320,archimedes,11,0,0.0,11.0
321,architecture,33,0,0.0,76.0
322,architecture of windows nt,0,0,0.0,0.0
323,architecture of the california missions,0,0,0.0,0.0
324,arctic,27,0,0.0,55.0
325,arctic circle,16,0,0.0,18.0
326,arctic monkeys,8,0,0.0,4.0
327,arctic ocean,40,0,0.0,29.0
328,arctic tern,2,0,0.0,6.0
329,arecaceae,5,0,0.0,1.0
330,argan,0,0,0.0,0.0
331,argentina,30,0,0.0,160.0
332,argon,5,0,0.0,20.0
333,argyle diamond mine,1,0,0.0,2.0
334,ariel sharon,1,1,1.0,9.0
335,aristarchus (crater),1,0,0.0,0.0
336,aristotle,96,0,0.0,112.0
337,arithmetic,11,0,0.0,23.0
338,armadillo,4,0,0.0,5.0
339,"armand jean du plessis, cardinal richelieu",1,0,0.0,0.0
340,armenia,6,0,0.0,112.0
341,armia krajowa,2,0,0.0,7.0
342,arnold schwarzenegger,17,0,0.0,9.0
343,arp2 3 complex,0,0,0.0,0.0
344,ars moriendi,5,0,0.0,1.0
345,arsenal f.c.,5,0,0.0,1.0
346,arsenic,2,0,0.0,28.0
347,art,156,0,0.0,99.0
348,arthropod,16,0,0.0,6.0
349,arthur ernest percival,0,0,0.0,0.0
350,arthur sullivan,4,0,0.0,5.0
351,arthur upfield,0,0,0.0,0.0
352,"arthur wellesley, 1st duke of wellington",4,0,0.0,2.0
353,arts and crafts,4,0,0.0,2.0
354,aruba,2,0,0.0,18.0
355,arugula,2,0,0.0,2.0
356,ascariasis,1,0,0.0,1.0
357,asia,200,0,0.0,327.0
358,asp (reptile),0,0,0.0,0.0
359,asparagus,7,0,0.0,2.0
360,asperger syndrome,7,0,0.0,3.0
361,assyria,2,0,0.0,11.0
362,astatine,6,0,0.0,5.0
363,asteroid,521,0,0.0,29.0
364,asthma,9,0,0.0,26.0
365,astrology,16,0,0.0,34.0
366,astronomy,51,0,0.0,84.0
367,astrophysics data system,0,0,0.0,0.0
368,asunción,1,0,0.0,3.0
369,ateneo de manila university,0,0,0.0,1.0
370,athanasius kircher,1,0,0.0,2.0
371,atheism,14,0,0.0,27.0
372,athena,12,0,0.0,27.0
373,athens,57,1,2.0,82.0
374,athletics (track and field),16,0,0.0,0.0
375,"atlanta, georgia",5,0,0.0,13.0
376,atlantic coast line railroad,3,0,0.0,1.0
377,atlantic ocean,263,0,0.0,210.0
378,atlantic herring,0,0,0.0,0.0
379,atlantic slave trade,23,0,0.0,8.0
380,atlantis,9,0,0.0,13.0
381,atom,33,0,0.0,21.0
382,atonality,2,0,0.0,5.0
383,attack on pearl harbor,30,0,0.0,0.0
384,attalus i,4,0,0.0,2.0
385,attention-deficit hyperactivity disorder,1,0,0.0,5.0
386,attila the hun,6,0,0.0,8.0
387,auckland,2,0,0.0,24.0
388,"augusta, lady gregory",1,0,0.0,0.0
389,augustan literature,3,0,0.0,0.0
390,auguste rodin,2,0,0.0,4.0
391,augustine of hippo,13,0,0.0,19.0
392,augustus,8,1,1.0,31.0
393,australia,175,1,3.0,519.0
394,australian english,10,0,0.0,8.0
395,australian green tree frog,7,0,0.0,0.0
396,australian open,11,0,0.0,22.0
397,australian ringneck,0,0,0.0,0.0
398,australian constitutional law,0,0,0.0,0.0
399,australian rules football,6,0,0.0,13.0
400,austria,34,0,0.0,211.0
401,autism,4,0,0.0,11.0
402,auto racing,9,0,0.0,10.0
403,autobianchi primula,0,0,0.0,0.0
404,autocracy,8,0,0.0,3.0
405,automated teller machine,4,0,0.0,1.0
406,automatic number plate recognition,0,0,0.0,0.0
407,automobile,82,0,0.0,33.0
408,autorack,4,0,0.0,0.0
409,autostereogram,0,0,0.0,0.0
410,autumn,3,0,0.0,24.0
411,avacha volcano,3,0,0.0,1.0
412,avalanche,12,0,0.0,3.0
413,avatar  the last airbender,0,0,0.0,0.0
414,avocado,5,0,0.0,5.0
415,avon gorge,2,0,0.0,4.0
416,avro lancaster,2,0,0.0,1.0
417,axe,6,0,0.0,2.0
418,ayaan hirsi ali,1,0,0.0,3.0
419,aye-aye,0,0,0.0,0.0
420,"aymer de valence, 2nd earl of pembroke",1,0,0.0,0.0
421,azerbaijan,11,0,0.0,115.0
422,azerbaijani people,6,0,0.0,2.0
423,aztec,18,0,0.0,30.0
424,bae systems,2,0,0.0,9.0
425,basic,1,0,0.0,0.0
426,bbc,55,0,0.0,170.0
427,bbc television drama,3,0,0.0,0.0
428,bp,4,0,0.0,9.0
429,bt tower,3,0,0.0,1.0
430,b vitamins,10,0,0.0,2.0
431,babe ruth,8,0,0.0,9.0
432,baboon,6,0,0.0,2.0
433,babur,2,0,0.0,12.0
434,baby gender mentor,0,0,0.0,0.0
435,babylonia,11,0,0.0,20.0
436,backgammon,8,0,0.0,7.0
437,bacteria,53,0,0.0,100.0
438,baden-powell house,0,0,0.0,0.0
439,badger,4,0,0.0,5.0
440,badminton,9,0,0.0,15.0
441,badugi,0,0,0.0,0.0
442,baghdad,10,0,0.0,63.0
443,bahá'í faith,3,0,0.0,20.0
444,bahamas,0,0,0.0,61.0
445,bahrain,4,0,0.0,86.0
446,baker island,2,0,0.0,2.0
447,bald eagle,34,0,0.0,5.0
448,baltic sea,39,0,0.0,62.0
449,"baltimore, maryland",6,0,0.0,8.0
450,bamako,7,0,0.0,0.0
451,banana,13,0,0.0,15.0
452,bandicoot,6,0,0.0,1.0
453,bangalore,0,0,0.0,9.0
454,bangkok,9,0,0.0,19.0
455,bangladesh,7,1,1.0,100.0
456,banjul,1,0,0.0,1.0
457,bank of china (hong kong),0,0,0.0,0.0
458,banknote,13,0,0.0,3.0
459,banksy,2,0,0.0,1.0
460,bantu,4,0,0.0,39.0
461,barack obama,4,0,0.0,1.0
462,barbados,19,0,0.0,56.0
463,barbara mcclintock,1,0,0.0,6.0
464,barbary lion,2,0,0.0,0.0
465,barbary macaque,3,0,0.0,0.0
466,barcelona,10,1,1.0,36.0
467,barium,3,0,0.0,15.0
468,barley,28,0,0.0,33.0
469,barn owl,2,1,1.0,1.0
470,barnacle,6,0,0.0,1.0
471,baroque,7,0,0.0,68.0
472,barracuda,7,0,0.0,0.0
473,baruch spinoza,3,0,0.0,10.0
474,baseball,47,0,0.0,52.0
475,basel,2,0,0.0,16.0
476,basil,4,0,0.0,4.0
477,basil brush,0,0,0.0,0.0
478,basilica of san francesco d'assisi,1,0,0.0,0.0
479,basilica of santa maria degli angeli,3,0,0.0,0.0
480,basketball,28,0,0.0,83.0
481,basking shark,6,0,0.0,5.0
482,bass (fish),1,0,0.0,0.0
483,basset hound,0,0,0.0,0.0
484,bassoon,1,0,0.0,4.0
485,bat,21,0,0.0,7.0
486,bat-eared fox,1,0,0.0,0.0
487,"bath, somerset",1,0,0.0,1.0
488,bath school disaster,0,0,0.0,1.0
489,batholith,2,0,0.0,2.0
490,batman,183,0,0.0,17.0
491,battle of alesia,1,0,0.0,3.0
492,battle of amiens,0,0,0.0,2.0
493,battle of austerlitz,3,0,0.0,4.0
494,battle of badr,2,0,0.0,1.0
495,battle of bicocca,0,0,0.0,2.0
496,battle of britain,8,0,0.0,12.0
497,battle of cannae,5,0,0.0,1.0
498,battle of france,2,0,0.0,8.0
499,battle of gettysburg,9,0,0.0,10.0
500,battle of grunwald,3,0,0.0,2.0
501,battle of hastings,9,0,0.0,15.0
502,battle of jutland,1,0,0.0,5.0
503,battle of lechaeum,0,0,0.0,1.0
504,battle of leyte gulf,5,0,0.0,6.0
505,battle of marathon,4,0,0.0,6.0
506,battle of midway,12,0,0.0,8.0
507,battle of moscow,4,0,0.0,6.0
508,battle of normandy,7,0,0.0,6.0
509,battle of rennell island,0,0,0.0,0.0
510,battle of sitka,1,0,0.0,1.0
511,battle of smolensk (1943),2,0,0.0,0.0
512,battle of stalingrad,7,0,0.0,13.0
513,battle of tours,4,0,0.0,4.0
514,battle of vaslui,1,0,0.0,1.0
515,battle of warsaw (1920),2,0,0.0,0.0
516,battle of the bulge,9,0,0.0,3.0
517,battle of the eastern solomons,3,0,0.0,1.0
518,battle of the little bighorn,2,0,0.0,2.0
519,battle of the santa cruz islands,1,0,0.0,2.0
520,battle of the somme (1916),4,0,0.0,1.0
521,battles of the mexican-american war,0,0,0.0,0.0
522,bay area rapid transit,3,0,0.0,1.0
523,bay of bengal,7,0,0.0,26.0
524,beach,11,0,0.0,10.0
525,bean,9,0,0.0,3.0
526,bear,8,0,0.0,12.0
527,beatles for sale,1,0,0.0,1.0
528,beaver,14,0,0.0,7.0
529,bedbug,8,0,0.0,0.0
530,bede,8,0,0.0,24.0
531,bee,16,0,0.0,3.0
532,beeching axe,1,0,0.0,4.0
533,beekeeping,4,0,0.0,4.0
534,beep (swblw),0,0,0.0,0.0
535,beer,56,1,1.0,49.0
536,beet,4,0,0.0,3.0
537,beetle,11,0,0.0,3.0
538,behavioral finance,6,0,0.0,0.0
539,behistun inscription,1,0,0.0,4.0
540,beijing,18,1,2.0,80.0
541,beirut,2,0,0.0,21.0
542,belarus,11,0,0.0,93.0
543,belfast,5,1,3.0,32.0
544,belgium,31,1,1.0,220.0
545,belize,0,0,0.0,35.0
546,belton house,0,0,0.0,0.0
547,ben-hur (1959 film),0,0,0.0,0.0
548,ben jonson,1,0,0.0,13.0
549,ben nevis,1,0,0.0,3.0
550,bench language,0,0,0.0,0.0
551,benin,4,0,0.0,131.0
552,benito mussolini,10,0,0.0,20.0
553,benjamin britten,2,0,0.0,13.0
554,"benjamin disraeli, 1st earl of beaconsfield",4,0,0.0,0.0
555,benjamin franklin,18,0,0.0,31.0
556,benjamin harrison,1,0,0.0,8.0
557,benjamin mountfort,0,0,0.0,2.0
558,benjamin of tudela,0,0,0.0,0.0
559,benzene,4,0,0.0,18.0
560,berber languages,4,0,0.0,5.0
561,beriberi,2,0,0.0,6.0
562,berkelium,3,0,0.0,0.0
563,berlin,23,1,2.0,126.0
564,berlin wall,9,0,0.0,19.0
565,bermuda,20,0,0.0,54.0
566,bernard hinault,3,0,0.0,3.0
567,bertrand russell,4,0,0.0,30.0
568,beryllium,1,0,0.0,10.0
569,betelgeuse incident,0,0,0.0,0.0
570,bette davis,1,0,0.0,5.0
571,bhutan,5,0,0.0,36.0
572,bible,82,1,1.0,126.0
573,bicycle,12,0,0.0,21.0
574,bicycle thieves,2,0,0.0,1.0
575,big bang,33,0,0.0,41.0
576,bill clinton,21,0,0.0,59.0
577,bill gates,29,0,0.0,15.0
578,billie holiday,5,0,0.0,10.0
579,binary star,10,0,0.0,8.0
580,binoculars,7,0,0.0,15.0
581,binomial nomenclature,9,0,0.0,5.0
582,biodiesel,20,0,0.0,18.0
583,biodiversity,55,0,0.0,50.0
584,biofuel,13,0,0.0,5.0
585,bioinformatics,10,0,0.0,8.0
586,biology,195,0,0.0,74.0
587,bionicle  mask of light,0,0,0.0,0.0
588,biosphere,29,0,0.0,30.0
589,biotechnology,12,0,0.0,30.0
590,bird,196,0,0.0,69.0
591,bird migration,22,0,0.0,1.0
592,bird of prey,17,0,0.0,9.0
593,birmingham,6,0,0.0,61.0
594,birth control,14,0,0.0,17.0
595,bismuth,4,0,0.0,22.0
596,bison,4,0,0.0,7.0
597,bissau,2,0,0.0,2.0
598,björn borg,1,0,0.0,9.0
599,bjørnøya,1,0,0.0,3.0
600,black-backed jackal,1,0,0.0,0.0
601,black-footed cat,0,0,0.0,0.0
602,black-winged stilt,2,0,0.0,0.0
603,black death,28,0,0.0,41.0
604,black rhinoceros,4,0,0.0,2.0
605,black robin,0,0,0.0,0.0
606,black sea,27,0,0.0,86.0
607,black seminoles,0,0,0.0,0.0
608,black wildebeest,4,0,0.0,3.0
609,black hole,8,0,0.0,9.0
610,black panther,3,0,0.0,0.0
611,black pepper,10,0,0.0,9.0
612,black widow spider,0,0,0.0,0.0
613,blackbird,3,0,0.0,4.0
614,blackcap,2,0,0.0,0.0
615,blackjack,3,0,0.0,1.0
616,blackpool,1,0,0.0,2.0
617,blacktip reef shark,2,0,0.0,2.0
618,blade runner,7,0,0.0,5.0
619,blaise pascal,6,0,0.0,14.0
620,blitzkrieg,6,0,0.0,28.0
621,blokus,0,0,0.0,0.0
622,blood type,9,0,0.0,5.0
623,blue jay,3,0,0.0,1.0
624,blue peter,4,0,0.0,5.0
625,blue tit,0,0,0.0,0.0
626,blue whale,10,0,0.0,2.0
627,blue wildebeest,8,0,0.0,7.0
628,blue shark,3,0,0.0,1.0
629,bluegrass music,11,0,0.0,1.0
630,bluetooth,19,0,0.0,7.0
631,boa,4,0,0.0,3.0
632,board game,13,0,0.0,11.0
633,boat,22,0,0.0,8.0
634,bob dylan,15,0,0.0,34.0
635,bob marley,9,0,0.0,6.0
636,bobcat,7,0,0.0,3.0
637,body mass index,2,0,0.0,1.0
638,bodyline,3,1,1.0,6.0
639,boeing 747,16,0,0.0,11.0
640,bog,7,0,0.0,5.0
641,bogotá,1,0,0.0,7.0
642,bohemian rhapsody,2,0,0.0,0.0
643,bohor reedbuck,0,0,0.0,0.0
644,bohrium,2,0,0.0,1.0
645,bolivia,19,0,0.0,74.0
646,bologna,16,0,0.0,22.0
647,boltysh crater,3,0,0.0,0.0
648,bongo (antelope),2,0,0.0,0.0
649,bonobo,8,0,0.0,7.0
650,bontebok,1,0,0.0,0.0
651,booby,5,0,0.0,0.0
652,book,31,0,0.0,5.0
653,book of common prayer,2,0,0.0,26.0
654,book of kells,9,0,0.0,8.0
655,boolean logic,4,0,0.0,2.0
656,borage,1,0,0.0,0.0
657,boris becker,1,0,0.0,12.0
658,boron,5,0,0.0,22.0
659,bosnia and herzegovina,3,0,0.0,72.0
660,"boston, massachusetts",30,0,0.0,16.0
661,boston rfc,1,0,0.0,1.0
662,boston terrier,3,0,0.0,0.0
663,boston and lowell railroad,0,0,0.0,0.0
664,botany,24,0,0.0,21.0
665,botswana,7,0,0.0,114.0
666,bottlenose dolphin,5,0,0.0,2.0
667,boudica,0,0,0.0,5.0
668,boundary waters canoe area wilderness,1,0,0.0,0.0
669,bourbonnais train accident,0,0,0.0,0.0
670,bouvet island,1,0,0.0,1.0
671,box jellyfish,3,0,0.0,1.0
672,boy scout,4,0,0.0,1.0
673,boyle roche,0,0,0.0,0.0
674,brabantian,1,0,0.0,1.0
675,brabham,3,0,0.0,2.0
676,brachiosaurus,2,0,0.0,6.0
677,brahman,2,0,0.0,26.0
678,brain,687,0,0.0,51.0
679,bran,6,0,0.0,7.0
680,brandon routh,2,0,0.0,1.0
681,brasília,1,0,0.0,5.0
682,brass instrument,3,0,0.0,1.0
683,bratislava,1,0,0.0,11.0
684,brazil,153,1,1.0,244.0
685,bread,11,0,0.0,21.0
686,breaker morant,0,0,0.0,1.0
687,bretton woods system,0,0,0.0,8.0
688,brian close,0,0,0.0,0.0
689,bridge,18,0,0.0,12.0
