,path,source_article,target_article,human_path_length,shortest_path_length,is_successful,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing
19199,Theatre;United_States;North_Africa;Africa;Democratic_Republic_of_the_Congo,Theatre,Zebra,4,3,0,"[0.043582039636561404, 0.10134020381240576, 0.4192155578415994, 0.3047082622617351]","[0.010467075021401151, 0.14220929976563904, 0.08435592870970815, 0.3047082622617351, 0.9999999999999979]","[True, True, False]","[True, False, True, True]",False,False
20242,Perfect_number;Ancient_Greece;Renaissance;15th_century;Zheng_He,Perfect_number,University_of_Cambridge,4,3,0,"[0.011976618171101868, 0.09095944488724887, 0.08539472008345572, 0.1005627872122869]","[0.010979554558576528, 0.03850466086303127, 0.030155099144628918, 0.1005627872122869, 1.0000000000000018]","[True, False, True]","[True, False, True, True]",False,False
19318,Christian_Bale;Bob_Dylan;Jazz;Folk_music;Radio,Christian_Bale,The_Supremes,4,3,0,"[0.03479720604088345, 0.05759901651737092, 0.15794674939203943, 0.028499948743014068]","[0.008759925331795473, 0.025509428823490058, 0.032002970150499514, 0.028499948743014068, 1.0000000000000022]","[True, True, False]","[True, True, False, True]",False,False
14889,Oat;Animal;Mammal;Milk;Cheese,Oat,Cheese,4,3,1,"[0.01468310985053305, 0.0724197183196405, 0.04137922818640924, 0.1967457677285008]","[0.025192245552098723, 0.015451786659579022, 0.014812043441040909, 0.1967457677285008, 0.9999999999999969]","[True, False, True]","[False, False, True, True]",False,False
10237,Cricket;Tropical_cyclone;United_States;Abraham_Lincoln;President_of_the_United_States,Cricket,President_of_the_United_States,4,3,1,"[0.015558267018122693, 0.08821215581938883, 0.12059845833811413, 0.15765720986383022]","[0.014325552222091061, 0.02626998969837724, 0.3235514638662403, 0.15765720986383022, 1.0000000000000016]","[True, True, True]","[True, True, False, True]",True,False
2907,Malawi;United_Kingdom;Elizabeth_II_of_the_United_Kingdom;Australia;Brisbane,Malawi,Brisbane,4,3,1,"[0.09017410341927408, 0.2977580584603568, 0.1763811618641821, 0.1271477183212025]","[0.022946084122327497, 0.054003139821908255, 0.03656577565748083, 0.1271477183212025, 0.9999999999999988]","[True, False, False]","[True, False, True, True]",False,False
19510,Theatre;Brazil;Africa;Giraffe;South_Africa,Theatre,Zebra,4,3,0,"[0.03242256633900445, 0.11279378074190931, 0.07300929088355802, 0.0643841573499102]","[0.02572430713175277, 0.12654314952918566, 0.5288559985334571, 0.0643841573499102, 1.0000000000000007]","[True, False, False]","[True, True, False, True]",False,False
17721,Theatre;United_States;Atlantic_Ocean;Africa;Chad,Theatre,Zebra,4,3,0,"[0.043582039636561404, 0.1937470081230291, 0.1427463457463413, 0.2369973014973681]","[0.005821550226614715, 0.11650462843720583, 0.07211019802628296, 0.2369973014973681, 1.0000000000000002]","[True, False, True]","[True, False, True, True]",False,False
1599,Global_warming;Ocean;Animal;Bird;Swan,Global_warming,Swan,4,3,1,"[0.08311759636056129, 0.03786803146797804, 0.06409316059672879, 0.05275959754135791]","[0.008402618125676187, 0.013128285062359142, 0.011558314094700104, 0.05275959754135791, 0.9999999999999989]","[False, True, False]","[True, False, True, True]",False,False
8415,Iguanodon;Dinosaur;Bird;Swan;Goose,Iguanodon,Goose,4,3,1,"[0.19580747105083152, 0.2599832291671086, 0.05275959754135791, 0.10729448492585121]","[0.010634805651353732, 0.03362680843175845, 0.1155470634328335, 0.10729448492585121, 1.0000000000000009]","[True, False, True]","[True, True, False, True]",False,False
3789,Apollo_8;President_of_the_United_States;Monarchy;England;Buckingham_Palace,Apollo_8,Buckingham_Palace,4,3,1,"[0.02075187376558296, 0.10540512645857378, 0.08275166564549788, 0.09214062981067267]","[0.016217564127256195, 0.044198315414683956, 0.1036177802583909, 0.09214062981067267, 1.0000000000000007]","[True, False, True]","[True, True, False, True]",False,False
19733,Carl_Friedrich_Gauss;Italy;France;Paris;Football_%28soccer%29,Carl_Friedrich_Gauss,Rugby_World_Cup,4,3,0,"[0.020319197115997036, 0.26378908324119754, 0.2513960323012996, 0.04527401986494687]","[0.014265715830582523, 0.04069571556586361, 0.06349915192462782, 0.04527401986494687, 0.9999999999999996]","[True, False, False]","[True, True, False, True]",False,False
3400,U.S._state;Georgia_%28country%29;Russia;Nazi_Germany;Swastika,U.S._state,Swastika,4,3,1,"[0.07557846451017709, 0.24719549220220896, 0.09971586674663109, 0.0823387543888722]","[0.027132766503178616, 0.02402779345678585, 0.038026084135327445, 0.0823387543888722, 1.0000000000000002]","[True, False, False]","[False, True, True, True]",False,False
11280,Matrix_%28mathematics%29;Carl_Friedrich_Gauss;Germany;Adolf_Hitler;Nationalism,Matrix (mathematics),Nationalism,4,3,1,"[0.03072373118176549, 0.05200675181391487, 0.18728362205446583, 0.04481295793184492]","[0.007781786391402157, 0.013764243844642827, 0.10670729099734537, 0.04481295793184492, 0.9999999999999993]","[True, True, False]","[True, True, False, True]",False,False
10424,Child;Tiger_Woods;United_States;Pacific_Ocean;Volcano,Child,Volcano,4,3,1,"[0.08902274375232451, 0.10730125573097075, 0.2503113455256296, 0.13168992357693649]","[0.012517007853136215, 0.011697760551574425, 0.06750321276337654, 0.13168992357693649, 1.0]","[True, True, False]","[False, True, True, True]",False,False
541,Batman;Scotland;Agriculture;Fossil_fuel;Wood,Batman,Wood,4,3,1,"[0.00982469648640849, 0.03521380311590698, 0.06934377730392101, 0.027329887064186476]","[0.007004201505419259, 0.013353649448705495, 0.0355263652021014, 0.027329887064186476, 1.0000000000000022]","[True, True, False]","[True, True, False, True]",False,False
6053,Fine_art;Philosophy;Isaac_Newton;Alchemy;Lead,Fine_art,Lead,4,3,1,"[0.04975464660000673, 0.054168430410816495, 0.10695801027649887, 0.047730795028587736]","[0.020258848523984893, 0.01881060571331925, 0.012650612906989118, 0.047730795028587736, 1.0000000000000022]","[True, True, False]","[False, False, True, True]",False,False
10851,Ganges_shark;India;List_of_countries_by_system_of_government;Greece;Athens,Ganges_shark,Athens,4,3,1,"[0.03953937291407147, 0.12066350949033287, 0.12773977567165087, 0.233789877439601]","[0.0045973938448616, 0.035585894131003125, 0.03335210654678568, 0.233789877439601, 1.0000000000000042]","[True, True, True]","[True, False, True, True]",True,False
12404,Charles_I_of_England;Australia;Continent;Antarctica;Roald_Amundsen,Charles_I_of_England,Roald_Amundsen,4,3,1,"[0.06128874104223243, 0.17075432509224064, 0.245834874546221, 0.19294768775476967]","[0.017617363642083984, 0.028431722961090606, 0.027133204104403716, 0.19294768775476967, 1.0000000000000004]","[True, True, False]","[True, False, True, True]",False,False
6150,Tungsten;Portugal;Brazil;Argentina;Jorge_Luis_Borges,Tungsten,Jorge_Luis_Borges,4,3,1,"[0.025800146181391214, 0.2131520748617653, 0.12313563399919354, 0.1931559176171051]","[0.006484773402352108, 0.028243739504141458, 0.02486755368023679, 0.1931559176171051, 1.0000000000000036]","[True, False, True]","[True, False, True, True]",False,False
50,Africa;Saint_Helena;United_Kingdom;London;Hampstead_Heath,Africa,Hampstead_Heath,4,3,1,"[0.07181407778530599, 0.1004517909538634, 0.25594756589287465, 0.20546276434398253]","[0.01920016117502307, 0.013471556717736156, 0.052173723130596567, 0.20546276434398253, 0.9999999999999998]","[True, True, False]","[False, True, True, True]",False,False
3195,Technology;Mexico;Italy;Switzerland;Cheese,Technology,Cheese,4,3,1,"[0.06204150304656873, 0.13208887677433692, 0.16064024124275594, 0.04048795324550912]","[0.02406798193010306, 0.022901071570194623, 0.048500614307586, 0.04048795324550912, 0.9999999999999969]","[True, True, False]","[False, True, False, True]",False,False
