,path,source_article,target_article,human_path_length,shortest_path_length,is_successful,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing
459,Batman;Crime;International_law;World_War_II;The_Holocaust,Batman,The_Holocaust,4,3,1,"[0.0256350094272862, 0.32061114384585765, 0.09074880412850399, 0.26402405846628035]","[0.014819786060020167, 0.06360617047467218, 0.048927957836385746, 0.26402405846628035, 0.9999999999999987]","[True, False, True]","[True, False, True, True]",False,False
6529,War;Nuclear_weapon;Tsar_Bomba;Sun;Wave,War,Wave,4,3,1,"[0.14424274426555403, 0.34397198981388355, 0.05980184633901382, 0.08371763119459134]","[0.01110561017410425, 0.008165343536972436, 0.00820908306739799, 0.08371763119459134, 1.000000000000002]","[True, False, True]","[False, True, True, True]",False,False
15455,Railway_post_office;United_Kingdom;England;Norfolk;Boudica,Railway_post_office,Boudica,4,3,1,"[0.03211782645268632, 0.5659328445737464, 0.13624990474069257, 0.08864766623219143]","[0.004428034131952678, 0.07380490126200771, 0.06410392132829061, 0.08864766623219143, 0.9999999999999988]","[True, False, False]","[True, False, True, True]",False,False
19114,Stoicism;Ancient_Rome;Roman_mythology;Jupiter_%28mythology%29;Zeus,Stoicism,Mars,4,3,0,"[0.05207081199568739, 0.30027725041004777, 0.1770150487928205, 0.10862085061788165]","[0.01134433191091559, 0.05877432139953362, 0.1267921552704331, 0.10862085061788165, 1.0000000000000016]","[True, False, False]","[True, True, False, True]",False,False
7887,Doom;Columbine_High_School_massacre;United_States;List_of_rivers_by_length;Columbia_River,Doom,Columbia_River,4,3,1,"[0.0855178469048355, 0.053073845012714185, 0.17703325727812544, 0.18164514690153316]","[0.02018406271448455, 0.013200539332861548, 0.1438419664216834, 0.18164514690153316, 0.9999999999999991]","[False, True, True]","[False, True, True, True]",False,False
12599,Corporate_finance;United_Kingdom;Constitutional_monarchy;Australia;Flag_of_Australia,Corporate_finance,Flag_of_Australia,4,3,1,"[0.03754847544352915, 0.16946900487865738, 0.13000848046199517, 0.2808598706292308]","[0.006898713761274668, 0.09045115793153183, 0.0471012777280938, 0.2808598706292308, 0.9999999999999997]","[True, False, True]","[True, False, True, True]",False,False
4376,University_of_Cambridge;Isaac_Newton;Astronomy;Comet;Meteor,University_of_Cambridge,Meteor,4,3,1,"[0.1109458465517321, 0.07894796943043673, 0.12242158551481415, 0.03994352716142002]","[0.007068177038892599, 0.012694003225128807, 0.08697486463796136, 0.03994352716142002, 0.9999999999999996]","[False, True, False]","[True, True, False, True]",False,False
2200,Pupil;Human;Religion;People%27s_Republic_of_China;China,Pupil,China,4,3,1,"[0.048740431461028494, 0.23869463269175487, 0.10200424415073035, 0.6813834030398858]","[0.008802633892360216, 0.11762552084483337, 0.10381085068003099, 0.6813834030398858, 1.0000000000000013]","[True, False, True]","[True, False, True, True]",False,False
13970,John_of_England;Ireland;Europe;Africa;Chad,John_of_England,Chad,4,3,1,"[0.05310095412109413, 0.17206312114935826, 0.20733258691597292, 0.2369973014973681]","[0.012797870652737105, 0.07922322783581652, 0.07619509063851056, 0.2369973014973681, 1.0000000000000002]","[True, True, True]","[True, False, True, True]",True,False
19037,Arabic_language;Middle_East;Iran;Music;Art,Arabic_language,Kaffir_lime,4,3,0,"[0.33377361285361434, 0.23710175451242707, 0.023113906958927156, 0.10507580021227184]","[0.039794210500053814, 0.03924929671017841, 0.043763239199177205, 0.10507580021227184, 1.0000000000000013]","[False, False, True]","[False, True, True, True]",False,False
4712,Brain;Computer_science;Internet;World_Wide_Web;Telephone,Brain,Telephone,4,3,1,"[0.04916586828560618, 0.09915001996411385, 0.3934715901446399, 0.02893915596106854]","[0.01987493081672035, 0.024968341253746362, 0.15723045446149922, 0.02893915596106854, 1.0000000000000009]","[True, True, False]","[True, True, False, True]",False,False
4549,Anglican_Communion;Ireland;Europe;Ancient_Greece;Thucydides,Anglican_Communion,Thucydides,4,3,1,"[0.05384757314049014, 0.17206312114935826, 0.10449645478030309, 0.2375498695214938]","[0.008507383031104846, 0.01894843769818929, 0.018337516074217523, 0.2375498695214938, 1.000000000000002]","[True, False, True]","[True, False, True, True]",False,False
4858,Brain;Computer_science;Internet;World_Wide_Web;Telephone,Brain,Telephone,4,3,1,"[0.04916586828560618, 0.09915001996411385, 0.3934715901446399, 0.02893915596106854]","[0.01987493081672035, 0.024968341253746362, 0.15723045446149922, 0.02893915596106854, 1.0000000000000009]","[True, True, False]","[True, True, False, True]",False,False
1278,Dog;Africa;Earth;Solar_System;Venus,Dog,Venus,4,3,1,"[0.043937893672836494, 0.09484044748725055, 0.3319328545283022, 0.23379467618133695]","[0.014404137719503565, 0.03150488594524703, 0.2908125394934282, 0.23379467618133695, 0.9999999999999999]","[True, True, False]","[True, True, False, True]",False,False
20657,Theatre;United_States;North_America;Africa;Democratic_Republic_of_the_Congo,Theatre,Zebra,4,3,0,"[0.043582039636561404, 0.3308730019703287, 0.15662271923661933, 0.3047082622617351]","[0.010467075021401151, 0.14220929976563904, 0.07128216871028503, 0.3047082622617351, 0.9999999999999979]","[True, False, True]","[True, False, True, True]",False,False
8888,Sandur;Iceland;Economics;War;Nuclear_weapon,Sandur,Nuclear_weapon,4,3,1,"[0.15841319422250177, 0.026678310910230554, 0.09031484553884703, 0.14424274426555403]","[0.006026332290167668, 0.019238589763478642, 0.016634443210043412, 0.14424274426555403, 0.9999999999999993]","[False, True, True]","[True, False, True, True]",False,False
878,Black_Death;Alchemy;Gold;Periodic_table;Rhodium,Black_Death,Rhodium,4,3,1,"[0.05009127958481664, 0.0715685542279465, 0.0727038832772697, 0.11096805932155679]","[0.014084218560333124, 0.021457696694427892, 0.13391627679642945, 0.11096805932155679, 1.0000000000000027]","[True, True, True]","[True, True, False, True]",True,False
16468,Theatre;Dance;Animal;Mammal;Zebra,Theatre,Zebra,4,3,1,"[0.1309595713347672, 0.013040777138701852, 0.0724197183196405, 0.02639381305403988]","[0.003615741833142461, 0.002698358304444707, 0.014429096082751143, 0.02639381305403988, 0.9999999999999984]","[False, True, False]","[False, True, True, True]",False,False
7721,CS_gas;Ethanol;Sugar;Biology;Beetle,CS_gas,Beetle,4,3,1,"[0.03303278147952545, 0.03742234930975522, 0.02205791837959759, 0.05697949227130952]","[0.0054981574748491505, 0.005179736359897114, 0.00620996880295584, 0.05697949227130952, 0.9999999999999997]","[True, False, True]","[False, True, True, True]",False,False
3435,Space_Race;Canada;Elizabeth_II_of_the_United_Kingdom;Westminster_Abbey;Elizabeth_I_of_England,Space_Race,Elizabeth_I_of_England,4,3,1,"[0.0516534914507537, 0.21436727332927774, 0.14968331080481032, 0.15409084970203205]","[0.022746955940356195, 0.06547259244151314, 0.5407161901556139, 0.15409084970203205, 1.000000000000001]","[True, False, True]","[True, True, False, True]",False,False
12675,Cyberpunk;Earth;Life;Plant;Amber,Cyberpunk,Amber,4,3,1,"[0.02089857270669344, 0.11242919109362037, 0.10087489489736752, 0.040757626747265685]","[0.0054417720925675015, 0.019641989790467128, 0.008997050696613502, 0.040757626747265685, 1.000000000000002]","[True, False, False]","[True, False, True, True]",False,False
11147,Santamar%C3%ADa_%28volcano%29;Volcano;Russia;Ukraine;Moldova,Santamaría (volcano),Moldova,4,3,1,"[0.2811372403090033, 0.0332197890354784, 0.313190719461793, 0.14791116858953443]","[0.01029475055492935, 0.01104930407263115, 0.16624311406880915, 0.14791116858953443, 1.000000000000002]","[False, True, False]","[True, True, False, True]",False,False
13839,J._R._R._Tolkien;Germany;Time_zone;Sikkim;Indian_Standard_Time,J._R._R._Tolkien,Indian_Standard_Time,4,3,1,"[0.02946822788865082, 0.06684931128083604, 0.03245683204772689, 0.047298382007832714]","[0.012764555533345268, 0.057452752899374404, 0.49686413248780664, 0.047298382007832714, 0.9999999999999989]","[True, False, True]","[True, True, False, True]",False,False
18366,Iceland_hotspot;Water;Sun;Sunlight;Earth%27s_atmosphere,Iceland_hotspot,Sleep,4,3,0,"[0.04736985593021318, 0.08921917566502613, 0.3504236826522005, 0.09427496063161073]","[0.030695135635777825, 0.14363186729321545, 0.19563736745341664, 0.09427496063161073, 0.999999999999999]","[True, True, False]","[True, True, False, True]",False,False
6166,Insect;Ocean;Arctic_Ocean;Canada;Canadian_Charter_of_Rights_and_Freedoms,Insect,Canadian_Charter_of_Rights_and_Freedoms,4,3,1,"[0.02507164033586828, 0.40169279097270083, 0.10211087610900521, 0.2698689299583445]","[0.012225405391606185, 0.005969642332894544, 0.010553499925949311, 0.2698689299583445, 1.000000000000002]","[True, False, True]","[False, True, True, True]",False,False
11334,4_Vesta;Germany;NATO;United_States;Elvis_Presley,4_Vesta,Elvis_Presley,4,3,1,"[0.021567457459136147, 0.2032911869022179, 0.1461299246100349, 0.0755174780946115]","[0.008048355583255626, 0.028386793714179993, 0.01474583388802099, 0.0755174780946115, 0.9999999999999993]","[True, False, False]","[True, False, True, True]",False,False
8398,Federal_Bureau_of_Investigation;Civil_rights;Libertarianism;Police;Radio,Federal_Bureau_of_Investigation,Radio,4,3,1,"[0.04247141239932991, 0.2239061452690144, 0.04064256384057567, 0.029735831186439073]","[0.017936600663872985, 0.017059666324162632, 0.017590397263348444, 0.029735831186439073, 1.0000000000000022]","[True, False, False]","[False, True, True, True]",False,False
8137,Isaac_Newton;England;Europe;Africa;Sierra_Leone,Isaac_Newton,Sierra_Leone,4,3,1,"[0.05247625798232588, 0.1743883890099941, 0.20733258691597292, 0.11142188663177144]","[0.00942430360960481, 0.05433411497002687, 0.04222738513983204, 0.11142188663177144, 0.9999999999999986]","[True, True, False]","[True, False, True, True]",False,False
5148,Brain;Schizophrenia;Language;Communication;Telephone,Brain,Telephone,4,3,1,"[0.07651976136397146, 0.022102694453066805, 0.28685451158153075, 0.06632914254902358]","[0.01987493081672035, 0.009897902474437299, 0.015072104988330557, 0.06632914254902358, 1.0000000000000009]","[False, True, False]","[False, True, True, True]",False,False
10585,Richard_Feynman;Nazi_Germany;Soviet_Union;Asia;Tajikistan,Richard_Feynman,Tajikistan,4,3,1,"[0.019664895181890494, 0.14486139797833933, 0.06746604800768567, 0.10732442503993524]","[0.008427776535174854, 0.04401655979713581, 0.13648921938955727, 0.10732442503993524, 1.0000000000000007]","[True, False, True]","[True, True, False, True]",False,False
8053,Khudai_Khidmatgar;British_Empire;British_Isles;Atlantic_Ocean;Whale,Khudai_Khidmatgar,Whale,4,3,1,"[0.08295174305988005, 0.329794445529294, 0.14294579324589768, 0.045134994763146204]","[0.012019666366409273, 0.021438516376369347, 0.02006142370479373, 0.045134994763146204, 1.0000000000000022]","[True, False, False]","[True, False, True, True]",False,False
19762,Coffee;Cancer;DNA;Genetics;HIV,Coffee,Color_blindness,4,3,0,"[0.017960316512899345, 0.11005483058095271, 0.27207170482879767, 0.057704038002039666]","[0.009563948285562352, 0.11617615113510027, 0.0875492669189584, 0.057704038002039666, 0.9999999999999983]","[True, True, False]","[True, False, False, True]",False,False
11968,Beekeeping;Agriculture;Egg_%28food%29;Bacteria;Virus,Beekeeping,Virus,4,3,1,"[0.05626781947255664, 0.05290546995913823, 0.0419736170222124, 0.17377674627777653]","[0.01746272961889167, 0.026189265224439456, 0.02243490625650487, 0.17377674627777653, 1.0000000000000002]","[False, False, True]","[True, False, True, True]",False,False
14012,Karl_Benz;Automobile;Henry_Ford;Detroit%2C_Michigan;Great_Lakes,Karl_Benz,Great_Lakes,4,3,1,"[0.48475109446564263, 0.16966870776367649, 0.14066738758033404, 0.06817372665030706]","[0.009883852013090359, 0.028445808815696, 0.021991824282613318, 0.06817372665030706, 1.000000000000002]","[False, False, False]","[True, False, True, True]",False,False
4633,Brain;Psychology;19th_century;Alexander_Graham_Bell;Telephone,Brain,Telephone,4,3,1,"[0.17836432623845397, 0.02550232612981301, 0.05786784618635582, 0.3719026884229448]","[0.01987493081672035, 0.016774730449665248, 0.05001752972804696, 0.3719026884229448, 1.0000000000000009]","[False, True, True]","[False, True, True, True]",False,False
9899,Yemen;California;Ronald_Reagan;President_of_the_United_States;James_K._Polk,Yemen,James_K._Polk,4,3,1,"[0.04942284223929779, 0.08334984375761466, 0.20303695102259006, 0.17765619041005032]","[0.02237979022719785, 0.07242154563007176, 0.04828408040280177, 0.17765619041005032, 1.0000000000000024]","[True, True, False]","[True, False, True, True]",False,False
7166,Photon;Electric_charge;18th_century;United_States;Christopher_Columbus,Photon,Christopher_Columbus,4,3,1,"[0.14511274110805872, 0.021055649972790615, 0.11171719347061923, 0.12581447506253868]","[0.008734312234997531, 0.008709332671337352, 0.027009063718589264, 0.12581447506253868, 0.9999999999999999]","[False, True, True]","[False, True, True, True]",False,False
16320,Theatre;Dance;Animal;Mammal;Zebra,Theatre,Zebra,4,3,1,"[0.1309595713347672, 0.013040777138701852, 0.0724197183196405, 0.02639381305403988]","[0.003615741833142461, 0.002698358304444707, 0.014429096082751143, 0.02639381305403988, 0.9999999999999984]","[False, True, False]","[False, True, True, True]",False,False
17114,Wood_Pigeon;Europe;Earth;United_States;United_States_dollar,Wood_Pigeon,United_States_dollar,4,3,1,"[0.031089590465388173, 0.08556400889779398, 0.08151216872548508, 0.18077010104619168]","[0.004027371284529929, 0.033177033616454236, 0.02738966674690176, 0.18077010104619168, 0.9999999999999997]","[True, False, True]","[True, False, True, True]",False,False
6606,Clothing;Metal;Chemical_element;Periodic_table;Zirconium,Clothing,Zirconium,4,3,1,"[0.021224414058461975, 0.14766513282747862, 0.42318001982105063, 0.07587281357727466]","[0.00912291754682, 0.08060828511831311, 0.08459725153497526, 0.07587281357727466, 1.000000000000001]","[True, True, False]","[True, True, False, True]",False,False
8927,Venezuela;United_States;New_York_City;Wall_Street;The_Wall_Street_Journal,Venezuela,The_Wall_Street_Journal,4,3,1,"[0.13801765606722347, 0.2995141369132943, 0.20132108149192102, 0.2647255151335024]","[0.022872015250146864, 0.09713699144220994, 0.09254031758747588, 0.2647255151335024, 1.0000000000000002]","[True, False, True]","[True, False, True, True]",False,False
9720,Jordan_River;Music;Art;Film;Charlie_Chaplin,Jordan_River,Charlie_Chaplin,4,3,1,"[0.018198257382405377, 0.10507580021227184, 0.06805719853342697, 0.15628233612141657]","[0.007485420053593791, 0.02369756030415575, 0.01608264578267861, 0.15628233612141657, 0.9999999999999984]","[True, False, True]","[True, False, True, True]",False,False
12868,EMD_F7;Canada;North_America;Europe;Italy,EMD_F7,Italy,4,3,1,"[0.02462309400881242, 0.19770608054487004, 0.17836530050620195, 0.23556807335006139]","[0.012671665939673709, 0.11561861479749432, 0.1054362037972305, 0.23556807335006139, 0.9999999999999999]","[True, False, True]","[True, False, True, True]",False,False
10558,Paraguay;Spanish_language;Latin_alphabet;Greece;Parthenon,Paraguay,Parthenon,4,3,1,"[0.1491848580087147, 0.1342964550125664, 0.05385426795135183, 0.1291709987534634]","[0.009427549723790339, 0.008668178586416156, 0.028695431299474484, 0.1291709987534634, 1.0]","[False, False, True]","[False, True, True, True]",False,False
20269,Asteroid;Jupiter;Roman_mythology;Zeus;Norse_mythology,Asteroid,Viking,4,3,0,"[0.1705620356481904, 0.10144035790212953, 0.1267921552704331, 0.06113962966545188]","[0.020681515331157144, 0.029677303229957295, 0.20718822927721423, 0.06113962966545188, 1.0000000000000002]","[False, True, False]","[True, True, False, True]",False,False
13605,History_of_Central_Asia;Europe;Earth;South_America;Colombia,History_of_Central_Asia,Colombia,4,3,1,"[0.17001870023678878, 0.08556400889779398, 0.07640993057410175, 0.21850909648413552]","[0.06002069333198793, 0.0717306348105893, 0.038088802365356264, 0.21850909648413552, 1.0000000000000009]","[False, False, True]","[True, False, True, True]",False,False
7952,Gregor_Mendel;Charles_Darwin;Biology;Beetle;Invertebrate,Gregor_Mendel,Invertebrate,4,3,1,"[0.16418326173852274, 0.08906615199665985, 0.05697949227130952, 0.02506168357563774]","[0.006791856497350814, 0.020200568035352032, 0.08991330160050315, 0.02506168357563774, 0.9999999999999996]","[False, False, False]","[True, True, False, True]",False,False
17296,Final_Fantasy_%28video_game%29;Space_station;Human;Mammal;Milk,Final Fantasy (video game),Milk,4,3,1,"[0.023147123932518356, 0.06952539217873198, 0.09718576380595302, 0.04137922818640924]","[0.008386266713316791, 0.009453047168312592, 0.04555266531264908, 0.04137922818640924, 0.9999999999999977]","[True, True, False]","[True, True, False, True]",False,False
2943,Atom;Water;Ocean;Whale;Orca,Atom,Orca,4,3,1,"[0.07505222550841797, 0.15070175551566606, 0.041113814132306054, 0.20848076161613366]","[0.012666723871283512, 0.05571535926236053, 0.05053287987881857, 0.20848076161613366, 1.000000000000001]","[True, False, True]","[True, False, True, True]",False,False
10400,Politics;Plato;Albert_Einstein;Quantum_mechanics;Proton,Politics,Proton,4,3,1,"[0.13874902710604686, 0.028998370336056258, 0.19658435341827463, 0.08904707296586782]","[0.011422198202460666, 0.005185688031986479, 0.023414936719170387, 0.08904707296586782, 0.999999999999999]","[False, True, False]","[False, True, True, True]",False,False
4873,Brain;Computer_science;Internet;World_Wide_Web;Telephone,Brain,Telephone,4,3,1,"[0.04916586828560618, 0.09915001996411385, 0.3934715901446399, 0.02893915596106854]","[0.01987493081672035, 0.024968341253746362, 0.15723045446149922, 0.02893915596106854, 1.0000000000000009]","[True, True, False]","[True, True, False, True]",False,False
8897,Buffy_the_Vampire_Slayer;The_Simpsons;United_Kingdom;England;Winston_Churchill,Buffy_the_Vampire_Slayer,Winston_Churchill,4,3,1,"[0.10315837032936145, 0.04730359593359929, 0.5659328445737464, 0.08898838643193147]","[0.013080269815936874, 0.02372749644899308, 0.12826460414688465, 0.08898838643193147, 0.999999999999999]","[False, True, False]","[True, True, False, True]",False,False
8256,Alan_Turing;Calculus;Mathematics;Topology;Leonhard_Euler,Alan_Turing,Leonhard_Euler,4,3,1,"[0.0263245599492833, 0.20517805984308018, 0.19195144960504856, 0.11428796146350313]","[0.01646468947824075, 0.11676244638825314, 0.14668455129049493, 0.11428796146350313, 1.000000000000001]","[True, False, False]","[True, True, False, True]",False,False
18451,Sea;Great_Lakes;Transport;Train;19th_century,Sea,Passenger_Pigeon,4,3,0,"[0.08682489306551378, 0.046563426232360684, 0.13967856443066268, 0.03396347484587711]","[0.02278566078267095, 0.04755371727592363, 0.02934539300771109, 0.03396347484587711, 1.0000000000000024]","[False, True, False]","[True, False, True, True]",False,False
5139,Brain;Animal;Human;Communication;Telephone,Brain,Telephone,4,3,1,"[0.054012050504966345, 0.07953121692482294, 0.11913196655893389, 0.06632914254902358]","[0.01987493081672035, 0.014789375884475014, 0.02916966508991262, 0.06632914254902358, 1.0000000000000009]","[True, True, False]","[False, True, True, True]",False,False
2998,Coconut;Philippines;Climate;Weather;Cloud,Coconut,Cloud,4,3,1,"[0.03598622674503641, 0.02574286483280626, 0.23177074728887959, 0.12154370264962094]","[0.014820782681404021, 0.01137146578750137, 0.032043535305399475, 0.12154370264962094, 0.999999999999999]","[False, True, False]","[False, True, True, True]",False,False
11956,Beaver;Europe;Asia;Islam;Allah,Beaver,Allah,4,3,1,"[0.042075434423009414, 0.2653510571326668, 0.0888481217750815, 0.27157418161038366]","[0.004301017734748698, 0.03250632154616311, 0.03165900473238103, 0.27157418161038366, 0.999999999999998]","[True, False, True]","[True, False, True, True]",False,False
5730,Photosynthesis;Oxygen;Chemical_element;Periodic_table;Polonium,Photosynthesis,Polonium,4,3,1,"[0.2471829243894838, 0.18887416918770084, 0.42318001982105063, 0.08933764110947287]","[0.026525633566029484, 0.04924033378703339, 0.12782831871712, 0.08933764110947287, 1.0000000000000002]","[False, True, False]","[True, True, False, True]",False,False
18467,Wayne_Rooney;Harry_Potter;J._K._Rowling;Employment;Business,Wayne_Rooney,Painting,4,3,0,"[0.027152071834187035, 0.5957054413245018, 0.011761346006280112, 0.1441161562461759]","[0.01670404499877204, 0.015509188039548465, 0.013925175777924282, 0.1441161562461759, 0.9999999999999997]","[True, False, True]","[False, False, True, True]",False,False
288,Athens;Crusades;Christianity;Jesus;Trinity,Athens,Trinity,4,3,1,"[0.022839433510141553, 0.11732344401426989, 0.4779450275366776, 0.4427226593058097]","[0.01742612549012609, 0.054612953606566456, 0.5287983438719441, 0.4427226593058097, 0.9999999999999983]","[True, True, False]","[True, True, False, True]",False,False
