,link,#_clicks_norm,in_image
0,áedán mac gabráin,1.0,0
1,åland,0.25,1
2,édouard manet,0.1,1
3,éire,1.0,0
4,óengus i of the picts,1.0,0
5,€2 commemorative coins,1.0,0
6,10th century,1.0,0
7,11th century,0.3448275862068966,1
8,12th century,1.0,0
9,13th century,1.0,0
10,14th century,1.0,0
11,15th marine expeditionary unit,1.0,0
12,15th century,1.0,0
13,16 cygni,1.0,0
14,16 cygni bb,1.0,0
15,16th century,0.5411764705882353,1
16,1755 lisbon earthquake,1.0,0
17,17th century,1.0,0
18,1896 summer olympics,1.0,0
19,18th century,0.496,1
20,1928 okeechobee hurricane,1.0,0
21,1973 oil crisis,1.0,0
22,1980 eruption of mount st. helens,1.0,0
23,1997 pacific hurricane season,1.0,0
24,19th century,1.0,0
25,1 ceres,1.0,0
26,1st century,1.0,0
27,1st century bc,1.0,0
28,2-6-0,1.0,0
29,2-8-0,1.0,0
30,2003 atlantic hurricane season,1.0,0
31,2004 atlantic hurricane season,1.0,0
32,2004 indian ocean earthquake,1.0,0
33,2005 atlantic hurricane season,1.0,0
34,2005 hertfordshire oil storage terminal fire,1.0,0
35,2005 kashmir earthquake,1.0,0
36,2005 lake tanganyika earthquake,1.0,0
37,2005 sumatra earthquake,1.0,0
38,20th century,0.672,1
39,21st century,1.0,0
40,2nd century,1.0,0
41,3 juno,1.0,0
42,3rd century,1.0,0
43,4-2-0,1.0,0
44,4-4-0,1.0,0
45,4-6-0,1.0,0
46,47 ursae majoris,1.0,0
47,47 ursae majoris b,1.0,0
48,47 ursae majoris c,1.0,0
49,4 vesta,1.0,0
50,4th century,1.0,0
51,55 cancri,1.0,0
52,55 cancri b,1.0,0
53,55 cancri c,1.0,0
54,55 cancri d,1.0,0
55,55 cancri e,1.0,0
56,5th century,1.0,0
57,6-2-0,1.0,0
58,6th century,1.0,0
59,7th century,1.0,0
60,8th century,1.0,0
61,90377 sedna,1.0,0
62,9th century,1.0,0
63,a. e. j. collins,1.0,0
64,abo blood group system,1.0,0
65,ac dc,1.0,0
66,aids,1.0,0
67,ak-47,1.0,0
68,alco fa,1.0,0
69,ascii,1.0,0
70,at&t,1.0,0
71,atlas experiment,1.0,0
