,link,#_clicks_norm,in_image
72,a christmas carol,1.0,0
73,a tale of a tub,1.0,0
74,a wrinkle in time,1.0,0
75,a cappella,1.0,0
76,aachen,1.0,0
77,aardvark,1.0,0
78,aarhus,1.0,0
79,abacá,1.0,0
80,abacus,1.0,0
81,abadan,1.0,0
82,abbadid,1.0,0
83,abbas i of persia,1.0,0
84,abbasid,1.0,0
85,abbey,1.0,0
86,abbey theatre,1.0,0
87,abbot,1.0,0
88,abel tasman,1.0,0
89,aberdeen,1.0,0
90,aberration of light,1.0,0
91,aberystwyth,1.0,0
92,abhidhamma pitaka,1.0,0
93,abidjan,1.0,0
94,abkhazia,1.0,0
95,able archer 83,1.0,0
96,abraham goldfaden,1.0,0
97,abraham lincoln,1.0,0
98,absinthe,1.0,0
99,absolute zero,1.0,0
100,abstract art,1.0,0
101,abu dhabi,1.0,0
102,abuja,1.0,0
103,acceleration,1.0,0
104,accountancy,1.0,0
105,accra,1.0,0
106,acetic acid,1.0,0
107,acetone,1.0,0
108,achilles,1.0,0
109,achilles tendon,1.0,0
110,acid rain,1.0,0
111,acorn computers,1.0,0
112,actinium,1.0,0
113,action potential,1.0,0
114,actor,1.0,0
115,acts of union 1707,1.0,0
116,actuary,1.0,0
117,adam smith,1.0,0
118,addis ababa,1.0,0
119,adelaide,1.0,0
120,adenosine triphosphate,1.0,0
121,adi shankara,1.0,0
122,adolf hitler,1.0,0
123,adriaen van der donck,1.0,0
124,advertising,1.0,0
125,aesthetics,1.0,0
126,afghan hound,1.0,0
127,afghanistan,1.0,0
128,africa,1.0,0
129,african american literature,1.0,0
130,african black oystercatcher,1.0,0
131,african brush-tailed porcupine,1.0,0
132,african buffalo,1.0,0
133,african darter,1.0,0
134,african great lakes,1.0,0
135,african grey hornbill,1.0,0
136,african grey parrot,1.0,0
137,african jacana,1.0,0
138,african penguin,1.0,0
139,african union,1.0,0
140,african wild dog,1.0,0
141,african clawed frog,1.0,0
142,african dwarf frog,1.0,0
143,african slave trade,1.0,0
144,afrikaans,1.0,0
145,agamemnon,0.3571428571428571,1
146,age of enlightenment,1.0,0
147,aggregator,1.0,0
148,agnosticism,1.0,0
149,agriculture,1.0,0
150,airbus,1.0,0
151,airbus a380,0.5555555555555556,1
152,aircraft,1.0,0
153,aircraft carrier,1.0,0
154,airship,1.0,0
155,ajax (programming),1.0,0
156,akbar,0.2222222222222222,1
157,akhenaten,1.0,0
158,akira kurosawa,1.0,0
159,akkadian empire,1.0,0
160,akrotiri and dhekelia,1.0,0
161,aksumite currency,1.0,0
162,al jazeera,1.0,0
163,alamosaurus,1.0,0
164,alan turing,1.0,0
165,albania,1.0,0
166,albatross,1.0,0
167,albert einstein,1.0,0
168,alberto santos-dumont,1.0,0
169,albertosaurus,1.0,0
170,albigensian crusade,1.0,0
171,albinism,1.0,0
172,albrecht dürer,0.2857142857142857,1
173,albrecht rodenbach,1.0,0
174,alchemy,1.0,0
175,alcibiades,1.0,0
176,alcohol,1.0,0
177,aleksandr pushkin,1.0,0
178,aleksandr vasilevsky,1.0,0
179,aleksey arakcheyev,1.0,0
180,alexander graham bell,1.0,0
181,alexander hamilton,1.0,0
182,alexander the great,1.0,0
183,alfred hitchcock,1.0,0
184,alfred nobel,1.0,0
185,alfred the great,1.0,0
186,algebra,1.0,0
187,algeria,1.0,0
188,algerian civil war,1.0,0
189,algiers,1.0,0
190,algol,1.0,0
191,algoma central railway,1.0,0
192,algorithm,1.0,0
193,alice's adventures in wonderland,1.0,0
194,all blacks,1.0,0
195,all you need is love (the jams song),1.0,0
196,all your base are belong to us,1.0,0
197,allah,0.5294117647058824,1
198,allegory in the middle ages,1.0,0
199,alligator,1.0,0
200,alliterative verse,1.0,0
201,allosaurus,1.0,0
202,almaty,1.0,0
203,almond,1.0,0
204,alpaca,1.0,0
205,alphabet,1.0,0
206,alternating current,1.0,0
207,alternation of generations,1.0,0
208,alternative rock,1.0,0
209,aluminium,1.0,0
210,aluminium chloride,1.0,0
211,alzheimer's disease,1.0,0
212,amaranth oil,1.0,0
213,"amarillo, texas",1.0,0
214,amazon basin,1.0,0
215,amazon rainforest,1.0,0
216,amazon river,1.0,0
217,amazon parrot,1.0,0
218,amber,1.0,0
219,amda seyon i,1.0,0
220,american civil war,1.0,0
221,american english,1.0,0
222,american revolutionary war,1.0,0
223,american samoa,1.0,0
224,american football,1.0,0
225,american popular music,1.0,0
226,americium,1.0,0
227,amish,1.0,0
228,ammolite,1.0,0
229,ammonia,1.0,0
230,ammonite,1.0,0
231,ammosaurus,1.0,0
232,amsterdam,0.2982456140350877,1
233,amtrak,1.0,0
234,amur,1.0,0
235,anaconda,1.0,0
236,analytical marxism,1.0,0
237,anarchism,1.0,0
238,anarcho-capitalism,1.0,0
239,anatomy,1.0,0
240,ancient egypt,1.0,0
241,ancient greece,1.0,0
242,ancient rome,1.0,0
243,ancient history,1.0,0
244,andes,1.0,0
245,andorra,1.0,0
246,andrés nocioni,1.0,0
247,andrew carnegie,1.0,0
248,andrew dickson white,1.0,0
249,andrew gonzalez,1.0,0
250,andrew jackson,1.0,0
251,andrew johnson,0.35000000000000003,1
252,andrew robinson,1.0,0
253,andriyivskyy descent,1.0,0
254,andromeda galaxy,1.0,0
255,andy warhol,1.0,0
256,anemia,1.0,0
257,angel shark,1.0,0
258,angelica,1.0,0
259,angkor,1.0,0
260,angkor wat,1.0,0
261,anglican church of australia,1.0,0
262,anglican communion,1.0,0
263,anglicanism,1.0,0
264,anglo-saxon literature,1.0,0
265,angola,1.0,0
266,anguilla,1.0,0
267,animal,1.0,0
268,animal law,1.0,0
269,animal rights,1.0,0
270,animation,1.0,0
271,ankylosaurus,1.0,0
272,"ann arbor, michigan",1.0,0
273,anna karenina,1.0,0
274,anne frank,1.0,0
275,anne of great britain,1.0,0
276,annibale bugnini,1.0,0
277,anno domini,1.0,0
278,anschluss,1.0,0
279,ant,1.0,0
280,antananarivo,1.0,0
281,antarctic treaty system,1.0,0
282,antarctic krill,1.0,0
283,antarctica,1.0,0
284,antarctosaurus,1.0,0
285,anteater,1.0,0
286,antelope,1.0,0
287,anthony van dyck,1.0,0
288,anthropology,1.0,0
289,antigua and barbuda,1.0,0
290,antimony,1.0,0
291,antlion,1.0,0
292,antoine lavoisier,1.0,0
293,antonín dvořák,1.0,0
294,anton alexander von werner,1.0,0
295,antonio vivaldi,1.0,0
296,antwerp,1.0,0
297,apaochi,1.0,0
298,apatosaurus,1.0,0
299,ape,1.0,0
300,aphid,1.0,0
301,apollo,1.0,0
302,apollo 11,1.0,0
303,apollo 8,1.0,0
304,apostolic succession,1.0,0
305,apple,1.0,0
306,applied mathematics,1.0,0
307,apricot,1.0,0
308,aquarium,1.0,0
309,arab-israeli conflict,1.0,0
310,arab league,1.0,0
311,arabic language,1.0,0
312,arable land,1.0,0
313,"aradia, or the gospel of the witches",1.0,0
314,aral sea,0.30000000000000004,1
315,arcadia (play),1.0,0
316,archaeoastronomy,1.0,0
317,archaeology,1.0,0
318,archaeopteryx,1.0,0
319,archbishop of canterbury,1.0,0
320,archimedes,1.0,0
321,architecture,1.0,0
322,architecture of windows nt,1.0,0
323,architecture of the california missions,1.0,0
324,arctic,1.0,0
325,arctic circle,1.0,0
326,arctic monkeys,1.0,0
327,arctic ocean,1.0,0
328,arctic tern,1.0,0
329,arecaceae,1.0,0
330,argan,1.0,0
331,argentina,1.0,0
332,argon,1.0,0
333,argyle diamond mine,1.0,0
334,ariel sharon,0.1111111111111111,1
335,aristarchus (crater),1.0,0
336,aristotle,1.0,0
337,arithmetic,1.0,0
338,armadillo,1.0,0
339,"armand jean du plessis, cardinal richelieu",1.0,0
340,armenia,1.0,0
341,armia krajowa,1.0,0
342,arnold schwarzenegger,1.0,0
343,arp2 3 complex,1.0,0
344,ars moriendi,1.0,0
345,arsenal f.c.,1.0,0
346,arsenic,1.0,0
347,art,1.0,0
348,arthropod,1.0,0
349,arthur ernest percival,1.0,0
350,arthur sullivan,1.0,0
351,arthur upfield,1.0,0
352,"arthur wellesley, 1st duke of wellington",1.0,0
353,arts and crafts,1.0,0
354,aruba,1.0,0
355,arugula,1.0,0
356,ascariasis,1.0,0
357,asia,1.0,0
358,asp (reptile),1.0,0
359,asparagus,1.0,0
360,asperger syndrome,1.0,0
361,assyria,1.0,0
362,astatine,1.0,0
363,asteroid,1.0,0
364,asthma,1.0,0
365,astrology,1.0,0
366,astronomy,1.0,0
367,astrophysics data system,1.0,0
368,asunción,1.0,0
369,ateneo de manila university,1.0,0
370,athanasius kircher,1.0,0
371,atheism,1.0,0
372,athena,1.0,0
373,athens,1.3902439024390245,1
374,athletics (track and field),1.0,0
375,"atlanta, georgia",1.0,0
376,atlantic coast line railroad,1.0,0
377,atlantic ocean,1.0,0
378,atlantic herring,1.0,0
379,atlantic slave trade,1.0,0
380,atlantis,1.0,0
381,atom,1.0,0
382,atonality,1.0,0
383,attack on pearl harbor,1.0,0
384,attalus i,1.0,0
385,attention-deficit hyperactivity disorder,1.0,0
386,attila the hun,1.0,0
387,auckland,1.0,0
388,"augusta, lady gregory",1.0,0
389,augustan literature,1.0,0
390,auguste rodin,1.0,0
391,augustine of hippo,1.0,0
392,augustus,0.25806451612903225,1
393,australia,1.0115606936416184,1
394,australian english,1.0,0
395,australian green tree frog,1.0,0
396,australian open,1.0,0
397,australian ringneck,1.0,0
398,australian constitutional law,1.0,0
399,australian rules football,1.0,0
400,austria,1.0,0
401,autism,1.0,0
402,auto racing,1.0,0
403,autobianchi primula,1.0,0
404,autocracy,1.0,0
405,automated teller machine,1.0,0
406,automatic number plate recognition,1.0,0
407,automobile,1.0,0
408,autorack,1.0,0
409,autostereogram,1.0,0
410,autumn,1.0,0
411,avacha volcano,1.0,0
412,avalanche,1.0,0
413,avatar  the last airbender,1.0,0
414,avocado,1.0,0
415,avon gorge,1.0,0
416,avro lancaster,1.0,0
417,axe,1.0,0
418,ayaan hirsi ali,1.0,0
419,aye-aye,1.0,0
420,"aymer de valence, 2nd earl of pembroke",1.0,0
421,azerbaijan,1.0,0
422,azerbaijani people,1.0,0
423,aztec,1.0,0
424,bae systems,1.0,0
425,basic,1.0,0
426,bbc,1.0,0
427,bbc television drama,1.0,0
428,bp,1.0,0
429,bt tower,1.0,0
430,b vitamins,1.0,0
431,babe ruth,1.0,0
432,baboon,1.0,0
433,babur,1.0,0
434,baby gender mentor,1.0,0
435,babylonia,1.0,0
436,backgammon,1.0,0
437,bacteria,1.0,0
438,baden-powell house,1.0,0
439,badger,1.0,0
440,badminton,1.0,0
441,badugi,1.0,0
442,baghdad,1.0,0
443,bahá'í faith,1.0,0
444,bahamas,1.0,0
445,bahrain,1.0,0
446,baker island,1.0,0
447,bald eagle,1.0,0
448,baltic sea,1.0,0
449,"baltimore, maryland",1.0,0
450,bamako,1.0,0
451,banana,1.0,0
452,bandicoot,1.0,0
453,bangalore,1.0,0
454,bangkok,1.0,0
455,bangladesh,0.07,1
456,banjul,1.0,0
457,bank of china (hong kong),1.0,0
458,banknote,1.0,0
459,banksy,1.0,0
460,bantu,1.0,0
461,barack obama,1.0,0
462,barbados,1.0,0
463,barbara mcclintock,1.0,0
464,barbary lion,1.0,0
465,barbary macaque,1.0,0
466,barcelona,0.2777777777777778,1
467,barium,1.0,0
468,barley,1.0,0
469,barn owl,2.0,1
470,barnacle,1.0,0
471,baroque,1.0,0
472,barracuda,1.0,0
473,baruch spinoza,1.0,0
474,baseball,1.0,0
475,basel,1.0,0
476,basil,1.0,0
477,basil brush,1.0,0
478,basilica of san francesco d'assisi,1.0,0
479,basilica of santa maria degli angeli,1.0,0
480,basketball,1.0,0
481,basking shark,1.0,0
482,bass (fish),1.0,0
483,basset hound,1.0,0
484,bassoon,1.0,0
485,bat,1.0,0
486,bat-eared fox,1.0,0
487,"bath, somerset",1.0,0
488,bath school disaster,1.0,0
489,batholith,1.0,0
490,batman,1.0,0
491,battle of alesia,1.0,0
492,battle of amiens,1.0,0
493,battle of austerlitz,1.0,0
494,battle of badr,1.0,0
495,battle of bicocca,1.0,0
496,battle of britain,1.0,0
497,battle of cannae,1.0,0
498,battle of france,1.0,0
499,battle of gettysburg,1.0,0
500,battle of grunwald,1.0,0
501,battle of hastings,1.0,0
502,battle of jutland,1.0,0
503,battle of lechaeum,1.0,0
504,battle of leyte gulf,1.0,0
505,battle of marathon,1.0,0
506,battle of midway,1.0,0
507,battle of moscow,1.0,0
508,battle of normandy,1.0,0
509,battle of rennell island,1.0,0
510,battle of sitka,1.0,0
511,battle of smolensk (1943),1.0,0
512,battle of stalingrad,1.0,0
513,battle of tours,1.0,0
514,battle of vaslui,1.0,0
515,battle of warsaw (1920),1.0,0
516,battle of the bulge,1.0,0
517,battle of the eastern solomons,1.0,0
518,battle of the little bighorn,1.0,0
519,battle of the santa cruz islands,1.0,0
520,battle of the somme (1916),1.0,0
521,battles of the mexican-american war,1.0,0
522,bay area rapid transit,1.0,0
523,bay of bengal,1.0,0
524,beach,1.0,0
525,bean,1.0,0
526,bear,1.0,0
527,beatles for sale,1.0,0
528,beaver,1.0,0
529,bedbug,1.0,0
530,bede,1.0,0
531,bee,1.0,0
532,beeching axe,1.0,0
533,beekeeping,1.0,0
534,beep (swblw),1.0,0
535,beer,1.1428571428571428,1
536,beet,1.0,0
537,beetle,1.0,0
538,behavioral finance,1.0,0
539,behistun inscription,1.0,0
540,beijing,0.45,1
541,beirut,1.0,0
542,belarus,1.0,0
543,belfast,0.46875,1
544,belgium,0.1409090909090909,1
545,belize,1.0,0
546,belton house,1.0,0
547,ben-hur (1959 film),1.0,0
548,ben jonson,1.0,0
549,ben nevis,1.0,0
550,bench language,1.0,0
551,benin,1.0,0
552,benito mussolini,1.0,0
553,benjamin britten,1.0,0
554,"benjamin disraeli, 1st earl of beaconsfield",1.0,0
555,benjamin franklin,1.0,0
556,benjamin harrison,1.0,0
557,benjamin mountfort,1.0,0
558,benjamin of tudela,1.0,0
559,benzene,1.0,0
560,berber languages,1.0,0
561,beriberi,1.0,0
562,berkelium,1.0,0
563,berlin,0.36507936507936506,1
564,berlin wall,1.0,0
565,bermuda,1.0,0
566,bernard hinault,1.0,0
567,bertrand russell,1.0,0
568,beryllium,1.0,0
569,betelgeuse incident,1.0,0
570,bette davis,1.0,0
571,bhutan,1.0,0
572,bible,0.6507936507936507,1
573,bicycle,1.0,0
574,bicycle thieves,1.0,0
575,big bang,1.0,0
576,bill clinton,1.0,0
577,bill gates,1.0,0
578,billie holiday,1.0,0
579,binary star,1.0,0
580,binoculars,1.0,0
581,binomial nomenclature,1.0,0
582,biodiesel,1.0,0
583,biodiversity,1.0,0
584,biofuel,1.0,0
585,bioinformatics,1.0,0
586,biology,1.0,0
587,bionicle  mask of light,1.0,0
588,biosphere,1.0,0
589,biotechnology,1.0,0
590,bird,1.0,0
591,bird migration,1.0,0
592,bird of prey,1.0,0
593,birmingham,1.0,0
594,birth control,1.0,0
595,bismuth,1.0,0
596,bison,1.0,0
597,bissau,1.0,0
598,björn borg,1.0,0
599,bjørnøya,1.0,0
600,black-backed jackal,1.0,0
601,black-footed cat,1.0,0
602,black-winged stilt,1.0,0
603,black death,1.0,0
604,black rhinoceros,1.0,0
605,black robin,1.0,0
606,black sea,1.0,0
607,black seminoles,1.0,0
608,black wildebeest,1.0,0
609,black hole,1.0,0
610,black panther,1.0,0
611,black pepper,1.0,0
612,black widow spider,1.0,0
613,blackbird,1.0,0
614,blackcap,1.0,0
615,blackjack,1.0,0
616,blackpool,1.0,0
617,blacktip reef shark,1.0,0
618,blade runner,1.0,0
619,blaise pascal,1.0,0
620,blitzkrieg,1.0,0
621,blokus,1.0,0
622,blood type,1.0,0
623,blue jay,1.0,0
624,blue peter,1.0,0
625,blue tit,1.0,0
626,blue whale,1.0,0
627,blue wildebeest,1.0,0
628,blue shark,1.0,0
629,bluegrass music,1.0,0
630,bluetooth,1.0,0
631,boa,1.0,0
632,board game,1.0,0
633,boat,1.0,0
634,bob dylan,1.0,0
635,bob marley,1.0,0
636,bobcat,1.0,0
637,body mass index,1.0,0
638,bodyline,0.5,1
639,boeing 747,1.0,0
640,bog,1.0,0
641,bogotá,1.0,0
642,bohemian rhapsody,1.0,0
643,bohor reedbuck,1.0,0
644,bohrium,1.0,0
645,bolivia,1.0,0
646,bologna,1.0,0
647,boltysh crater,1.0,0
648,bongo (antelope),1.0,0
649,bonobo,1.0,0
650,bontebok,1.0,0
651,booby,1.0,0
652,book,1.0,0
653,book of common prayer,1.0,0
654,book of kells,1.0,0
655,boolean logic,1.0,0
656,borage,1.0,0
657,boris becker,1.0,0
658,boron,1.0,0
659,bosnia and herzegovina,1.0,0
660,"boston, massachusetts",1.0,0
661,boston rfc,1.0,0
662,boston terrier,1.0,0
663,boston and lowell railroad,1.0,0
664,botany,1.0,0
665,botswana,1.0,0
666,bottlenose dolphin,1.0,0
667,boudica,1.0,0
668,boundary waters canoe area wilderness,1.0,0
669,bourbonnais train accident,1.0,0
670,bouvet island,1.0,0
671,box jellyfish,1.0,0
672,boy scout,1.0,0
673,boyle roche,1.0,0
674,brabantian,1.0,0
675,brabham,1.0,0
676,brachiosaurus,1.0,0
677,brahman,1.0,0
678,brain,1.0,0
679,bran,1.0,0
680,brandon routh,1.0,0
681,brasília,1.0,0
682,brass instrument,1.0,0
683,bratislava,1.0,0
684,brazil,0.6270491803278689,1
685,bread,1.0,0
686,breaker morant,1.0,0
687,bretton woods system,1.0,0
688,brian close,1.0,0
689,bridge,1.0,0
690,brighton,1.0,0
691,brisbane,1.0,0
692,bristol,1.0,0
693,british east india company,1.0,0
694,british empire,1.6521739130434783,1
695,british english,1.0,0
696,british house of commons,1.0,0
697,british indian ocean territory,1.0,0
698,british isles,1.0,0
699,british isles (terminology),1.0,0
700,british virgin islands,1.0,0
701,british monarchy,1.0,0
702,britney spears,1.0,0
703,broadcasting,1.0,0
704,bromine,1.0,0
705,bronze age,1.0,0
706,brothers grimm,1.0,0
707,brown trout,1.0,0
708,bruce lee,1.0,0
709,bruce springsteen,1.0,0
710,brunei,1.0,0
711,brush,1.0,0
712,brussels,1.0,0
713,brute force attack,1.0,0
714,bryce canyon national park,1.0,0
715,btrieve,1.0,0
716,bucharest,0.2727272727272727,1
717,buckingham palace,1.0,0
718,buckminster fuller,1.0,0
719,budapest,1.0,0
720,buddha,1.0,0
721,buddhism,1.0,0
722,buddhist art,1.0,0
723,buenos aires,1.0,0
724,buffy the vampire slayer,1.0,0
725,bulgaria,0.07627118644067797,1
726,bull shark,1.0,0
727,burkina faso,1.0,0
728,burundi,1.0,0
729,bushbuck,1.0,0
730,bushpig,1.0,0
731,business,1.0,0
732,butter,1.0,0
733,button,1.0,0
734,byzantine empire,0.5238095238095238,1
735,c++,1.0,0
736,cædmon,1.0,0
737,côte d'ivoire,1.0,0
738,c. s. lewis,1.0,0
739,cf7,1.0,0
740,cpu cache,1.0,0
741,cs gas,1.0,0
742,cactus,1.0,0
743,cadmium,1.0,0
744,caesar cipher,1.0,0
745,caesium,1.0,0
746,caesium fluoride,1.0,0
747,cai lun,1.0,0
748,cairo,1.0,0
749,calcite,1.0,0
750,calcium,1.0,0
751,calcium chloride,1.0,0
752,calculus,1.0,0
753,calgary,1.0,0
754,california,0.8860759493670886,1
755,california southern railroad,1.0,0
756,californium,1.0,0
757,calligraphy,1.0,0
758,caloris basin,1.0,0
759,calvin coolidge,1.0,0
760,calvin and hobbes,1.0,0
761,camarasaurus,1.0,0
762,cambodia,0.109375,1
763,cambrian,1.0,0
764,cambrian explosion,1.0,0
765,cambridge,0.1168831168831169,1
766,camel,1.0,0
767,cameroon,1.0,0
768,canada,0.7624750499001995,1
769,canada goose,1.0,0
770,canadian charter of rights and freedoms,1.0,0
771,canadian english,1.0,0
772,canadian house of commons,1.0,0
773,canadian pacific railway,1.0,0
774,canadian senate,1.0,0
775,canadian football,1.0,0
776,canal,1.0,0
777,canaletto,1.0,0
778,canberra,0.5,1
779,cancer,1.0,0
780,cane toad,1.0,0
781,canola,1.0,0
782,canterbury,1.0,0
783,canterbury cathedral,0.7333333333333333,1
784,canute the great,1.0,0
785,capacitance,1.0,0
786,cape canaveral,1.0,0
787,cape horn,1.0,0
788,cape lion,1.0,0
789,cape porcupine,1.0,0
790,cape town,1.0,0
791,cape verde,1.0,0
792,capital,1.0,0
793,capitalism,1.0,0
794,capitoline triad,1.0,0
795,captain marvel (dc comics),1.0,0
796,caracas,1.0,0
797,caratacus,1.0,0
798,caravaggio,1.0,0
799,carbon,1.0,0
800,carbon dioxide,0.4460431654676259,1
801,carboniferous,1.0,0
802,carcinus maenas,1.0,0
803,card game,1.0,0
804,cardiff,1.0,0
805,caribbean sea,1.0,0
806,carl friedrich gauss,1.0,0
807,carl g. fisher,1.0,0
808,carl jung,1.0,0
809,carl lewis,1.0,0
810,carl sagan,1.0,0
811,carlsbad caverns national park,1.0,0
812,carnivore,1.0,0
813,caroline island,1.0,0
814,"carolingian gospel book (british library, ms add. 11848)",1.0,0
815,carolus linnaeus,1.0,0
816,carrot,1.0,0
817,casablanca (film),1.0,0
818,casimir effect,1.0,0
819,caspian sea,1.0,0
820,cassini-huygens,1.0,0
821,cassowary,1.0,0
822,castra,1.0,0
823,cat,1.0,0
824,cat's eye nebula,1.0,0
825,cat stevens,1.0,0
826,cataract,1.0,0
827,cataract surgery,1.0,0
828,cathedral of magdeburg,1.0,0
829,catherine cranston,1.0,0
830,catherine ii of russia,1.0,0
831,catholic social teaching,1.0,0
832,cattle,1.0,0
833,cave,1.0,0
834,cayman islands,1.0,0
835,celeriac,1.0,0
836,celery,1.0,0
837,celine dion,1.0,0
838,cell (biology),1.0,0
839,cello,1.0,0
840,celtic f.c.,1.0,0
841,celtic park,1.0,0
842,celtic mythology,1.0,0
843,central african republic,1.0,0
844,central processing unit,1.0,0
845,ceratopsidae,1.0,0
846,cereal,1.0,0
847,cerebellum,1.0,0
848,ceres (dwarf planet),1.0,0
849,cerium,1.0,0
850,chad,1.0,0
851,chadian-sudanese conflict,1.0,0
852,chaffinch,1.0,0
853,channel islands,1.0,0
854,charlemagne,0.2631578947368421,1
855,charles babbage,1.0,0
856,charles darwin,1.0,0
857,charles dickens,1.0,0
858,charles etienne brasseur de bourbourg,1.0,0
859,charles ii of england,1.0,0
860,charles i of england,1.0,0
861,charles sumner,1.0,0
862,"charles v, holy roman emperor",1.0,0
863,charlie chaplin,1.0,0
864,charlotte's web,1.0,0
865,chartism,1.0,0
866,che guevara,1.0,0
867,cheers,1.0,0
868,cheese,1.0,0
869,cheetah,1.0,0
870,chelsea f.c.,1.0,0
871,chemical element,1.0,0
872,chemical synapse,1.0,0
873,chemistry,1.0,0
874,chennai,1.0,0
875,chepstow bridge,1.0,0
876,chernobyl disaster,1.0,0
877,chess,1.0,0
878,chester a. arthur,1.0,0
879,chestnut,1.0,0
880,chew magna,1.0,0
881,chew stoke,1.0,0
882,chew valley,1.0,0
883,chew valley lake,1.0,0
884,chicago,0.3709677419354839,1
885,chicago bears,1.0,0
886,chicago and north western railway,1.0,0
887,chicken,1.0,0
888,child,1.0,0
889,children's crusade,1.0,0
890,children's rights movement,1.0,0
891,chile,1.0,0
892,chiltern hills,1.0,0
893,chimpanzee,1.0,0
894,china,0.7175843694493783,1
895,chinese rites controversy,1.0,0
896,chinese language,1.0,0
897,chinyingi,1.0,0
898,chives,1.0,0
899,chlorine,1.0,0
900,chocolate,1.0,1
901,chola dynasty,1.0,0
902,cholera,0.25,1
903,chordate,1.0,0
904,chris evert,1.0,0
905,christian bale,1.0,0
906,christian monasticism,1.0,0
907,christianity,1.0,0
908,christina aguilera,1.0,0
909,christmas island,1.0,0
910,christopher columbus,1.0,0
911,christopher wren,1.0,0
912,chromatic aberration,1.0,0
913,chromatophore,1.0,0
914,chromium,1.0,0
915,church of england,1.0,0
916,church of ireland,1.0,0
917,cicely,1.0,0
918,cider,1.0,0
919,cinema of the united states,1.0,0
920,citizen kane,1.0,0
921,citizenship,1.0,0
922,citrus,1.0,0
923,city,1.0,0
924,city status in the united kingdom,1.0,0
925,civil war token,1.0,0
926,civil rights,1.0,0
927,civil society,1.0,0
928,civilization,1.0,0
929,civilization (computer game),1.0,0
930,clarinet,1.0,0
931,classic female blues,1.0,0
932,claude lévi-strauss,1.0,0
933,claude monet,1.0,0
934,claudius,1.0,0
935,clay,1.0,0
936,cleopatra vii,1.0,0
937,cleopatra vii of egypt,1.0,0
938,"cleveland, ohio",1.0,0
939,clifton suspension bridge,1.0,0
940,climate,1.0,0
941,climate change,1.0,0
942,clock,1.0,0
943,clone wars (star wars),1.0,0
944,clothing,1.0,0
945,cloud,1.0,0
946,coal,1.0,0
947,coal tit,1.0,0
948,cobalt,1.0,0
949,coccinellidae,1.0,0
950,cochineal,1.0,0
951,cockatiel,1.0,0
952,cocoa,1.0,0
953,coconut,1.0,0
954,coconut crab,1.0,0
955,coconut oil,1.0,0
956,cocos (keeling) islands,1.0,0
957,cod,1.0,0
958,code of hammurabi,1.0,0
959,coffee,1.0,0
960,coin,1.0,0
961,cold war,1.0,0
962,colditz castle,1.0,0
963,colima (volcano),1.0,0
964,collapse of the world trade center,1.0,0
965,colley cibber,0.4545454545454546,1
966,cologne,1.0,0
967,colombia,1.0,0
968,colombo,1.0,0
969,color,1.0,0
970,color graphics adapter,1.0,0
971,color blindness,1.0,0
972,colorado river,1.0,0
973,colossus of rhodes,1.0,0
974,columba,1.0,0
975,columbia river,1.0,0
976,columbine high school massacre,1.0,0
977,"columbus, ohio",1.0,0
978,comet,1.0,0
