,path,source_article,target_article,human_path_length,shortest_path_length,is_successful,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing
17896,Drinking_water;Bacteria;Genetics;Science,Drinking_water,Thomas_Samuel_Kuhn,3,3,0,"[0.0735613278707542, 0.1005092324442041, 0.062192406950655275]","[0.026988674226100063, 0.04099288902339916, 0.062192406950655275, 0.9999999999999984]","[True, False]","[True, True, True]",False,True
15112,Pellagra;Maize;Vegetable;Pumpkin,Pellagra,Pumpkin,3,3,1,"[0.19359419881506434, 0.03565956222387061, 0.058893669984897576]","[0.0071828590591438745, 0.02443476746743722, 0.058893669984897576, 1.000000000000002]","[False, True]","[True, True, True]",False,True
20276,Theatre;India;Mammal;Animal,Theatre,Zebra,3,3,0,"[0.04691140493028487, 0.028943277738336232, 0.0724197183196405]","[0.008726465548975307, 0.018380379335746058, 0.0724197183196405, 1.0]","[False, True]","[True, True, True]",False,True
18878,Dinosaur;Scientific_classification;Charles_Darwin;Isaac_Newton,Dinosaur,Alan_Turing,3,3,0,"[0.06550096471262357, 0.05447885467023273, 0.04200476545295028]","[0.017482367068313538, 0.022078629370086617, 0.04200476545295028, 1.0000000000000013]","[False, False]","[True, True, True]",False,True
18713,Theatre;Stage_%28theatre%29;Boston%2C_Massachusetts;Rhode_Island,Theatre,Zebra,3,3,0,"[0.21253257284335733, 0.039880588273304554, 0.08788950611410817]","[0.008063882294440947, 0.007778662839389418, 0.08788950611410817, 0.999999999999998]","[False, True]","[False, True, True]",False,False
10063,Boston%2C_Massachusetts;Global_city;Amsterdam;Anne_Frank,"Boston, Massachusetts",Anne_Frank,3,3,1,"[0.11533052322276281, 0.10834887829236804, 0.16157317501242838]","[0.018198614195467644, 0.02563540512599571, 0.16157317501242838, 0.9999999999999996]","[False, True]","[True, True, True]",False,True
15151,Peter_I_of_Russia;Saint_Petersburg;Leonhard_Euler;Algebra,Peter_I_of_Russia,Algebra,3,3,1,"[0.22574602451477307, 0.12082597271709516, 0.05732416649558404]","[0.0066368235480885945, 0.011305909045242825, 0.05732416649558404, 1.0000000000000022]","[False, False]","[True, True, True]",False,True
13233,Geography_of_India;Asia;Africa;Liberia,Geography_of_India,Liberia,3,3,1,"[0.19474221665682956, 0.15405574236181843, 0.13956477087131208]","[0.023173881769801775, 0.030066894576557045, 0.13956477087131208, 0.9999999999999988]","[False, False]","[True, True, True]",False,True
15638,Rwandan_Genocide;France;Islam;Allah,Rwandan_Genocide,Allah,3,3,1,"[0.08125575664344865, 0.05956374161315277, 0.27157418161038366]","[0.005257351255532513, 0.024083681256980124, 0.27157418161038366, 0.999999999999998]","[False, True]","[True, True, True]",False,True
16463,Theatre;India;Mammal;Zebra,Theatre,Zebra,3,3,1,"[0.04691140493028487, 0.028943277738336232, 0.02639381305403988]","[0.003615741833142461, 0.007896560084496495, 0.02639381305403988, 0.9999999999999984]","[False, False]","[True, True, True]",False,True
18432,Asteroid;Earth;United_States;Netherlands,Asteroid,Viking,3,3,0,"[0.1618323538204031, 0.08151216872548508, 0.19232543787939158]","[0.017782016484853284, 0.04596880689569795, 0.19232543787939158, 1.000000000000002]","[False, True]","[True, True, True]",False,True
16394,Theatre;United_Kingdom;Lion;Zebra,Theatre,Zebra,3,3,1,"[0.05274342217704193, 0.050419424064479336, 0.049161085266737646]","[0.003615741833142461, 0.011883267251390174, 0.049161085266737646, 0.9999999999999984]","[False, False]","[True, True, True]",False,True
11352,ALCO_FA;Canada;Islam;Alcohol,ALCO_FA,Alcohol,3,3,1,"[0.0532788864882381, 0.03961741228835108, 0.03348516638467485]","[0.003511821650548056, 0.010567139737063566, 0.03348516638467485, 1.0000000000000009]","[False, False]","[True, True, True]",False,True
11386,Abu_Dhabi;Pearl;Mineral;Magnetism,Abu_Dhabi,Magnetism,3,3,1,"[0.02792154625879569, 0.024750403758427665, 0.055557750825198024]","[0.0050027469973371866, 0.01028042048655296, 0.055557750825198024, 1.000000000000003]","[False, True]","[True, True, True]",False,True
17107,Windsor_Castle;London;Roman_Empire;Roman_law,Windsor_Castle,Roman_law,3,3,1,"[0.06758653128938395, 0.05063494921830379, 0.2542156280105216]","[0.01803485539476754, 0.03816178063450886, 0.2542156280105216, 0.9999999999999997]","[False, True]","[True, True, True]",False,True
15272,Pochard;North_America;Africa;Zulu,Pochard,Zulu,3,3,1,"[0.02075588546223814, 0.15662271923661933, 0.11385081190240172]","[0.008995600698342845, 0.02599628842238861, 0.11385081190240172, 0.9999999999999993]","[True, False]","[True, True, True]",False,True
13544,Henry_James;Literature;Nature;Gas,Henry_James,Gas,3,3,1,"[0.16908989220415363, 0.07679738429859956, 0.07204617160851554]","[0.00850210324118145, 0.011332207987730396, 0.07204617160851554, 0.9999999999999984]","[False, False]","[True, True, True]",False,True
18397,Behistun_Inscription;Iran;Christianity;Roman_Catholic_Church,Behistun_Inscription,Harvest,3,3,0,"[0.1655718122959478, 0.056102623966299274, 0.44790303236014606]","[0.024369541123504243, 0.04495747925811216, 0.44790303236014606, 0.9999999999999999]","[False, True]","[True, True, True]",False,True
19972,Pyramid;Mexico;Chile;Ecuador,Pyramid,Bean,3,3,0,"[0.038694230531195195, 0.13681867908036968, 0.12198563806132759]","[0.009741288298068463, 0.10510972267713144, 0.12198563806132759, 0.9999999999999992]","[True, False]","[True, True, True]",False,True
