path,source_article,target_article,human_path_length,shortest_path_length,is_successful,top,center_top,center,center_bottom,bottom,count_images,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,used_top,used_center_bottom,used_bottom,treatment_used_top,prop_scores_used_top,treatment_used_center_bottom,prop_scores_used_center_bottom,treatment_used_bottom,prop_scores_used_bottom
house sparrow;scientific classification;aristotle;physics;black hole;hawking radiation,house sparrow,hawking radiation,5,4,1,0,0,2,1,3,4,"[0.044297979004546996, 0.06244735978828606, 0.09075437002541369, 0.1869878502465084, 0.6740718140333709]","[0.04104223315823512, 0.0053584117038425, 0.014584642647509607, 0.11691974276891129, 0.6740718140333709, 1.0000000000000009]","[True, True, True, True]","[False, True, True, True, True]",True,False,5.0,-197.0,199.032660636389,-542.0,-163.0,-128.0,-122.0,-30.0,4.0,128.0,197.67818965851205,-35.0,22.0,66.5,172.5,414.0,0,0,1,0,0.07966158961747573,0,0.07621385857119525,1,0.07909428055690766
cattle;bronze age;copper;periodic table;ununtrium,cattle,ununtrium,4,4,1,2,1,1,0,1,3,"[0.026705870690118667, 0.23211397504484144, 0.054452818996942445, 0.24771138836714676]","[0.004036879858518864, 0.007646828305000706, 0.028999275771624932, 0.24771138836714676, 1.0000000000000002]","[True, False, True]","[True, True, True, True]",False,True,4.0,-151.0,39.42926155365665,-189.0,-178.5,-157.0,-129.5,-101.0,3.0,-12.666666666666666,66.16141876753652,-88.0,-37.0,14.0,25.0,36.0,0,0,0,0,0.10229048392712678,0,0.10106966535367683,0,0.07910709294218021
karl marx;aristotle;mathematics;arithmetic;elementary arithmetic,karl marx,elementary arithmetic,4,4,1,0,0,1,1,3,4,"[0.04004365128450752, 0.09561551282713412, 0.20533204195066698, 0.2084415121961167]","[0.0064163027335055745, 0.008845559170559849, 0.03839283938868095, 0.2084415121961167, 0.9999999999999991]","[True, True, True]","[True, True, True, True]",True,True,4.0,-110.75,81.43453403399158,-186.0,-171.0,-124.0,-63.75,-9.0,3.0,52.333333333333336,64.53164598345012,-20.0,26.5,73.0,88.5,104.0,0,0,1,0,0.10117186791877586,0,0.08165114679289598,1,0.06933506426008183
battle of moscow;moscow;russia;volcano;koryaksky,battle of moscow,koryaksky,4,4,1,3,0,0,0,2,2,"[0.43704071050739823, 0.3151862797560848, 0.0332197890354784, 0.31553069409523166]","[0.007700184674205137, 0.019678468557281115, 0.05464039640733354, 0.31553069409523166, 0.9999999999999983]","[False, False, True]","[True, True, True, True]",False,True,4.0,-255.0,226.82445488380068,-580.0,-319.0,-186.0,-122.0,-68.0,3.0,24.0,412.23294385577674,-440.0,-138.0,164.0,256.0,348.0,1,0,0,1,0.09484809824677798,0,0.1097798217108315,0,0.06932774082767848
crystal;color;language;communication;television;film;silent film;charlie chaplin,crystal,charlie chaplin,7,4,1,1,1,0,1,5,4,"[0.035056733741530094, 0.040907028193687064, 0.28685451158153075, 0.04925295798749474, 0.1588482733601337, 0.4355725684893608, 0.14383581612012836]","[0.0043369034039920625, 0.006931230188142523, 0.009060018134649569, 0.006281343622523711, 0.02191369171216817, 0.15628233612141657, 0.14383581612012836, 0.9999999999999984]","[True, True, False, True, True, False]","[True, True, False, True, True, False, True]",False,False,7.0,-103.42857142857144,67.8794449566218,-170.0,-163.0,-127.0,-42.0,-17.0,6.0,25.0,81.29698641401168,-112.0,9.5,25.5,61.75,133.0,0,0,1,0,0.047300895858258064,0,0.03309155342738261,1,0.034052656157840894
bissau;capital;united states;finance;mathematics;algebra;linear algebra,bissau,linear algebra,6,4,1,1,0,1,2,3,5,"[0.06979173190240419, 0.1545720990238069, 0.045225574608906395, 0.10684576208971833, 0.1653146167399044, 0.44672059447517665]","[0.0032165568508279647, 0.014542787834860167, 0.03148995006187091, 0.02780025332407564, 0.20435773949049343, 0.44672059447517665, 1.0000000000000016]","[True, False, True, True, True]","[True, True, False, True, True, True]",False,False,6.0,-399.8333333333333,603.8534314439777,-1613.0,-300.0,-171.5,-100.0,-24.0,5.0,32.4,961.5730861458218,-1427.0,57.0,76.0,181.0,1275.0,0,0,0,0,0.05393659498924857,0,0.045445816236758606,0,0.0340510586493651
cookiecutter shark;animal;oxygen;chemical element,cookiecutter shark,aluminium chloride,3,4,0,1,0,0,1,2,2,"[0.02427658308526889, 0.04364756916971295, 0.18887416918770084]","[0.008128658341019926, 0.02250031362883683, 0.18887416918770084, 0.9999999999999998]","[True, True]","[True, True, True]",True,True,3.0,-299.0,176.32073048850495,-499.0,-365.5,-232.0,-199.0,-166.0,2.0,166.5,142.12846301849606,66.0,116.25,166.5,216.75,267.0,0,0,1,0,0.11650619643073681,0,0.16849131602623874,1,0.11304585372822752
anaconda;spain;united kingdom;london;london bridge,anaconda,london bridge,4,4,1,1,0,2,1,1,3,"[0.017240400490859988, 0.16298535565213468, 0.25594756589287465, 0.34780896360710256]","[0.012903751897003839, 0.029646530605693982, 0.07935392536986578, 0.34780896360710256, 1.0000000000000004]","[True, True, True]","[True, True, True, True]",True,True,4.0,-621.0,397.8173785377741,-1059.0,-829.5,-658.0,-449.5,-109.0,3.0,151.33333333333334,585.5265436624827,-496.0,-95.0,306.0,475.0,644.0,0,0,0,0,0.0912350167501646,0,0.09708924253783348,0,0.11395301104637956
shoshone national forest;world war ii;united kingdom;university of cambridge,shoshone national forest,list of universities in the united kingdom,3,4,0,0,1,1,0,2,3,"[0.043706412154373805, 0.16681492776032184, 0.0887467988753303]","[0.019568472012670732, 0.029866330166023736, 0.0887467988753303, 1.0000000000000007]","[True, False]","[True, True, True]",False,True,3.0,-707.3333333333334,429.0155397340909,-1089.0,-939.5,-790.0,-516.5,-243.0,2.0,273.5,809.6372644585969,-299.0,-12.75,273.5,559.75,846.0,0,0,1,0,0.10777698456987615,0,0.09151906119934726,1,0.14462378829447953
super mario bros.;europe;africa;egypt;hatshepsut,super mario bros.,hatshepsut,4,4,1,0,2,1,2,0,4,"[0.010399349106058926, 0.20733258691597292, 0.17927428689388406, 0.1008558551292481]","[0.007692396973186828, 0.010564205304353853, 0.023611351147500976, 0.1008558551292481, 1.0000000000000002]","[True, False, False]","[True, True, True, True]",False,True,4.0,-555.0,360.3646301548845,-942.0,-711.0,-603.0,-447.0,-72.0,3.0,290.0,219.55409356238383,62.0,185.0,308.0,404.0,500.0,0,0,0,0,0.09657818576003127,0,0.10921752039003442,0,0.14531840545939395
