path,source_article,target_article,human_path_length,shortest_path_length,is_successful,top,center_top,center,center_bottom,bottom,count_images,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,used_top,used_center_bottom,used_bottom,treatment_used_top,prop_scores_used_top,treatment_used_center_bottom,prop_scores_used_center_bottom,treatment_used_bottom,prop_scores_used_bottom
mestizo;united states;computer;computer and video games;nintendo,mestizo,pac-man,4,4,0,1,0,1,0,3,2,"[0.13805827300601486, 0.036229024125313446, 0.1505697059933653, 0.3810670737217536]","[0.01534239914938302, 0.04247205171286558, 0.033503805884821186, 0.3810670737217536, 1.0000000000000016]","[False, True, True]","[True, False, True, True]",False,False,4.0,-524.0,738.6803548671554,-1608.0,-686.25,-217.5,-55.25,-53.0,3.0,517.3333333333334,637.8968046113206,-3.0,161.5,326.0,777.5,1229.0,0,0,1,0,0.06892911653607894,0,0.0957747347813026,1,0.0853266799940231
yellow river;china;badminton;tennis;pete sampras,yellow river,pete sampras,4,4,1,1,2,1,0,1,3,"[0.16246568500126518, 0.02724936151500212, 0.3303945724134541, 0.2486120290719753]","[0.00844292258592217, 0.023466785487154713, 0.08137628598303563, 0.2486120290719753, 0.9999999999999973]","[False, True, False]","[True, True, True, True]",False,True,4.0,-188.75,210.18464105003804,-502.0,-204.25,-101.0,-85.5,-51.0,3.0,150.33333333333334,214.46289500361905,8.0,27.0,46.0,221.5,397.0,0,0,0,0,0.09827695385486931,0,0.08948709768164662,0,0.08532174935851561
perl;bioinformatics;evolution;gregor mendel;czech republic;list of countries by system of government;people's republic of china;police state,perl,police state,7,4,1,1,0,0,3,4,3,"[0.04459507468512677, 0.29264894130199687, 0.1935205172230175, 0.07101366354406648, 0.10484521463175486, 0.13859633678206856, 0.06583964435847872]","[0.01172395630701521, 0.01681136420971085, 0.032508984323246434, 0.008676833683354358, 0.031774034551908054, 0.10180845421913146, 0.06583964435847872, 0.999999999999999]","[True, False, False, True, True, False]","[True, True, False, True, True, False, True]",False,False,7.0,-172.28571428571428,161.23348937251868,-490.0,-205.0,-115.0,-88.0,-15.0,6.0,-12.5,222.36074293813647,-212.0,-151.5,-73.0,27.25,400.0,0,0,1,0,0.049506835284017704,0,0.03936423260662577,1,0.0484447714473759
aleksandr pushkin;romanticism;roman catholic church;pope benedict xvi;pope john paul ii;nobel peace prize;mother teresa,aleksandr pushkin,mother teresa,6,4,1,0,1,0,4,2,5,"[0.06392056412526562, 0.04052144969013247, 0.33874139507599044, 0.5729274800157376, 0.07485563588446445, 0.12454871662278096]","[0.018981883602892206, 0.01571023288486774, 0.08417123082445824, 0.07057058340289875, 0.093815743000318, 0.12454871662278096, 0.9999999999999994]","[False, True, True, False, True]","[False, True, False, True, True, True]",False,False,6.0,-126.33333333333331,84.68451255493336,-286.0,-140.0,-92.0,-77.75,-59.0,5.0,5.4,155.7764423781722,-200.0,-56.0,-23.0,95.0,211.0,0,1,0,0,0.06263816059106701,1,0.05066423936593778,0,0.04842851908642354
coconut crab;german language;united kingdom;manchester united f.c.;david beckham,coconut crab,david beckham,4,4,1,0,0,1,1,3,1,"[0.019715787552980712, 0.07441443081849405, 0.20480208698125857, 0.27978345027066115]","[0.0036968842958219014, 0.016133351095846907, 0.101513903966507, 0.27978345027066115, 1.0000000000000018]","[True, True, True]","[True, True, True, True]",True,True,4.0,-378.5,456.0398374411312,-1047.0,-453.75,-221.0,-145.75,-25.0,3.0,77.0,829.1972021178075,-791.0,-315.0,161.0,511.0,861.0,0,0,1,0,0.0928782613518632,0,0.08658621689487674,1,0.07529104770148731
55 cancri;earth;geography;human;music;bluegrass music,55 cancri,bluegrass music,5,4,1,0,1,3,2,0,3,"[0.12106926924631545, 0.2127093930373146, 0.1652158537090483, 0.09127074008862189, 0.17071534382893255]","[0.0020588732271789915, 0.00762262858942351, 0.007478376140186479, 0.02078694897383344, 0.17071534382893255, 1.0000000000000013]","[True, False, False, True]","[True, False, True, True, True]",False,False,5.0,-186.8,97.4766638739755,-290.0,-234.0,-210.0,-169.0,-31.0,4.0,64.75,117.38363031814389,-41.0,-28.25,48.5,141.5,203.0,0,0,0,0,0.08293982352549255,0,0.06514181422514077,0,0.07528329877722002
spanish armada;napoleonic wars;war;nuclear weapon;uranium;periodic table;gallium,spanish armada,gallium,6,4,1,1,1,0,1,4,4,"[0.11337675281461657, 0.19628303953235518, 0.14424274426555403, 0.15344434515851949, 0.0733709440817179, 0.09442133129268125]","[0.00709397728472741, 0.008437806928661864, 0.012478363428661161, 0.03390183923774382, 0.04565895931761016, 0.09442133129268125, 0.9999999999999992]","[True, False, True, False, True]","[True, True, True, True, True, True]",False,True,6.0,-121.0,26.570660511172846,-159.0,-138.25,-117.5,-102.75,-89.0,5.0,-11.0,33.60803475361212,-60.0,-32.0,7.0,15.0,15.0,0,0,1,0,0.06339817896129545,0,0.06453506702836695,1,0.052057502926072766
scottish episcopal church;scotland;glasgow;sugar;carbon dioxide;carbon;periodic table;bismuth,scottish episcopal church,bismuth,7,4,1,1,2,1,3,1,5,"[0.38351113975780343, 0.36925167150033283, 0.012755759444126314, 0.04590294777828755, 0.47113356767161596, 0.10897071021802836, 0.10455775958472968]","[0.00412539653158189, 0.01032329764983423, 0.007153483156171164, 0.014388021170118918, 0.023182323242115783, 0.05925397798894312, 0.10455775958472968, 1.0000000000000013]","[False, False, True, True, False, False]","[True, False, True, True, True, True, True]",False,False,7.0,-186.0,73.07986498801614,-348.0,-175.5,-166.0,-152.0,-133.0,6.0,32.166666666666664,76.84898611345935,-33.0,-19.0,21.0,34.75,177.0,0,0,0,0,0.04704956121844862,0,0.056146658037586984,0,0.05208802200220282
bicycle thieves;film;newspaper;english language,bicycle thieves,effect of hurricane katrina on new orleans,3,4,0,1,0,0,1,2,2,"[0.23663902452634428, 0.06174362481446875, 0.056405893508483414]","[0.034848282200218315, 0.03381737245622404, 0.056405893508483414, 1.0000000000000016]","[False, False]","[False, True, True]",False,False,3.0,-276.6666666666667,309.1429011530644,-630.0,-387.0,-144.0,-100.0,-56.0,2.0,-243.0,468.1046891454944,-574.0,-408.5,-243.0,-77.5,88.0,0,0,1,0,0.15159457861398956,0,0.14399932559206388,1,0.08512966695634742
great red spot;earth;dinosaur;cretaceous;ankylosaurus,great red spot,ankylosaurus,4,4,1,1,1,1,0,2,2,"[0.15070992689273613, 0.061519971628409914, 0.19790975384437268, 0.13910234389038317]","[0.013886914319910964, 0.026617678273626707, 0.1761060459841919, 0.13910234389038317, 1.0000000000000004]","[False, True, False]","[True, True, False, True]",False,False,4.0,-178.75,92.93501313642058,-274.0,-229.0,-193.5,-143.25,-54.0,3.0,73.33333333333333,40.67349669420289,41.0,50.5,60.0,89.5,119.0,0,0,0,0,0.10213682743882817,0,0.09158486557213301,0,0.08511520898233131
hawk;canada;petroleum;hydrogen;periodic table;cerium,hawk,cerium,5,4,1,0,2,1,0,3,3,"[0.007137985891238838, 0.06762123240193693, 0.09135334677201541, 0.17022968363641197, 0.06803387676417613]","[0.0012310531288280062, 0.006310576893646563, 0.019855172704596864, 0.05986705644396787, 0.06803387676417613, 1.0000000000000022]","[True, True, True, False]","[True, True, True, True, True]",False,True,5.0,-269.8,177.5970157406931,-580.0,-231.0,-229.0,-164.0,-145.0,4.0,108.75,162.36250593450856,2.0,14.75,42.0,136.0,349.0,0,0,1,0,0.07203497984728661,0,0.07929507562140242,1,0.08261518957615654
krazy kat;e. e. cummings;poetry of the united states;edgar allan poe,krazy kat,oroonoko,3,4,0,2,1,0,1,0,0,"[0.04837583906586056, 0.11204197099908399, 0.08264643554675354]","[0.008140927654108218, 0.021981170244249566, 0.08264643554675354, 0.9999999999999967]","[True, False]","[True, True, True]",False,True,3.0,-32.333333333333336,15.50268793897798,-50.0,-38.0,-26.0,-23.5,-21.0,2.0,-14.5,13.435028842544405,-24.0,-19.25,-14.5,-9.75,-5.0,1,0,0,1,0.13419567254032644,0,0.10975557574174392,0,0.08262965300108295
cadmium;light;telescope;astronomy;comet;comet hale-bopp,cadmium,comet hale-bopp,5,4,1,1,0,0,2,3,4,"[0.030533721972812806, 0.10808892210332396, 0.1959263771232525, 0.12242158551481415, 0.6396197799080395]","[0.006531525229328853, 0.03214277687069969, 0.06258997587476833, 0.08510071323154261, 0.6396197799080395, 1.0000000000000018]","[True, True, False, True]","[True, True, True, True, True]",False,True,5.0,-100.0,33.08322837934654,-118.0,-116.0,-114.0,-111.0,-41.0,4.0,17.5,39.66946768821919,-3.0,-2.25,-2.0,17.75,77.0,0,0,1,0,0.08537970312991905,0,0.07080094234891884,1,0.06737475577654171
barbary macaque;animal;bird;turkey (bird);domesticated turkey,barbary macaque,domesticated turkey,4,4,1,2,1,1,1,0,1,"[0.0248469405723685, 0.06409316059672879, 0.11547248140031423, 0.639582778116544]","[0.015127350890858964, 0.028378431492076635, 0.06087410827947053, 0.639582778116544, 0.999999999999997]","[True, True, True]","[True, True, True, True]",True,True,4.0,-211.75,223.94102646306985,-506.0,-324.5,-163.0,-50.25,-15.0,3.0,163.66666666666666,102.9967637032025,47.0,124.5,202.0,222.0,242.0,0,0,0,0,0.08966861857249385,0,0.09804401490314701,0,0.06740104299441257
solar system;earth;united states;puerto rico;baseball;babe ruth,solar system,babe ruth,5,4,1,0,2,1,0,3,6,"[0.3319328545283022, 0.08151216872548508, 0.17466350201989916, 0.03665090508855664, 0.16405210271871448]","[0.00802282670227088, 0.011879534009329739, 0.03595959282161238, 0.014097510507187733, 0.16405210271871448, 0.9999999999999996]","[False, True, False, True]","[True, True, False, True, True]",False,False,5.0,-503.6,665.2524332913034,-1667.0,-371.0,-325.0,-123.0,-32.0,4.0,73.25,1084.5740715445245,-1342.0,-267.25,169.5,510.0,1296.0,0,0,1,0,0.06101047267472791,0,0.04548280756733927,1,0.05270067144463956
richard iii of england;wars of the roses;england;europe;geology;magma,richard iii of england,magma,5,4,1,2,1,1,0,2,2,"[0.5556166134898133, 0.14970268316677401, 0.1743883890099941, 0.03485006498762589, 0.11438549963243722]","[0.003933123815394764, 0.0030890161264787684, 0.016007207833944066, 0.011425587797651997, 0.11438549963243722, 1.000000000000002]","[False, True, False, True]","[False, True, False, True, True]",False,False,5.0,-444.8,472.758606479036,-1103.0,-778.0,-235.0,-66.0,-42.0,4.0,-6.0,690.208181155029,-736.0,-427.75,-78.0,343.75,868.0,0,0,0,0,0.06510653817654725,0,0.04935788961959718,0,0.05269180687103178
gas metal arc welding;humphry davy;united kingdom;elizabeth ii of the united kingdom;edward vii of the united kingdom,gas metal arc welding,edward vii of the united kingdom,4,4,1,0,0,1,1,3,3,"[0.01707401649207172, 0.05046724163499802, 0.2977580584603568, 0.3282602907751702]","[0.004354173701730256, 0.027430447218641067, 0.12782498523861602, 0.3282602907751702, 1.0000000000000029]","[True, True, True]","[True, True, True, True]",True,True,4.0,-368.0,432.612991020843,-998.0,-472.25,-213.0,-108.75,-48.0,3.0,-27.0,842.5965820011377,-950.0,-391.0,168.0,434.5,701.0,0,0,1,0,0.09053780036728312,0,0.10000581186653368,1,0.06078361444164147
darth vader;binoculars;united states;yellowstone national park,darth vader,water buffalo,3,4,0,0,1,1,1,1,1,"[0.009557191460206732, 0.022272272899156682, 0.11100992386999824]","[0.008594948686554704, 0.009745920157353276, 0.11100992386999824, 1.0000000000000004]","[True, True]","[True, True, True]",True,True,3.0,-630.6666666666666,813.8460132809728,-1556.0,-933.0,-310.0,-168.0,-26.0,2.0,-142.0,1962.928424573856,-1530.0,-836.0,-142.0,552.0,1246.0,0,0,0,0,0.15035222293095063,0,0.09025388502206685,0,0.0607853344745622
eukaryote;animal;human;africa;earth;plate tectonics;volcano;colima (volcano),eukaryote,colima (volcano),7,4,1,0,1,1,1,5,2,"[0.1422873910712123, 0.07953121692482294, 0.14817488234855875, 0.09484044748725055, 0.2903221574725597, 0.22161576094034172, 0.3240057638165267]","[0.007797941576856262, 0.006544797951350568, 0.02245902986920209, 0.027073785109087718, 0.0474776226959458, 0.026739014195522007, 0.3240057638165267, 0.9999999999999983]","[False, True, False, True, False, True]","[False, True, True, True, False, True, True]",False,False,7.0,-312.42857142857144,211.67810242823663,-612.0,-489.5,-192.0,-168.5,-67.0,6.0,72.16666666666667,269.5161714381285,-420.0,27.25,116.5,264.25,309.0,0,0,1,0,0.047119647894363396,0,0.05572104267192046,1,0.03628733362415159
history of computing hardware;abacus;africa;carnivore;gray wolf;dog;african wild dog,history of computing hardware,african wild dog,6,4,1,2,3,0,2,0,1,"[0.117085216297992, 0.030551708855801458, 0.018896230703937172, 0.16520159996922446, 0.32763242374102436, 0.37448237025795506]","[0.012531196335250745, 0.0047197928723414755, 0.1367730370831078, 0.08088578410393579, 0.16204574052573673, 0.37448237025795506, 0.9999999999999997]","[False, False, True, True, True]","[False, True, False, True, True, True]",False,False,6.0,-153.0,182.0142851536659,-484.0,-206.0,-58.5,-36.25,-33.0,5.0,-1.0,276.93952408423036,-449.0,-44.0,37.0,216.0,235.0,0,0,0,0,0.06130602108192453,0,0.05460716623755846,0,0.036303867342597725
hellenistic greece;christianity;roman catholic church;viking;greenland;united states;abraham lincoln;president of the united states;theodore roosevelt;mount rushmore,hellenistic greece,mount rushmore,9,4,1,1,1,1,2,5,8,"[0.056374765952507774, 0.44790303236014606, 0.03126262469102144, 0.06113428953691705, 0.09949255093299278, 0.12059845833811413, 0.15765720986383022, 0.18635153482901806, 0.10445642232552796]","[0.00794603245527369, 0.029915396274795072, 0.01446818131699231, 0.010931722590164096, 0.013702794653736788, 0.08254148643841745, 0.10464590128080681, 0.1089310710576585, 0.10445642232552796, 1.0000000000000002]","[True, False, True, True, True, True, True, False]","[True, False, False, True, True, True, True, False, True]",False,False,9.0,-357.22222222222223,474.63137743352416,-1589.0,-354.0,-196.0,-129.0,-62.0,8.0,36.75,728.2008651464238,-1460.0,31.25,77.0,159.5,1235.0,0,0,1,0,0.022108128688868106,0,0.019787570806072505,1,0.020948984705574568
babur;india;united kingdom;english language;united states;space shuttle columbia;apollo 11;saturn v;sputnik 1;explorer i,babur,explorer i,9,4,1,2,3,1,1,3,7,"[0.05463053602600383, 0.15125540141972968, 0.16231138621237448, 0.1636756083880345, 0.0875894718363388, 0.11808912912686464, 0.2892184011898724, 0.13940592997203763, 0.36176476221194004]","[0.008478147768169676, 0.022216996300241047, 0.03662797473226781, 0.01743383336592184, 0.073278708789759, 0.08533564854816186, 0.07169791045951163, 0.15685666301518914, 0.36176476221194004, 1.0]","[True, True, True, False, True, True, False, True]","[True, True, False, True, True, False, True, True, True]",False,False,9.0,-503.3333333333333,577.9463642934351,-1667.0,-764.0,-303.0,-38.0,-21.0,8.0,75.375,650.939746498421,-903.0,-117.25,15.5,270.5,1364.0,0,0,0,0,0.018333262142737033,0,0.013446065218147138,0,0.02100053687873629
river;civilization;archaeology;paleontology;fossil;dinosaur;triceratops,river,triceratops,6,4,1,0,0,1,1,5,4,"[0.0456102983770302, 0.10702467026620228, 0.05956971167480801, 0.2791344578185614, 0.13917496315710925, 0.15476180282553767]","[0.005522494727374101, 0.010605668991492517, 0.014678693695044914, 0.031007227519849943, 0.04342171550285964, 0.15476180282553767, 0.9999999999999992]","[True, False, True, False, True]","[True, True, True, True, True, True]",False,True,6.0,-130.66666666666666,44.51816108810725,-196.0,-152.0,-133.0,-103.5,-70.0,5.0,11.2,77.37699916641895,-76.0,-42.0,22.0,26.0,126.0,0,0,1,0,0.06217577389679426,0,0.058225525022286936,1,0.05381425537724473
btrieve;microsoft windows;microsoft;bill gates;elizabeth ii of the united kingdom;dog,btrieve,dog,5,4,1,1,0,1,2,2,4,"[0.21971242038297117, 0.4387382653078549, 0.4294909464746497, 0.047291333797256946, 0.021701132302539883]","[0.005554885248570406, 0.0059248257311226545, 0.024344820838387536, 0.012133071880996847, 0.021701132302539883, 1.0000000000000013]","[True, False, False, False]","[True, True, False, True, True]",False,False,5.0,-84.6,61.73572709541858,-155.0,-148.0,-49.0,-45.0,-26.0,4.0,-25.75,69.72027443051746,-129.0,-35.25,1.5,11.0,23.0,0,0,0,0,0.08394896056109422,0,0.07863268098171816,0,0.05379014175709658
star trek  the original series;united states;florida;tropical cyclone;hurricane dennis;2005 atlantic hurricane season,star trek  the original series,2005 atlantic hurricane season,5,4,1,0,0,0,1,5,3,"[0.05212890811025203, 0.1785370604874202, 0.08441646331019016, 0.3506840032869916, 0.6814913900834945]","[0.02519043659957895, 0.08452193419058088, 0.16319112366420907, 0.5154034119301875, 0.6814913900834945, 0.9999999999999997]","[True, False, True, True]","[True, True, True, True, True]",False,True,5.0,-459.2,633.096912012687,-1556.0,-448.0,-163.0,-85.0,-44.0,4.0,378.0,498.37000979861006,41.0,68.75,181.5,490.75,1108.0,0,0,1,0,0.06187146594358811,0,0.09612339496518654,1,0.09877259650054362
mormon trail;united states;neil armstrong;moon;galileo galilei;telescope;binoculars,mormon trail,binoculars,6,4,1,1,1,2,2,1,3,"[0.09283069708244945, 0.07963896476232732, 0.15961819992388374, 0.07967076105296164, 0.10917149923086869, 0.1336365917778252]","[0.00650683984103098, 0.022272272899156682, 0.01021916788741285, 0.020602877841952288, 0.017538804020051518, 0.1336365917778252, 1.0000000000000009]","[False, True, False, True, True]","[True, False, True, False, True, True]",False,False,6.0,-377.3333333333333,585.8541342916909,-1558.0,-272.25,-136.0,-95.0,-35.0,5.0,304.6,531.4976951972604,-16.0,72.0,74.0,143.0,1250.0,0,0,0,0,0.05181046223696505,0,0.07437071647884577,0,0.09875207633658883
nematode;animal;human;society;business,nematode,social capital,4,4,0,0,2,0,0,3,0,"[0.13785393570074939, 0.07953121692482294, 0.1620718633700834, 0.08485615235207795]","[0.014019825654060932, 0.03044122635438153, 0.07568077065444775, 0.08485615235207795, 0.9999999999999997]","[False, True, False]","[True, True, True, True]",False,True,4.0,-236.0,185.6573905522392,-499.0,-268.75,-191.5,-158.75,-62.0,3.0,145.66666666666666,153.67931979721064,1.0,65.0,129.0,218.0,307.0,0,0,1,0,0.09827826154120242,0,0.10459180000410723,1,0.09197032945574919
data encryption standard;united states;maize;vegetable;asparagus,data encryption standard,asparagus,4,4,1,0,2,2,1,0,2,"[0.04029533242069303, 0.07546147662443474, 0.03565956222387061, 0.11270338259902545]","[0.0034202469881251894, 0.043912209999427645, 0.01674083040555847, 0.11270338259902545, 1.000000000000002]","[True, False, True]","[True, False, True, True]",False,False,4.0,-509.25,711.7309299634705,-1554.0,-662.25,-227.5,-74.5,-28.0,3.0,508.6666666666667,598.7339420254486,62.0,168.5,275.0,732.0,1189.0,0,0,0,0,0.07358063603646672,0,0.08716272377742272,0,0.09201041265504847
eukaryote;dna;thomas jefferson;president of the united states;richard nixon;vietnam,eukaryote,ho chi minh city,5,4,0,0,0,0,2,4,5,"[0.10824977153212577, 0.02438233246924701, 0.12299973402914226, 0.22402196737242785, 0.07164590981869183]","[0.012562602055018463, 0.009972226046374303, 0.030501858007300608, 0.04576995298054345, 0.07164590981869183, 0.9999999999999993]","[False, True, True, False]","[False, True, True, True, True]",False,False,5.0,-138.6,53.91011036902077,-199.0,-195.0,-108.0,-104.0,-87.0,4.0,-22.75,95.4650896052234,-108.0,-98.25,-37.0,38.5,91.0,0,0,1,0,0.08172141885587947,0,0.07787512725745979,1,0.06485760112778077
island fox;united states;china;people's republic of china;shenzhou 6;shenzhou spacecraft,island fox,shenzhou spacecraft,5,4,1,2,2,1,1,0,3,"[0.06828338059407076, 0.13939169431433518, 0.6813834030398858, 0.2238631548279728, 0.6402830073836975]","[0.005608836480125519, 0.03351871296565806, 0.08962784469332699, 0.12017553992311435, 0.6402830073836975, 1.0000000000000004]","[True, True, False, True]","[True, True, True, True, True]",False,True,5.0,-569.0,631.0843842149797,-1563.0,-788.0,-373.0,-88.0,-33.0,4.0,382.5,301.0398644698074,55.0,227.5,350.0,505.0,775.0,0,0,0,0,0.05263368818833184,0,0.08771205239401825,0,0.06487638388420758
aristotle;government;democracy;united states;president of the united states;james monroe,aristotle,james monroe,5,4,1,2,0,2,2,0,6,"[0.03638927979651288, 0.2769124586508011, 0.16732170862500673, 0.3235514638662403, 0.20187859608089465]","[0.00925015374681955, 0.029987817501401164, 0.04634856511341672, 0.12169290918743639, 0.20187859608089465, 1.000000000000002]","[True, False, True, False]","[True, True, True, True, True]",False,True,5.0,-491.4,632.5352164109125,-1593.0,-455.0,-179.0,-163.0,-67.0,4.0,24.0,1071.2820979244138,-1414.0,-365.5,186.0,575.5,1138.0,0,0,0,0,0.06912600502262402,0,0.09899509996451775,0,0.057703614266419755
