path,source_article,target_article,human_path_length,shortest_path_length,is_successful,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,top,center_top,center,center_bottom,bottom,prop_scores_top,treatment_top
hebrew calendar;ethiopia;drought;famine;poverty;tuberculosis,hebrew calendar,tuberculosis,5,4,1,5.0,-126.8,45.81157059084528,-180.0,-147.0,-126.0,-126.0,-55.0,4.0,5.25,84.94066556524423,-71.0,-42.5,-16.5,31.25,125.0,3,1,2,0,0,0.06278852205846006,1
geology;china;mongolia;russia;belarus;flag of belarus,geology,flag of belarus,5,4,1,5.0,-298.0,231.0216440076557,-563.0,-527.0,-177.0,-169.0,-54.0,4.0,118.25,361.2906263199568,-394.0,-6.25,240.5,365.0,386.0,0,2,2,2,0,0.06279438761792092,0
"barbary macaque;culture;united states;u.s. state;newark, new jersey",barbary macaque,bruce springsteen,4,4,0,4.0,-534.5,728.1874758604407,-1607.0,-678.5,-240.0,-96.0,-51.0,3.0,20.0,1391.1477275976122,-1496.0,-589.0,318.0,778.0,1238.0,4,1,0,0,0,0.07555931026507945,1
dartmoor;england;cricket;bodyline;the ashes;donald bradman,dartmoor,donald bradman,5,4,1,5.0,-215.2,319.53669585823786,-756.0,-259.0,-29.0,-16.0,-16.0,4.0,185.0,233.2223545603351,0.0,9.75,121.5,296.75,497.0,2,1,0,2,1,0.07553341823336975,0
fiji;pacific ocean;earth;moon;neil armstrong,fiji,moon landing,4,4,0,4.0,-219.0,120.88286341192727,-354.0,-275.25,-230.0,-173.75,-62.0,3.0,49.666666666666664,171.81773288381305,-143.0,-19.0,105.0,146.0,187.0,4,0,1,0,0,0.0762240346379138,1
oleg of novgorod;kiev;russia;canada;canadian senate,oleg of novgorod,senate of canada,4,4,0,4.0,-336.0,328.0853547478156,-674.0,-588.5,-316.0,-63.5,-38.0,3.0,-11.333333333333334,568.989748003717,-522.0,-318.0,-114.0,244.0,602.0,1,1,1,1,1,0.07622251130117227,0
potassium iodide;united kingdom;rugby world cup;south africa;second boer war;breaker morant,potassium iodide,breaker morant,5,4,1,5.0,-329.8,380.8040178359467,-983.0,-328.0,-177.0,-134.0,-27.0,4.0,239.0,405.39610259596725,-151.0,42.5,150.5,347.0,806.0,3,1,1,0,1,0.06716893769505475,1
ordination of women;pope john paul ii;language;dutch language;flanders;flemish dialects,ordination of women,flemish dialects,5,4,1,5.0,-113.4,66.83412302110352,-222.0,-125.0,-88.0,-86.0,-46.0,4.0,10.0,101.05773927150095,-136.0,-6.25,39.5,55.75,97.0,1,0,1,2,2,0.06717277372027945,0
high german consonant shift;german reunification;poland;ottoman empire;byzantine empire;medicine,high german consonant shift,devonian,5,4,0,5.0,-187.6,101.5937990233656,-302.0,-223.0,-213.0,-174.0,-26.0,4.0,-37.0,161.82500836809288,-276.0,-61.5,24.5,49.0,79.0,3,0,1,0,2,0.06260141456153169,1
wikinews;wikipedia;florida;united states;jazz;miles davis,wikinews,miles davis,5,4,1,5.0,-445.8,668.1374858515275,-1614.0,-372.0,-185.0,-33.0,-25.0,4.0,-2.0,1114.317429341089,-1429.0,-477.25,89.5,564.75,1242.0,0,0,5,1,0,0.06259991025639434,0
