path,source_article,target_article,human_path_length,shortest_path_length,is_successful,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,top,center_top,center,center_bottom,bottom,prop_scores_top,treatment_top
blitzkrieg;world war ii;nuclear weapon;uranium;periodic table;ununbium,blitzkrieg,ununbium,5,4,1,5.0,-272.6,283.33954895143034,-776.0,-190.0,-159.0,-139.0,-99.0,4.0,159.25,291.109801735817,-60.0,0.0,55.5,214.75,586.0,1,3,1,0,1,0.07160145958518416,0
desert locust;weather;gas giant;hydrogen;periodic table;berkelium,desert locust,berkelium,5,4,1,5.0,-125.8,46.26769931604553,-172.0,-164.0,-139.0,-81.0,-73.0,4.0,-14.5,56.90049794744038,-99.0,-18.75,8.0,12.25,25.0,3,0,2,1,0,0.07159557166372872,1
redwood national and state parks;tree;water;atom;periodic table;neodymium,redwood national and state parks,neodymium,5,4,1,5.0,-159.6,58.07581252122092,-230.0,-198.0,-150.0,-142.0,-78.0,4.0,-16.0,92.14481356357864,-152.0,-32.0,20.0,36.0,48.0,3,0,1,0,2,0.07029149339787717,1
cookiecutter shark;fish;ernest hemingway;england;iron maiden,cookiecutter shark,iron maiden,4,4,1,4.0,-290.25,340.124854526491,-791.0,-335.75,-168.5,-123.0,-33.0,3.0,-10.333333333333334,691.7704339832205,-758.0,-319.0,120.0,363.5,607.0,0,2,0,1,2,0.0702861238031824,0
batman;chemistry;organism;plant,batman,banana,3,4,0,3.0,-136.66666666666666,79.32422916948725,-228.0,-162.5,-97.0,-91.0,-85.0,2.0,-71.5,84.14570696119915,-131.0,-101.25,-71.5,-41.75,-12.0,0,2,0,1,1,0.11612283708333958,0
sassanid empire;indian ocean;australia;platypus,sassanid empire,australian green tree frog,3,4,0,3.0,-296.3333333333333,296.17618630358066,-636.0,-398.5,-161.0,-126.5,-92.0,2.0,34.5,720.541810029092,-475.0,-220.25,34.5,289.25,544.0,2,1,1,0,0,0.1163071396579986,1
advertising;united states;europe;united kingdom;constitutional monarchy;great britain;british isles;british isles (terminology),advertising,list of monarchs in the british isles,7,4,0,7.0,-651.1428571428571,631.2140230200395,-1570.0,-1177.0,-238.0,-157.5,-81.0,6.0,248.16666666666666,336.15080940950696,24.0,45.0,100.5,285.0,891.0,4,1,2,0,1,0.12303725252159953,1
"john seigenthaler, sr.;washington, d.c.;u.s. state;georgia (country);russia","john seigenthaler, sr.",monkey,4,4,0,4.0,-286.5,275.0581756647128,-698.0,-306.5,-160.0,-140.0,-128.0,3.0,-174.0,343.0393563426797,-570.0,-277.0,16.0,24.0,32.0,1,3,1,0,0,0.12305609758738326,0
norse mythology;christianity;europe;mediterranean sea;italy;european union,norse mythology,super mario bros.,5,4,0,5.0,-526.6,277.7594282828217,-980.0,-609.0,-364.0,-349.0,-331.0,4.0,8.25,554.4452933638569,-616.0,-349.0,9.0,366.25,631.0,3,0,1,1,1,0.08920640681600966,1
scrooge mcduck;united states;volcano;mount st. helens;1980 eruption of mount st. helens,scrooge mcduck,1980 eruption of mount st. helens,4,4,1,4.0,-522.75,721.4126766282943,-1572.0,-708.75,-247.0,-61.0,-25.0,3.0,515.6666666666666,570.2949529264075,48.0,198.0,348.0,749.5,1151.0,0,0,4,1,0,0.08920871241523937,0
slavery;europe;owl;bird;woodpecker;great spotted woodpecker,slavery,great spotted woodpecker,5,4,1,5.0,-312.0,415.11444205182744,-1033.0,-267.0,-181.0,-69.0,-10.0,4.0,255.75,414.06631916477664,-86.0,22.75,128.5,361.5,852.0,3,1,1,1,0,0.06763081999926775,1
haemophilia;victoria of the united kingdom;windsor castle;black death;wheat;fertilizer,haemophilia,fertilizer,5,4,1,5.0,-85.8,18.430952227163957,-118.0,-83.0,-79.0,-77.0,-72.0,4.0,1.75,33.509948771471834,-35.0,-13.25,-2.0,13.0,46.0,1,1,3,0,1,0.06763941495409742,0
fossil;paleontology;earth;africa,fossil,mancala,3,4,0,3.0,-311.3333333333333,271.62903624858177,-593.0,-441.5,-290.0,-170.5,-51.0,2.0,-271.0,45.254833995939045,-303.0,-287.0,-271.0,-255.0,-239.0,2,1,0,1,0,0.15249762355700197,1
elephant shrew;africa;europe;france,elephant shrew,eurovision song contest,3,4,0,3.0,-914.3333333333334,372.92403158462895,-1143.0,-1129.5,-1116.0,-800.0,-484.0,2.0,-316.0,485.0752518939716,-659.0,-487.5,-316.0,-144.5,27.0,0,1,1,1,1,0.15255240743631535,0
forth;programming language;alan turing;world war ii;the holocaust;anne frank,forth,anne frank,5,4,1,5.0,-215.0,317.8710430347502,-771.0,-183.0,-81.0,-21.0,-19.0,4.0,-15.5,553.0795602804357,-750.0,-189.0,50.0,223.5,588.0,3,0,0,2,1,0.06525261655398189,1
the marriage of figaro;vienna;danube;dam;hoover dam;lake mead,the marriage of figaro,water purification,5,4,0,5.0,-66.2,38.3301447949261,-109.0,-96.0,-72.0,-32.0,-22.0,4.0,21.75,13.573871960498227,10.0,12.25,18.5,28.0,40.0,2,2,1,0,1,0.06525621735041444,0
great red spot;cloud;color;art;painting;landscape,great red spot,watercolor painting,5,4,0,5.0,-105.2,52.23696009531948,-176.0,-128.0,-103.0,-84.0,-35.0,4.0,-12.25,86.73859194922024,-141.0,-21.0,22.0,30.75,48.0,3,0,2,0,1,0.06641017769538496,1
volga river;europe;north america;united states;list of areas in the national park system of the united states;carlsbad caverns national park,volga river,carlsbad caverns national park,5,4,1,5.0,-691.2,625.3028866077623,-1626.0,-949.0,-567.0,-294.0,-20.0,4.0,232.25,983.3522173327996,-1059.0,-59.25,328.0,619.5,1332.0,1,0,1,2,2,0.0664114604173892,0
electric charge;benjamin franklin;united states;basketball;michael jordan,electric charge,michael jordan,4,4,1,4.0,-512.0,728.3648353217866,-1578.0,-681.0,-218.5,-49.5,-33.0,3.0,7.333333333333333,1391.3275435113521,-1523.0,-587.0,349.0,772.5,1196.0,3,1,0,1,0,0.07863795231367185,1
organization;glaxosmithkline;vitamin c;copper;sodium hydroxide,organization,sodium hydroxide,4,4,1,4.0,-85.75,71.83023968589644,-185.0,-113.0,-68.5,-41.25,-21.0,3.0,-22.666666666666668,116.56042781893575,-137.0,-82.0,-27.0,34.5,96.0,0,1,0,2,2,0.07863751239370709,0
rosetta stone;cairo;united nations;spain;spanish language;music;ludwig van beethoven;opera,rosetta stone,music of spain,7,4,0,7.0,-241.28571428571428,215.90639506177538,-650.0,-328.0,-176.0,-78.0,-51.0,6.0,-5.0,258.42832662074795,-306.0,-221.25,34.5,121.5,363.0,4,1,1,2,0,0.05276395861987268,1
gregorian chant;medieval music;renaissance;science;physics;magnetism;inductance,gregorian chant,inductance,6,4,1,6.0,-134.66666666666666,82.41278218011249,-231.0,-188.5,-155.0,-69.75,-26.0,5.0,-3.8,118.61365857269558,-118.0,-65.0,-52.0,30.0,186.0,2,1,1,1,2,0.0527583632809389,0
child;convention on the rights of the child;united nations;united kingdom;england;london;m25 motorway;birmingham;m6 motorway,child,m6 motorway,8,4,1,8.0,-420.625,432.1894219304441,-1083.0,-797.0,-221.0,-79.75,-13.0,7.0,-10.0,435.90136498983344,-747.0,-168.0,36.0,163.0,651.0,5,1,0,0,3,0.04944537389533275,1
ethics;philosophy;renaissance;literature;poetry;william shakespeare;samuel taylor coleridge;english language,ethics,modernist poetry in english,7,4,0,7.0,-216.57142857142858,186.8411599397174,-618.0,-207.5,-181.0,-133.5,-35.0,6.0,-68.33333333333333,261.07291446388433,-583.0,-41.0,8.0,53.25,146.0,1,0,3,2,2,0.04941824413841754,0
mathematical analysis;ordinary differential equation;isaac newton;nature;animal;bird;owl;barn owl,mathematical analysis,barn owl,7,4,1,7.0,-161.71428571428572,192.68170150597618,-559.0,-180.5,-82.0,-55.0,-20.0,6.0,-2.0,261.2378226827042,-462.0,-50.25,15.5,151.0,295.0,4,0,1,1,2,0.041685733063515376,1
magma;earth;life;animal;fish;whale shark;shark;tiger shark,magma,tiger shark,7,4,1,7.0,-179.14285714285714,171.34023517690233,-505.0,-228.5,-171.0,-52.0,-17.0,6.0,40.5,224.34058928334835,-334.0,-29.0,67.5,145.25,332.0,2,2,1,1,2,0.04167559092530659,0
rosemary;william shakespeare;english language;university;geometry;symmetry,rosemary,symmetry,5,4,1,5.0,-214.0,231.05843416763648,-612.0,-193.0,-153.0,-79.0,-33.0,4.0,30.0,364.12177450224897,-459.0,-80.25,80.0,190.25,419.0,3,1,0,1,1,0.0657361855120987,1
hiv;ronald reagan;cold war;mikhail gorbachev;nobel peace prize;peace,hiv,peaceful coexistence,5,4,0,5.0,-114.0,77.97756087490811,-253.0,-88.0,-83.0,-74.0,-72.0,4.0,2.75,143.0183554653038,-170.0,-53.0,1.0,56.75,179.0,2,1,2,1,0,0.0657405298948466,0
rudyard kipling;oxford;england;linguistics;medicine;science;mathematics;linear algebra,rudyard kipling,linear algebra,7,4,1,7.0,-235.57142857142858,248.84791683734406,-786.0,-204.5,-178.0,-105.0,-66.0,6.0,6.333333333333333,404.6404165016968,-682.0,-56.75,51.5,120.75,566.0,4,1,0,1,2,0.03893884208750555,1
henry ford;ethanol;petroleum;industry;agriculture;fruit;citrus;lemon;lemon balm,henry ford,lemon balm,8,4,1,8.0,-126.75,85.34258692386318,-257.0,-182.75,-118.0,-55.25,-33.0,7.0,3.7142857142857144,91.20254800116477,-153.0,-36.5,28.0,65.5,93.0,2,1,1,1,4,0.03893656634812889,0
united states constitution;united states;guam;philippines;mount pinatubo;eruption column,united states constitution,eruption column,5,4,1,5.0,-439.2,645.7950139169549,-1574.0,-335.0,-197.0,-53.0,-37.0,4.0,384.25,572.877168335412,16.0,107.5,141.0,417.75,1239.0,4,1,0,1,0,0.08908867591252062,1
amazon parrot;animal;scientific classification;plant,amazon parrot,drosera anglica,3,4,0,3.0,-417.0,182.64993840677855,-546.0,-521.5,-497.0,-352.5,-208.0,2.0,144.5,273.6503243191939,-49.0,47.75,144.5,241.25,338.0,0,0,2,0,2,0.08910185765586012,0
achilles tendon;achilles;zeus;sea;ocean,achilles tendon,ocean,4,4,1,4.0,-60.5,34.69389955981695,-98.0,-74.0,-65.0,-51.5,-14.0,3.0,-28.0,24.24871130596428,-50.0,-41.0,-32.0,-17.0,-2.0,1,2,1,1,0,0.07758700877470359,0
achilles tendon;achilles;zeus;sea;ocean,achilles tendon,ocean,4,4,1,4.0,-60.5,34.69389955981695,-98.0,-74.0,-65.0,-51.5,-14.0,3.0,-28.0,24.24871130596428,-50.0,-41.0,-32.0,-17.0,-2.0,3,0,1,0,1,0.07758700877470359,1
anatomy;race;english language;republic of ireland;samuel beckett;irish poetry,anatomy,irish poetry,5,4,1,5.0,-202.8,255.6730333844381,-633.0,-244.0,-66.0,-38.0,-33.0,4.0,1.25,423.5220379940891,-595.0,-124.0,105.5,230.75,389.0,3,1,0,2,0,0.07087412831723623,1
plum;tree;mythology;culture;popular culture;film,plum,harry potter,5,4,0,5.0,-111.8,31.61012496020856,-160.0,-118.0,-106.0,-102.0,-73.0,4.0,-21.75,27.47574688096152,-54.0,-35.25,-22.5,-9.0,12.0,1,2,0,1,2,0.0708615455514619,0
coccinellidae;insect;protein;bacteria;microscope;optical microscope,coccinellidae,optical microscope,5,4,1,5.0,-93.2,52.68491245128912,-136.0,-135.0,-113.0,-70.0,-12.0,4.0,25.25,43.084219849035215,-23.0,-5.0,29.5,59.75,65.0,3,1,0,2,0,0.06022987508764769,1
airbus;france;pacific ocean;cape horn;albatross;bird migration;skylark,airbus,skylark,6,4,1,6.0,-260.5,366.4624128065524,-988.0,-235.25,-116.0,-56.0,-32.0,5.0,189.0,313.6694119610645,-105.0,63.0,94.0,173.0,720.0,2,1,2,1,1,0.06023400500870478,0
j. s. fry & sons;bristol;england;henry viii of england,j. s. fry & sons,henry iv of england,3,4,0,3.0,-373.0,389.84997114274614,-811.0,-527.5,-244.0,-154.0,-64.0,2.0,-90.0,929.1383104791234,-747.0,-418.5,-90.0,238.5,567.0,1,0,1,0,2,0.12756441285018652,0
antelope;united states;computer;internet,antelope,gmail,3,4,0,3.0,-702.0,761.7210775605464,-1572.0,-975.5,-379.0,-267.0,-155.0,2.0,708.5,685.1864709697645,224.0,466.25,708.5,950.75,1193.0,4,0,0,0,0,0.1273295032640933,1
fern;new zealand;pacific ocean;earth;united states,fern,james stewart (actor),4,4,0,4.0,-651.5,677.8920759727663,-1667.0,-682.25,-335.0,-304.25,-269.0,3.0,-450.3333333333333,750.0008888883622,-1313.0,-699.0,-85.0,-19.0,47.0,3,0,1,0,1,0.22875643970034767,1
mathematical analysis;16th century;jacques cartier;france,mathematical analysis,parsley,3,4,0,3.0,-399.6666666666667,490.18091898128114,-965.0,-553.0,-141.0,-117.0,-93.0,2.0,-412.0,650.5382386916237,-872.0,-642.0,-412.0,-182.0,48.0,0,0,1,0,3,0.22664457570499985,0
catholic social teaching;jesus;british empire;cricket;bodyline,catholic social teaching,bodyline,4,4,1,4.0,-144.0,84.80959065263,-216.0,-203.25,-165.5,-106.25,-29.0,3.0,34.333333333333336,134.5560601880619,-67.0,-42.0,-17.0,85.0,187.0,0,3,2,0,0,0.07076587704309262,0
intel corporation;israel;italy;austria;wolfgang amadeus mozart;the marriage of figaro,intel corporation,the marriage of figaro,5,4,1,5.0,-279.6,270.5176519194265,-717.0,-315.0,-250.0,-81.0,-35.0,4.0,53.75,376.39020089972234,-467.0,-82.25,140.0,276.0,402.0,3,0,1,2,0,0.07075546933897096,1
allegory in the middle ages;middle ages;gunpowder;sulfur;list of elements by name;boron,allegory in the middle ages,boron,5,4,1,5.0,-151.0,71.1301623785578,-243.0,-201.0,-144.0,-91.0,-76.0,4.0,24.75,115.11262600890775,-125.0,-20.0,36.0,80.75,152.0,3,2,1,0,0,0.06830495453105362,1
imperial japanese navy;japan;electronics;computer;microsoft windows;windows 2000,imperial japanese navy,windows 2000,5,4,1,5.0,-188.4,237.95230614558034,-606.0,-144.0,-99.0,-77.0,-16.0,4.0,147.5,210.27680170036194,22.0,39.25,53.0,161.25,462.0,0,2,2,1,1,0.0683094056587456,0
peregrine falcon;falcon;north america;mexico,peregrine falcon,red kite,3,4,0,3.0,-270.3333333333333,204.67128116404933,-424.0,-386.5,-349.0,-193.5,-38.0,2.0,-155.5,325.9762261269984,-386.0,-270.75,-155.5,-40.25,75.0,2,0,2,0,0,0.09330754465264111,1
johann pachelbel;europe;atlantic ocean;ocean;pelagic zone,johann pachelbel,pelagic zone,4,4,1,4.0,-401.75,396.637008695188,-954.0,-543.75,-303.0,-161.0,-47.0,3.0,302.3333333333333,213.72957992129525,152.0,180.0,208.0,377.5,547.0,0,2,2,1,0,0.09325950992291215,0
achilles tendon;achilles;black sea;sea;ocean,achilles tendon,ocean,4,4,1,4.0,-67.5,39.60218849171512,-98.0,-97.25,-79.0,-49.25,-14.0,3.0,-28.0,60.00833275470999,-83.0,-60.0,-37.0,-0.5,36.0,0,1,0,1,3,0.07509771932356989,0
achilles tendon;achilles;black sea;sea;ocean,achilles tendon,ocean,4,4,1,4.0,-67.5,39.60218849171512,-98.0,-97.25,-79.0,-49.25,-14.0,3.0,-28.0,60.00833275470999,-83.0,-60.0,-37.0,-0.5,36.0,3,1,0,0,1,0.07509771932356989,1
animation;motion (physics);19th century;united states,animation,cormorant,3,4,0,3.0,-675.0,912.1090943522053,-1716.0,-1004.5,-293.0,-154.5,-16.0,2.0,-850.0,810.3443712397834,-1423.0,-1136.5,-850.0,-563.5,-277.0,2,1,1,0,0,0.4102654617767092,1
osprey;south america;north america;united states,osprey,mozilla firefox,3,4,0,3.0,-799.6666666666666,725.6998920582346,-1626.0,-1066.5,-507.0,-386.5,-266.0,2.0,-680.0,620.8397538817887,-1119.0,-899.5,-680.0,-460.5,-241.0,0,2,0,2,0,0.4105318656591423,0
matrix (mathematics);world war ii;united states;sport,matrix (mathematics),tiger woods,3,4,0,3.0,-926.6666666666666,672.7423974548752,-1668.0,-1212.5,-757.0,-556.0,-355.0,2.0,201.0,1572.6054813588817,-911.0,-355.0,201.0,757.0,1313.0,0,0,1,2,1,0.1591003984535254,0
the cat in the hat;dr. seuss;united states;united states virgin islands,the cat in the hat,mount pinatubo,3,4,0,3.0,-626.0,829.0759916919558,-1567.0,-937.5,-308.0,-155.5,-3.0,2.0,-152.5,1996.1624432896238,-1564.0,-858.25,-152.5,553.25,1259.0,3,0,0,1,0,0.1578491388177132,1
fermi paradox;philosophy;aesthetics;english language,fermi paradox,krazy kat,3,4,0,3.0,-327.6666666666667,277.62624755835554,-643.0,-431.5,-220.0,-170.0,-120.0,2.0,-211.5,440.5275246792191,-523.0,-367.25,-211.5,-55.75,100.0,2,1,0,0,1,0.1577963587387932,1
franz kafka;prague;czech republic;austria;italy;france,franz kafka,war of the league of cambrai,5,4,0,5.0,-426.6,396.7150110595766,-1042.0,-596.0,-264.0,-148.0,-83.0,4.0,-239.75,179.72270307337357,-446.0,-360.5,-224.0,-103.25,-65.0,0,2,1,2,1,0.15723963681270178,0
lighting designer;theatre;aristotle;geography;climate;weather;sun,lighting designer,nature,6,4,0,6.0,-118.66666666666667,72.22649560006816,-224.0,-167.25,-104.0,-62.5,-43.0,5.0,-34.0,123.47671845331816,-181.0,-95.0,-66.0,32.0,140.0,4,1,1,1,0,0.0542490564273418,1
hannibal barca;italy;rome;new york city;grand central terminal;pennsylvania railroad;atlantic coast line railroad,hannibal barca,railway post office,6,4,0,6.0,-230.16666666666666,223.93339783664845,-569.0,-364.0,-184.5,-49.25,-15.0,5.0,110.8,173.63524987743705,-88.0,27.0,29.0,271.0,315.0,0,2,2,2,1,0.054248738492243015,0
multiple sequence alignment;algorithm;linguistics;language;sound;music,multiple sequence alignment,medieval music,5,4,0,5.0,-75.2,35.57667775383193,-119.0,-102.0,-68.0,-57.0,-30.0,4.0,-18.0,53.59726361174297,-51.0,-46.5,-41.5,-13.0,62.0,3,1,0,1,1,0.0662963357939074,1
music of barbados;sugarcane;south america;africa;democratic republic of the congo;second congo war,music of barbados,second congo war,5,4,1,5.0,-267.4,199.18785103514722,-574.0,-289.0,-278.0,-156.0,-40.0,4.0,-29.0,282.73073173368806,-296.0,-252.5,-52.5,171.0,285.0,0,0,2,1,3,0.06629183281574791,0
nineteen eighty-four;england;bristol;mendip hills;chew valley lake,nineteen eighty-four,chew valley lake,4,4,1,4.0,-281.75,353.7516784412478,-796.0,-373.0,-149.5,-58.25,-32.0,3.0,254.66666666666666,275.66344214156027,35.0,100.0,165.0,364.5,564.0,3,0,1,1,0,0.08358424635487074,1
valparaíso;panama canal;united states;california;film;video,valparaíso,video,5,4,1,5.0,-473.2,651.1445308071012,-1577.0,-543.0,-177.0,-40.0,-29.0,4.0,2.75,1093.5195090471257,-1537.0,-273.25,257.0,533.0,1034.0,2,0,0,4,0,0.08358040524321561,0
nutmeg;essential oil;medicine;alzheimer's disease;aluminium;aluminium chloride,nutmeg,aluminium chloride,5,4,1,5.0,-84.4,31.87946047222255,-118.0,-114.0,-85.0,-56.0,-49.0,4.0,-9.0,64.51356446515724,-69.0,-60.75,-14.5,37.25,62.0,3,0,2,0,1,0.06499844806391408,1
dodo;statistics;mathematics;computer science;computer programming;unix,dodo,history of computing hardware,5,4,0,5.0,-80.8,58.65321815552834,-171.0,-101.0,-71.0,-36.0,-25.0,4.0,8.75,82.64532654663542,-100.0,-33.25,29.5,71.5,76.0,2,0,2,0,2,0.06499241570912642,0
wikimedia foundation;florida;dolphin;chordate;animal;fish;whale shark;shark;zebra shark;binomial nomenclature,wikimedia foundation,nurse sharks,9,4,0,9.0,-190.0,164.86130534482615,-498.0,-302.0,-165.0,-63.0,-17.0,8.0,-17.125,206.16389977740664,-270.0,-167.75,-9.5,93.0,325.0,5,0,1,3,1,0.029681174195890146,1
battle of moscow;binoculars;optical telescope;photon;energy;chemistry;medicine;health;food;vitamin d,battle of moscow,vitamin d,9,4,1,9.0,-75.77777777777777,48.622982677376385,-144.0,-119.0,-61.0,-49.0,-7.0,8.0,-4.25,45.675094807939765,-70.0,-26.25,-8.5,14.75,83.0,1,6,0,2,1,0.0296800532095607,0
pikachu;computer and video games;computer;internet;united states;president of the united states,pikachu,barack obama,5,4,0,5.0,-467.8,643.0744124904987,-1582.0,-455.0,-155.0,-117.0,-30.0,4.0,-106.25,1044.080895652567,-1427.0,-422.0,-62.5,253.25,1127.0,3,0,1,2,0,0.08302710310162502,1
port louis;mauritius;french language;france;united kingdom;sport,port louis,hardball squash,5,4,0,5.0,-552.4,462.7259448096681,-1055.0,-1042.0,-352.0,-229.0,-84.0,4.0,-36.25,639.0390572309855,-690.0,-373.5,-140.5,196.75,826.0,1,1,1,1,2,0.0830230557861514,0
comet hyakutake;atom;physics;electrical engineering;computer science;computer programming;algorithm;algebra;arithmetic;algorithm;computer;boolean logic,comet hyakutake,boolean logic,11,4,1,11.0,-70.27272727272727,46.25816881176969,-168.0,-97.0,-40.0,-36.0,-25.0,10.0,5.1,50.16074162131177,-79.0,-7.75,2.0,45.5,67.0,6,0,4,0,2,0.0208832676578378,1
terik;kenya;united states;education in the united states;university;karl marx;philosophy;sigmund freud;carl jung,terik,carl jung,8,4,1,8.0,-341.5,548.1316317403017,-1682.0,-262.0,-135.0,-98.0,-50.0,7.0,7.714285714285714,865.1226722813581,-1578.0,-53.0,75.0,138.0,1387.0,1,2,2,1,3,0.02088114743822461,0
spider;animal;bird;dove;crow;jackdaw,spider,jackdaw,5,4,1,5.0,-184.8,207.96922849306335,-516.0,-264.0,-72.0,-40.0,-32.0,4.0,121.0,119.5714570176902,8.0,26.0,112.0,207.0,252.0,3,0,1,0,2,0.07676338489133364,1
electricity;physics;biology;virus;common cold,electricity,common cold,4,4,1,4.0,-118.0,71.90734779330042,-190.0,-170.5,-124.0,-71.5,-34.0,3.0,43.333333333333336,66.25204399362585,-26.0,12.0,50.0,78.0,106.0,0,1,1,3,0,0.07676322527636495,0
diplodocus;dinosaur;extinction;dodo;extinct birds,diplodocus,extinct birds,4,4,1,4.0,-84.5,56.29979277640963,-143.0,-126.5,-84.5,-42.5,-26.0,3.0,31.666666666666668,59.095967149487734,-22.0,0.0,22.0,58.5,95.0,3,0,0,1,1,0.07625978278624679,1
tooth enamel;juice;norway;iceland;eldfell,tooth enamel,eldfell,4,4,1,4.0,-119.5,104.92378186092989,-227.0,-200.0,-117.0,-36.5,-17.0,3.0,-8.666666666666666,183.13201067353936,-210.0,-87.0,36.0,92.0,148.0,2,1,1,0,1,0.07625552275650604,0
colombia;europe;united kingdom;charles dickens;david copperfield (novel),colombia,david copperfield (novel),4,4,1,4.0,-580.75,546.8536519642771,-1129.0,-1005.25,-584.0,-159.5,-26.0,3.0,312.6666666666667,557.3386164023926,-165.0,6.5,178.0,551.5,925.0,3,0,1,1,0,0.07309467993923133,1
fruit;european union;winston churchill;england;united kingdom;elizabeth ii of the united kingdom;antigua and barbuda,fruit,music of antigua and barbuda,6,4,0,6.0,-486.1666666666667,409.1559197502422,-1142.0,-709.5,-292.0,-233.75,-128.0,5.0,31.8,554.0209382324823,-631.0,-295.0,71.0,169.0,845.0,2,3,1,1,0,0.07308693916304962,0
mahabharata;united kingdom;dna;virus;prion,mahabharata,prion,4,4,1,4.0,-336.25,441.27268591352146,-980.0,-444.5,-164.5,-56.25,-36.0,3.0,314.6666666666667,356.85337792058704,27.0,115.0,203.0,458.5,714.0,3,0,1,1,0,0.08459736196325647,1
government;country;earth;solar system;saturn,government,saturn,4,4,1,4.0,-172.0,95.8992526908665,-286.0,-232.75,-161.5,-100.75,-79.0,3.0,9.666666666666666,165.74176701523768,-178.0,-53.5,71.0,103.5,136.0,1,0,1,1,2,0.08459325691307021,0
computer programming;algorithm;evolution;fish;fishing;nile;river;fresh water,computer programming,fresh water,7,4,1,7.0,-119.71428571428571,53.81361130703608,-215.0,-130.5,-122.0,-103.0,-34.0,6.0,-15.5,77.35825747778966,-100.0,-64.75,-13.5,-6.5,120.0,5,0,1,1,1,0.04571978680083965,1
genetic code;francis crick;england;united kingdom;london;england;london underground;m25 motorway;m1 motorway;m6 motorway,genetic code,m6 motorway,9,4,1,9.0,-422.1111111111111,452.8334253465739,-1142.0,-780.0,-197.0,-22.0,-15.0,8.0,0.625,435.470824838719,-758.0,-164.0,-1.0,233.75,654.0,2,1,2,1,4,0.04571113195386188,0
