path,source_article,target_article,human_path_length,shortest_path_length,is_successful,top,center_top,center,center_bottom,bottom,count_images,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,used_top,used_center_bottom,used_bottom,treatment_used_top,prop_scores_used_top,treatment_used_center_bottom,prop_scores_used_center_bottom,treatment_used_bottom,prop_scores_used_bottom,treatment_seq_strictly_increasing,prop_scores_seq_strictly_increasing
juvenile delinquency;society;agriculture;horse;pony,juvenile delinquency,pony,4,4,1,3,0,1,1,0,0,"[0.04388020862553881, 0.05694283549732042, 0.08178121981643148, 0.287651651396113]","[0.008206811572002044, 0.010393779820508996, 0.016789655466354015, 0.287651651396113, 0.9999999999999989]","[True, True, True]","[True, True, True, True]",True,True,4.0,-123.25,93.34300545122096,-259.0,-147.25,-88.0,-64.0,-58.0,3.0,-2.6666666666666665,179.60605038064097,-201.0,-78.5,44.0,96.5,149.0,1,0,0,1,0.10045593062421497,0,0.09569920041095185,0,0.06888083556752742,1,0.15028379204201933
arnold schwarzenegger;weight training;health;nutrition;beriberi,arnold schwarzenegger,beriberi,4,4,1,1,0,3,1,0,1,"[0.04407295350098645, 0.22585559942369063, 0.3078807071509715, 0.1705387825487793]","[0.006550004023301265, 0.0170585691927148, 0.06318501122252039, 0.1705387825487793, 0.9999999999999997]","[True, True, False]","[True, True, True, True]",False,True,4.0,-32.5,15.588457268119896,-55.0,-34.75,-28.0,-25.75,-19.0,3.0,-12.0,13.74772708486752,-27.0,-18.0,-9.0,-4.5,0.0,0,0,0,0,0.1065056195498551,0,0.0877543382803605,0,0.06833601731068957,0,0.1502776502883802
heraclius;muhammad;idolatry;god,heraclius,gender,3,4,0,2,0,0,0,2,2,"[0.04707858806797123, 0.054413945598894196, 0.2529364084539113]","[0.012631766530253986, 0.08545150011041966, 0.2529364084539113, 1.0000000000000018]","[True, True]","[True, True, True]",True,True,3.0,-77.0,49.38623289946298,-134.0,-92.0,-50.0,-48.5,-47.0,2.0,-42.0,63.63961030678928,-87.0,-64.5,-42.0,-19.5,3.0,1,0,1,1,0.1353334511010826,0,0.12067573615161904,1,0.08587507177264979,1,0.34974035161399875
world bank group;finance;business;money,world bank group,lord voldemort,3,4,0,2,0,0,1,1,1,"[0.12872078707450155, 0.17739187469546938, 0.11074487722352067]","[0.12046266068943615, 0.11844946839006933, 0.11074487722352067, 1.000000000000002]","[True, False]","[False, False, True]",False,False,3.0,-51.666666666666664,6.658328118479393,-59.0,-54.5,-50.0,-48.0,-46.0,2.0,6.5,3.5355339059327378,4.0,5.25,6.5,7.75,9.0,1,0,0,1,0.13158317211420617,0,0.1139560893366616,0,0.08667379283769144,0,0.3497103589937604
coconut crab;german language;united kingdom;manchester united f.c.;david beckham,coconut crab,david beckham,4,4,1,0,0,1,1,3,1,"[0.019715787552980712, 0.07441443081849405, 0.20480208698125857, 0.27978345027066115]","[0.0036968842958219014, 0.016133351095846907, 0.101513903966507, 0.27978345027066115, 1.0000000000000018]","[True, True, True]","[True, True, True, True]",True,True,4.0,-378.5,456.0398374411312,-1047.0,-453.75,-221.0,-145.75,-25.0,3.0,77.0,829.1972021178075,-791.0,-315.0,161.0,511.0,861.0,0,0,1,0,0.0928782613518632,0,0.08658621689487674,1,0.07529104770148731,1,0.12786475518522022
mongol empire;europe;austria;wolfgang amadeus mozart;the magic flute,mongol empire,the magic flute,4,4,1,0,1,0,2,2,5,"[0.0773395872704243, 0.17496865349628404, 0.07131837855889472, 0.12268812432789057]","[0.005009792736125548, 0.007983188294818836, 0.011742687330222774, 0.12268812432789057, 0.9999999999999996]","[True, False, True]","[True, True, True, True]",False,True,4.0,-366.0,426.87546974107875,-961.0,-532.0,-235.0,-69.0,-33.0,3.0,309.3333333333333,262.002544516906,48.0,178.0,308.0,440.0,572.0,0,0,0,0,0.07821975489343083,0,0.10413145986312071,0,0.07236303342270117,0,0.12774541098206052
gaza strip;mediterranean sea;latin;portugal,gaza strip,music of trinidad and tobago,3,4,0,0,0,3,1,0,4,"[0.06956197229179883, 0.037519014493174095, 0.05957236842828066]","[0.032003583612635965, 0.05987771269366186, 0.05957236842828066, 0.9999999999999999]","[False, True]","[True, False, True]",False,False,3.0,-356.6666666666667,142.58447788358075,-502.0,-426.5,-351.0,-284.0,-217.0,2.0,-67.0,308.2985565973347,-285.0,-176.0,-67.0,42.0,151.0,0,0,0,0,0.13002368794955121,0,0.14124268793670602,0,0.11886106123914672,0,0.4010468628580823
brain;animal;plant;tree,brain,giant panda,3,4,0,1,1,0,1,1,1,"[0.054012050504966345, 0.14194406784531838, 0.15195176086379616]","[0.01822224511627835, 0.030603160273579857, 0.15195176086379616, 1.0000000000000009]","[True, True]","[True, True, True]",True,True,3.0,-295.3333333333333,219.21982878684432,-544.0,-378.0,-212.0,-171.0,-130.0,2.0,207.0,176.7766952966369,82.0,144.5,207.0,269.5,332.0,0,0,0,0,0.11543967075471237,0,0.16312784376959083,0,0.10713092474406925,1,0.4031236667749009
darth vader;binoculars;united states;yellowstone national park,darth vader,water buffalo,3,4,0,0,1,1,1,1,1,"[0.009557191460206732, 0.022272272899156682, 0.11100992386999824]","[0.008594948686554704, 0.009745920157353276, 0.11100992386999824, 1.0000000000000004]","[True, True]","[True, True, True]",True,True,3.0,-630.6666666666666,813.8460132809728,-1556.0,-933.0,-310.0,-168.0,-26.0,2.0,-142.0,1962.928424573856,-1530.0,-836.0,-142.0,552.0,1246.0,0,0,0,0,0.15035222293095063,0,0.09025388502206685,0,0.0607853344745622,1,0.3248494146148873
black hole;stephen hawking;united kingdom;wales,black hole,llywelyn the great,3,4,0,0,0,4,0,0,3,"[0.30998988575225606, 0.049980642197079594, 0.3534612655560276]","[0.011420614037764657, 0.018065200737677423, 0.3534612655560276, 1.0000000000000002]","[False, True]","[True, True, True]",False,True,3.0,-458.3333333333333,496.32079679712535,-1005.0,-669.5,-334.0,-185.0,-36.0,2.0,-149.0,1159.655121145938,-969.0,-559.0,-149.0,261.0,671.0,0,0,0,0,0.14657306823370783,0,0.08544313340504288,0,0.07629064484793677,0,0.32793368691817076
