path,source_article,target_article,human_path_length,shortest_path_length,is_successful,top,center_top,center,center_bottom,bottom,count_images,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,used_top,used_center_bottom,used_bottom,treatment_used_top,prop_scores_used_top,treatment_used_center_bottom,prop_scores_used_center_bottom,treatment_used_bottom,prop_scores_used_bottom,treatment_seq_strictly_increasing,prop_scores_seq_strictly_increasing
banjul;mosque;india;sri lanka;sri lankan civil war,banjul,sri lankan civil war,4,4,1,1,1,1,2,0,3,"[0.024253832402039335, 0.040094327551634876, 0.12662432102403515, 0.33863986138019475]","[0.005363773509058194, 0.01309484979675146, 0.06506744052218241, 0.33863986138019475, 1.0000000000000018]","[True, True, True]","[True, True, True, True]",True,True,4.0,-249.75,291.50800446414274,-677.0,-315.5,-130.5,-64.75,-61.0,3.0,1.6666666666666667,558.3872610772324,-611.0,-238.5,134.0,308.0,482.0,0,0,0,0,0.09198627733883992,0,0.10106842767153154,0,0.06133039098224425,1,0.13460794665004788
achilles tendon;achilles;black sea;atlantic ocean;ocean,achilles tendon,ocean,4,4,1,2,1,1,1,0,2,"[0.4789700473306632, 0.023940353184589102, 0.16997713387105948, 0.38150928545766527]","[0.007702426435033084, 0.008520275316983237, 0.11812600640875107, 0.38150928545766527, 1.0000000000000016]","[False, True, True]","[True, True, True, True]",False,True,4.0,-145.5,113.2975433684832,-272.0,-217.25,-148.0,-76.25,-14.0,3.0,-61.666666666666664,125.36878931110938,-175.0,-129.0,-83.0,-5.0,73.0,0,0,0,0,0.10723373246777415,0,0.0752224598080443,0,0.07174184974833868,0,0.13456683183034604
calvin coolidge;japan;fishing;shark;angel shark,calvin coolidge,angel shark,4,4,1,1,2,2,0,0,2,"[0.02634985288454788, 0.048877563454134784, 0.07227751419202529, 0.1760883939901689]","[0.0017886062461769602, 0.011364105712368682, 0.026486306167701652, 0.1760883939901689, 1.0000000000000018]","[True, True, True]","[True, True, True, True]",True,True,4.0,-222.0,252.57606115122368,-590.0,-282.5,-131.0,-70.5,-36.0,3.0,184.66666666666663,196.86882265440948,46.0,72.0,98.0,254.0,410.0,0,0,0,0,0.09330647722077126,0,0.08908449064002637,0,0.08019788313966085,1,0.1356094348084749
islamic republic;monarchy;australia;melbourne;shrine of remembrance,islamic republic,shrine of remembrance,4,4,1,1,2,0,1,1,4,"[0.10278408929979509, 0.1120999190190398, 0.23646589946398058, 0.18148946146294082]","[0.01150257798267751, 0.02945859952487754, 0.14050942612836892, 0.18148946146294082, 1.0000000000000016]","[True, True, False]","[True, True, True, True]",False,True,4.0,-245.5,287.32501921459374,-674.0,-276.5,-119.0,-88.0,-70.0,3.0,8.0,557.9354801408492,-580.0,-253.0,74.0,302.0,530.0,0,0,0,0,0.09557102572260033,0,0.09703328875452083,0,0.07009589886278397,0,0.13560466135686935
wall street;new york city;global city;paris,wall street,playing card,3,4,0,1,1,1,1,0,3,"[0.20132108149192102, 0.3161271746477715, 0.2002233475137057]","[0.06281523599258275, 0.16648615986165297, 0.2002233475137057, 0.9999999999999984]","[True, False]","[True, True, True]",False,True,3.0,-295.3333333333333,187.11048429559827,-454.0,-398.5,-343.0,-216.0,-89.0,2.0,-55.5,437.6990975544729,-365.0,-210.25,-55.5,99.25,254.0,0,0,0,0,0.13498508101968154,0,0.08756769749634934,0,0.09749115339679765,0,0.3539499928935346
acceleration;albert einstein;linus pauling;quantum chemistry,acceleration,surtsey,3,4,0,2,1,1,0,0,2,"[0.059409337281119426, 0.08990245025179391, 0.3132392002029542]","[0.01829531616538413, 0.09926926707221606, 0.3132392002029542, 1.000000000000001]","[True, True]","[True, True, True]",True,True,3.0,-84.33333333333333,24.006943440041116,-102.0,-98.0,-94.0,-75.5,-57.0,2.0,18.5,37.476659402887016,-8.0,5.25,18.5,31.75,45.0,1,0,0,1,0.13034640161932512,0,0.11124882679449694,0,0.08957006937907117,1,0.3537474333279847
hugo wolf;austria;united nations;united states,hugo wolf,rosa parks,3,4,0,1,2,1,0,0,3,"[0.041210470210715174, 0.07354418993683401, 0.30510236928207757]","[0.024479686286752837, 0.1296006041985372, 0.30510236928207757, 0.9999999999999998]","[True, True]","[True, True, True]",True,True,3.0,-759.0,785.1031779326842,-1662.0,-1019.5,-377.0,-307.5,-238.0,2.0,-712.0,810.3443712397834,-1285.0,-998.5,-712.0,-425.5,-139.0,0,0,0,0,0.18509468209739094,0,0.38639883010078097,0,0.12316969106199377,1,0.42544529217068267
shoshone national forest;world war ii;united kingdom;university of cambridge,shoshone national forest,list of universities in the united kingdom,3,4,0,0,1,1,0,2,3,"[0.043706412154373805, 0.16681492776032184, 0.0887467988753303]","[0.019568472012670732, 0.029866330166023736, 0.0887467988753303, 1.0000000000000007]","[True, False]","[True, True, True]",False,True,3.0,-707.3333333333334,429.0155397340909,-1089.0,-939.5,-790.0,-516.5,-243.0,2.0,273.5,809.6372644585969,-299.0,-12.75,273.5,559.75,846.0,0,0,1,0,0.10777698456987615,0,0.09151906119934726,1,0.14462378829447953,0,0.42693791624555716
flag of hong kong;world war ii;rome;italy,flag of hong kong,leaning tower of pisa,3,4,0,0,1,1,1,1,3,"[0.04571710260222367, 0.08320232034696212, 0.25639771556970203]","[0.0967084728947417, 0.20059424466148065, 0.25639771556970203, 0.9999999999999999]","[True, True]","[True, True, True]",True,True,3.0,-571.0,218.98173439809997,-762.0,-690.5,-619.0,-475.5,-332.0,2.0,71.5,506.9955621107546,-287.0,-107.75,71.5,250.75,430.0,0,0,0,0,0.11655238265296033,0,0.13662801117933834,0,0.15185698014501792,1,0.44601567798492014
ludwig van beethoven;germany;norway;petroleum,ludwig van beethoven,list of essential oils,3,4,0,1,1,1,0,1,3,"[0.05576268648786515, 0.15614089186541555, 0.08705103262000924]","[0.00876475759202114, 0.061691093162152426, 0.08705103262000924, 1.0]","[True, False]","[True, True, True]",False,True,3.0,-456.0,268.63171815703373,-753.0,-569.0,-385.0,-307.5,-230.0,2.0,261.5,150.61374439273462,155.0,208.25,261.5,314.75,368.0,0,0,0,0,0.108031158489211,0,0.20053700905191207,0,0.13710920442730476,0,0.4462338356852796
achilles;william shakespeare;england;fifa world cup,achilles,nineteen eighty-four,3,4,0,0,1,0,2,1,1,"[0.014763569214677159, 0.09358169538751826, 0.12645551044419617]","[0.005014781201792423, 0.017370924433365728, 0.12645551044419617, 1.0000000000000004]","[True, True]","[True, True, True]",True,True,3.0,-374.6666666666667,338.34942490468836,-765.0,-479.5,-194.0,-179.5,-165.0,2.0,-14.5,828.0220407694471,-600.0,-307.25,-14.5,278.25,571.0,0,1,0,0,0.13147608364499042,1,0.14855399498934707,0,0.08980673094307644,1,0.3890773812221448
tasmanian devil;australia;tropics;biodiversity,tasmanian devil,mustard plant,3,4,0,1,1,1,1,0,1,"[0.06856137937838772, 0.05395054224305102, 0.1559185676672567]","[0.0552629592439306, 0.059598958133054554, 0.1559185676672567, 0.9999999999999988]","[False, True]","[True, True, True]",False,True,3.0,-259.3333333333333,272.93283667109995,-573.0,-351.0,-129.0,-102.5,-76.0,2.0,248.5,276.4787514439401,53.0,150.75,248.5,346.25,444.0,0,0,0,0,0.1155453723821092,0,0.15742805863779616,0,0.09374766098246023,0,0.3897275656995804
tex;english language;india;hinduism;ganesha,tex,ganesha,4,4,1,3,1,1,0,0,3,"[0.04316167934899349, 0.08112072460644495, 0.10395834995871885, 0.12398362855546029]","[0.004334351318040293, 0.011611423657524687, 0.033318306636153774, 0.12398362855546029, 0.9999999999999969]","[True, True, True]","[True, True, True, True]",True,True,4.0,-399.25,325.11062219907035,-727.0,-643.75,-414.0,-169.5,-42.0,3.0,191.33333333333337,313.54478680618075,-111.0,29.5,170.0,342.5,515.0,1,0,0,1,0.08349742942549698,0,0.0594906483325106,0,0.07414926680951346,1,0.11718410671521584
haemophilia;hiv;united states;agriculture;fertilizer,haemophilia,fertilizer,4,4,1,2,1,0,1,1,2,"[0.05492914272444826, 0.035293321476101445, 0.09694064671455109, 0.16123086495318797]","[0.009756955949286198, 0.010007722292633298, 0.02049346946816687, 0.16123086495318797, 0.9999999999999986]","[False, True, True]","[True, True, True, True]",False,True,4.0,-561.5,703.3939152423768,-1565.0,-791.0,-315.5,-86.0,-50.0,3.0,-16.0,1332.048422543265,-1515.0,-540.0,435.0,733.5,1032.0,0,0,0,0,0.07406016082369327,0,0.1253536852739821,0,0.041175483327031394,0,0.11710410293475251
coal;roman britain;rome;pope;pope benedict xvi,coal,list of popes,4,4,0,1,2,2,0,0,5,"[0.023693544461259094, 0.1410684754368375, 0.20865428799534289, 0.5902776340013058]","[0.008850196319355465, 0.038388818247513425, 0.09929807945192495, 0.5902776340013058, 1.0]","[True, True, True]","[True, True, True, True]",True,True,4.0,-140.25,91.32861909974696,-259.0,-185.5,-125.5,-80.25,-51.0,3.0,13.0,157.73078329863196,-169.0,-35.5,98.0,104.0,110.0,0,0,0,0,0.09964674615497474,0,0.09984697447937337,0,0.06785308517927753,1,0.1597872461576586
francis of assisi;morocco;arab league;saudi arabia;petroleum,francis of assisi,list of essential oils,4,4,0,2,0,2,0,1,4,"[0.03370618844368151, 0.21224226626499612, 0.2483688652308511, 0.17430648341280666]","[0.01576941463161544, 0.02684137902224138, 0.03888610031914169, 0.17430648341280666, 1.0]","[True, True, False]","[True, True, True, True]",False,True,4.0,-181.25,102.96399046916032,-328.0,-199.75,-155.0,-136.5,-87.0,3.0,-57.0,122.747708736253,-175.0,-120.5,-66.0,2.0,70.0,0,0,0,0,0.10721432685602374,0,0.10245969794652975,0,0.08483260889981352,0,0.1598137041074295
cheetah;eagle;north america;united states,cheetah,tropical storm ana (2003),3,4,0,1,0,1,1,1,3,"[0.012571292414850964, 0.02467816080832976, 0.3308730019703287]","[0.026439917535433496, 0.04779753948105142, 0.3308730019703287, 0.9999999999999998]","[True, True]","[True, True, True]",True,True,3.0,-715.3333333333334,809.6136938894582,-1626.0,-1034.5,-443.0,-260.0,-77.0,2.0,-774.5,577.7062402294093,-1183.0,-978.75,-774.5,-570.25,-366.0,0,0,0,0,0.19699308813628838,0,0.2875358336286618,0,0.11441994964275691,1,0.36737273065959847
canola;agriculture;horse;mammal,canola,weasel,3,4,0,3,0,1,0,0,0,"[0.06236693230523165, 0.08178121981643148, 0.05262786579354923]","[0.006277496910547074, 0.02335239461707843, 0.05262786579354923, 0.9999999999999976]","[True, False]","[True, True, True]",False,True,3.0,-206.0,83.5224520712844,-262.0,-254.0,-246.0,-178.0,-110.0,2.0,-8.0,203.64675298172568,-152.0,-80.0,-8.0,64.0,136.0,1,0,0,1,0.13041488181007677,0,0.10470660922636486,0,0.10007499633968844,0,0.3674516445687541
cultivar;latin;science;chemistry;periodic table;dmitri mendeleev,cultivar,dmitri mendeleev,5,4,1,1,2,0,3,0,3,"[0.030050907244327525, 0.06425253347344415, 0.12308299063279333, 0.22399737325706182, 0.44864786275786106]","[0.005525661512398879, 0.014869535831716999, 0.057960216778642756, 0.16332413450062677, 0.44864786275786106, 1.0000000000000024]","[True, True, True, True]","[True, True, True, True, True]",True,True,5.0,-204.6,134.87512743274797,-444.0,-162.0,-157.0,-141.0,-119.0,4.0,75.75,141.56358995165388,-38.0,2.5,29.5,102.75,282.0,0,1,0,0,0.07657685567199954,1,0.08344103627602413,0,0.07773623379622227,1,0.055838239134301915
zinc chloride;textile;cotton;american civil war;abraham lincoln;andrew johnson,zinc chloride,andrew johnson,5,4,1,2,1,2,0,1,3,"[0.02046971057813008, 0.10659269302639793, 0.08956644745074141, 0.44494430661653445, 0.22155536222592317]","[0.003978896495914585, 0.004422078497003667, 0.018271714137416132, 0.2228074893849518, 0.22155536222592317, 0.9999999999999981]","[True, False, True, False]","[True, True, True, False, True]",False,False,5.0,-91.8,49.82669966995607,-175.0,-94.0,-82.0,-59.0,-49.0,4.0,2.5,76.89603370785778,-93.0,-40.5,11.0,54.0,81.0,0,0,0,0,0.08040714904073079,0,0.06982477583456054,0,0.05870927965032757,0,0.055831766214704544
sugar;european union;iceland;eldfell;iceland hotspot,sugar,iceland hotspot,4,4,1,2,1,0,2,0,2,"[0.06286898998740009, 0.08340845827044326, 0.14816828771369675, 0.15764006374652037]","[0.006005582483809428, 0.014756078813388432, 0.3754687782804362, 0.15764006374652037, 0.9999999999999992]","[True, True, True]","[True, True, False, True]",True,False,4.0,-155.0,146.11639196202458,-299.0,-271.25,-152.5,-36.25,-16.0,3.0,94.33333333333331,108.0802171229006,27.0,32.0,37.0,128.0,219.0,0,0,0,0,0.09458712238341513,0,0.06611499032921483,0,0.0656652133429305,1,0.12220929712340259
james watt;glasgow;scotland;england;london,james watt,london sewerage system,4,4,0,2,1,1,1,0,4,"[0.06775627173312042, 0.36925167150033283, 0.3066495612018434, 0.2820032973974934]","[0.05102834369036832, 0.13693832822938834, 0.09041206059964554, 0.2820032973974934, 1.000000000000002]","[True, False, False]","[True, False, True, True]",False,False,4.0,-520.75,359.63164024688746,-861.0,-783.0,-574.0,-311.75,-74.0,3.0,-227.66666666666663,297.2445682150194,-470.0,-393.5,-317.0,-106.5,104.0,0,0,0,0,0.11224461065430275,0,0.06364919845998554,0,0.10054515081244861,0,0.12225733109515427
deity;japan;tropical cyclone;hurricane katrina;effect of hurricane katrina on new orleans,deity,effect of hurricane katrina on new orleans,4,4,1,2,1,1,0,1,2,"[0.02728715616662117, 0.04836183861457568, 0.3121796811468337, 0.6170385525996962]","[0.013804020337090309, 0.04060583067015474, 0.15804440261625594, 0.6170385525996962, 1.0000000000000007]","[True, True, True]","[True, True, True, True]",True,True,4.0,-243.75,239.857422927316,-593.0,-295.25,-163.5,-112.0,-55.0,3.0,179.33333333333334,188.5850824782632,65.0,70.5,76.0,236.5,397.0,0,0,0,0,0.09555553300708597,0,0.09154475272224892,0,0.08829846754401985,1,0.1441480341750963
"quartz;cleveland, ohio;new york city;baseball;jackie robinson",quartz,jackie robinson,4,4,1,1,3,1,0,0,3,"[0.019032985654454423, 0.19196114903121306, 0.06474359106547209, 0.2270272606847175]","[0.00248258326557483, 0.04381713747535314, 0.0825827696833009, 0.2270272606847175, 0.999999999999999]","[True, False, True]","[True, True, True, True]",False,True,4.0,-138.75,150.46677374091598,-353.0,-188.75,-86.5,-36.5,-29.0,3.0,3.3333333333333335,280.6676563719684,-314.0,-104.5,105.0,162.0,219.0,0,0,0,0,0.09755952168184999,0,0.09518988193389023,0,0.06092904743673234,0,0.14414940020381425
vitamin d;tuna;oxygen;plant;flower,vitamin d,borage,4,4,0,2,0,0,3,0,2,"[0.014747690493436362, 0.016961943198923062, 0.07113500924561686, 0.23526567369167253]","[0.009302038317880078, 0.011877805021884078, 0.01640515624846205, 0.23526567369167253, 0.9999999999999994]","[True, True, True]","[True, True, True, True]",True,True,4.0,-153.0,87.70784837553973,-215.0,-213.5,-184.5,-124.0,-28.0,3.0,-42.666666666666664,127.98567628189232,-187.0,-92.5,2.0,29.5,57.0,0,1,0,0,0.10760602585334421,1,0.0843970186198633,0,0.07502446912944435,1,0.15870669733520903
child;education;chemistry;periodic table;dubnium,child,dubnium,4,4,1,2,0,0,2,1,3,"[0.1678822882695884, 0.05217991560294505, 0.22399737325706182, 0.23778140260258762]","[0.011935211799121978, 0.01808696188386954, 0.11032017256182597, 0.23778140260258762, 0.9999999999999972]","[False, True, True]","[True, True, True, True]",False,True,4.0,-123.75,32.65348373451139,-157.0,-143.5,-128.5,-108.75,-81.0,3.0,-19.333333333333332,32.347076117221675,-39.0,-38.0,-37.0,-9.5,18.0,0,0,0,0,0.10519340724819312,0,0.09343501900159303,0,0.07965452759492943,0,0.15866700334245143
naval battle of guadalcanal;australia;world war ii;japan,naval battle of guadalcanal,july 2006 java earthquake,3,4,0,0,2,1,1,0,3,"[0.03611425488031563, 0.09888573312663056, 0.2931802172719942]","[0.1426695408615556, 0.11123032023057286, 0.2931802172719942, 1.0000000000000024]","[True, True]","[False, True, True]",True,False,3.0,-700.0,130.28814220795385,-835.0,-762.5,-690.0,-632.5,-575.0,2.0,-57.5,286.37824638055173,-260.0,-158.75,-57.5,43.75,145.0,0,0,0,0,0.11502596672370932,0,0.27787220658501705,0,0.21755695848777382,1,0.5326943249568485
bobcat;united states;pacific ocean;russia,bobcat,the rite of spring,3,4,0,0,0,1,2,1,3,"[0.061938951025412824, 0.2503113455256296, 0.12779887515909494]","[0.02700125005060305, 0.24756651162775425, 0.12779887515909494, 1.0000000000000022]","[True, False]","[True, False, True]",False,False,3.0,-881.0,592.3647524962977,-1561.0,-1083.0,-605.0,-541.0,-477.0,2.0,478.0,857.0134187980956,-128.0,175.0,478.0,781.0,1084.0,0,1,0,0,0.0905881949219202,1,0.34499694726639457,0,0.17999895640990113,0,0.5565725563726377
fossil record;china;united states;supreme court of the united states;john marshall,fossil record,john marshall,4,4,1,1,1,2,1,0,3,"[0.031449320606893524, 0.13939169431433518, 0.17054677175115104, 0.3045063456581144]","[0.012263263162421078, 0.027875868899621598, 0.1835694013349775, 0.3045063456581144, 1.0000000000000004]","[True, True, True]","[True, True, True, True]",True,True,4.0,-635.75,699.1000762885574,-1639.0,-798.25,-437.5,-275.0,-29.0,3.0,163.0,1209.9673549315287,-1121.0,-396.5,328.0,805.0,1282.0,0,0,0,0,0.08438488723181009,0,0.09001767560701367,0,0.08496205574773025,1,0.1284474334661779
channel islands;france;paris;tour de france;laurent fignon,channel islands,laurent fignon,4,4,1,2,1,0,2,0,3,"[0.0993118245928266, 0.2513960323012996, 0.08216939047927903, 0.3581183800091718]","[0.010310682794616955, 0.10942935214523675, 0.07582854422981355, 0.3581183800091718, 1.0000000000000009]","[True, False, True]","[True, False, True, True]",False,False,4.0,-381.0,434.9950191285719,-990.0,-540.75,-256.5,-96.75,-21.0,3.0,323.0,253.35350796860897,101.0,185.0,269.0,434.0,599.0,0,0,0,0,0.08126526143173776,0,0.09725042775785268,0,0.08062816067706172,0,0.1284882199565989
dune;california;united states;american civil war;slavery,dune,ghost dance,4,4,0,2,2,1,0,0,3,"[0.027048206808709854, 0.21403081917738626, 0.2762085796733708, 0.3789138092349864]","[0.008222302708785049, 0.038146019212053905, 0.14058287070898795, 0.3789138092349864, 0.9999999999999973]","[True, True, True]","[True, True, True, True]",True,True,4.0,-613.0,660.5215111309144,-1588.0,-724.75,-357.0,-245.25,-150.0,3.0,42.333333333333336,1249.1026112106777,-1311.0,-512.0,287.0,719.0,1151.0,0,0,0,0,0.08112375876788315,0,0.13444822458314268,0,0.07625028901649977,1,0.13952082000015348
african great lakes;africa;cheetah;antelope;bongo (antelope),african great lakes,bongo (antelope),4,4,1,2,1,1,0,1,1,"[0.21822922345090393, 0.0613845255606442, 0.06939972422712667, 0.1838981738869863]","[0.03204431771196026, 0.08363135302700174, 0.045068979874949205, 0.1838981738869863, 1.0000000000000009]","[False, True, True]","[True, False, True, True]",False,False,4.0,-199.75,215.69635292852465,-497.0,-288.5,-140.0,-51.25,-22.0,3.0,158.33333333333334,119.5003486745262,39.0,98.5,158.0,218.0,278.0,0,0,0,0,0.09130466337176689,0,0.09435676206606351,0,0.07077726183664301,0,0.1395351274166664
black sea;europe;united kingdom;elizabeth ii of the united kingdom,black sea,chew valley lake,3,4,0,0,2,0,1,1,4,"[0.1973388327994046, 0.2417890222080024, 0.2977580584603568]","[0.013901478221275614, 0.06654410828628844, 0.2977580584603568, 0.9999999999999996]","[True, True]","[True, True, True]",True,True,3.0,-793.6666666666666,438.8363400327431,-1129.0,-1042.0,-955.0,-626.0,-297.0,2.0,329.0,711.3494218736668,-174.0,77.5,329.0,580.5,832.0,0,0,0,0,0.10269274271603823,0,0.09069425715685299,0,0.1748027235583243,1,0.45662893948478156
diego garcia;united states;agriculture;honey,diego garcia,wasp,3,4,0,2,0,1,1,0,1,"[0.09846365419657924, 0.09694064671455109, 0.05196170412379383]","[0.005715911060036189, 0.026183777089168275, 0.05196170412379383, 0.9999999999999983]","[False, False]","[True, True, True]",False,True,3.0,-730.6666666666666,761.9779086911466,-1572.0,-1052.5,-533.0,-310.0,-87.0,2.0,742.5,419.31432124362266,446.0,594.25,742.5,890.75,1039.0,1,0,0,1,0.08698254861156712,0,0.22069377005454463,0,0.13472625070354421,0,0.45596316965963707
muhammad;princeton university;engineering;computer;internet,muhammad,ipod,4,4,0,0,3,0,1,1,4,"[0.020927919765213878, 0.03441127643072277, 0.13778537257197168, 0.15508945232527868]","[0.016815678794732457, 0.024682768491813334, 0.05820487546673685, 0.15508945232527868, 1.0000000000000027]","[True, True, True]","[True, True, True, True]",True,True,4.0,-108.5,36.42801120017397,-155.0,-119.75,-106.5,-95.25,-66.0,3.0,-29.666666666666668,28.57154761879961,-50.0,-46.0,-42.0,-19.5,3.0,0,0,0,0,0.10685464586968559,0,0.09516996227048614,0,0.07854584594756461,1,0.15881012309303572
