,used_top,used_center_bottom,used_bottom,seq_strictly_increasing,target_strictly_increasing,used_count_images
Intercept,0.37161899402745235,0.5298424433562505,0.6076241741401149,-0.14843077216098638,0.6009431722644374,1.090552742023335
Intercept p-value,0.010555971109783043,0.0003286874102926131,0.00013429822084311816,0.2767090265827067,4.7638481949204425e-21,3.941988735358939e-50
Coefficient,-0.18746167773417025,-0.10746278298952897,-0.48030860941908227,0.1855023632904756,0.33170173198154806,-0.016090801578647927
Coefficient p-value,0.35863179583886073,0.6042419750589622,0.029247623748678897,0.33580395546128483,0.00036859317227891776,0.8763186848603018
