,path,source_article,target_article,human_path_length,shortest_path_length,is_successful,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing
17868,Brain;Eye;Sleep;United_States,Brain,Telephone,3,3,0,"[0.15615342602174184, 0.04617582769201945, 0.019821649029669874]","[0.02488507958871585, 0.025893331796709662, 0.019821649029669874, 0.9999999999999998]","[False, False]","[True, False, True]",False,False
18918,Asteroid;Sun;Solar_System;Earth,Asteroid,Viking,3,3,0,"[0.11993167092839359, 0.4573841217676378, 0.3319328545283022]","[0.1618323538204031, 0.3696471419696379, 0.3319328545283022, 0.9999999999999999]","[True, False]","[True, False, True]",False,False
17472,Dakota%2C_Minnesota_and_Eastern_Railroad;United_States;Country;Earth,"Dakota, Minnesota and Eastern Railroad",Tel_Aviv,3,3,0,"[0.10930656921096629, 0.2788576314109416, 0.045261276046614146]","[0.020170423995970115, 0.08151216872548508, 0.045261276046614146, 0.9999999999999999]","[True, False]","[True, False, True]",False,False
17457,South_Africa;United_Kingdom;Lake_District;England,South_Africa,Rowan_Williams,3,3,0,"[0.15750299727343642, 0.10845209468109908, 0.12167502095403462]","[0.11719695128028174, 0.5659328445737464, 0.12167502095403462, 1.0000000000000024]","[False, True]","[True, False, True]",False,False
12187,Bratislava;George_W._Bush;North_Korea;Pyongyang,Bratislava,Pyongyang,3,3,1,"[0.023635077951759696, 0.09691937514693545, 0.2256486528904608]","[0.024423591446912873, 0.01764851297612825, 0.2256486528904608, 1.000000000000003]","[True, True]","[False, True, True]",True,False
14133,Lake_Superior;Fresh_water;River;Zambezi,Lake_Superior,Zambezi,3,3,1,"[0.10652249864858057, 0.06343356544102353, 0.39688238281905885]","[0.13481794406409894, 0.03868027652183482, 0.39688238281905885, 1.0000000000000013]","[False, True]","[False, True, True]",False,False
19305,Canada;Ice_hockey;National_Hockey_League;New_York_City,Canada,Pony,3,3,0,"[0.14944765015513248, 0.6224449044835769, 0.10404165036771114]","[0.11101611466201085, 0.06603024396731216, 0.10404165036771114, 0.9999999999999997]","[True, False]","[False, True, True]",False,False
2637,Wild_cat;England;Cricket;Lawn,Wild_cat,Lawn,3,3,1,"[0.020391096566368772, 0.0870938570687393, 0.01894064235645418]","[0.003988418894147885, 0.035139721454670175, 0.01894064235645418, 1.0000000000000007]","[True, False]","[True, False, True]",False,False
1637,Guangzhou;Europe;Islam;Mecca,Guangzhou,Mecca,3,3,1,"[0.03829664198983226, 0.08494717321974063, 0.32520434603310366]","[0.041306836709986465, 0.030006679871156055, 0.32520434603310366, 1.0000000000000002]","[True, True]","[False, True, True]",True,False
942,California;United_States;United_Nations;Copenhagen,California,Copenhagen,3,3,1,"[0.21403081917738626, 0.30510236928207757, 0.041302407842189956]","[0.03676102941064867, 0.05619158265236412, 0.041302407842189956, 1.0000000000000029]","[True, False]","[True, False, True]",False,False
5535,Fossil_fuel;Coal;World_War_II;Franklin_D._Roosevelt,Fossil_fuel,Franklin_D._Roosevelt,3,3,1,"[0.4055015879886493, 0.03429209682085125, 0.21206590498865024]","[0.01645410005425715, 0.014263884919095086, 0.21206590498865024, 0.9999999999999977]","[False, True]","[False, True, True]",False,False
3438,Space_Race;Canada;Currency;Numismatics,Space_Race,Numismatics,3,3,1,"[0.0516534914507537, 0.05264786415060138, 0.3992427380702089]","[0.02047566027853928, 0.019025674533675953, 0.3992427380702089, 0.9999999999999984]","[True, True]","[False, True, True]",True,False
13336,Great_Auk;Bird;Chicken;Egg_%28food%29,Great_Auk,Egg (food),3,3,1,"[0.1692651174009272, 0.15136749047890252, 0.30061050866758554]","[0.12651011273568183, 0.09519223137465374, 0.30061050866758554, 0.9999999999999996]","[False, True]","[False, True, True]",False,False
1531,Frog;African_dwarf_frog;Africa;Persian_Empire,Frog,Persian_Empire,3,3,1,"[0.4190676903889163, 0.10480832844607507, 0.08272798313455285]","[0.007783365313016426, 0.005285058697019061, 0.08272798313455285, 1.000000000000001]","[False, False]","[False, True, True]",False,False
16799,Trinity_test;Plutonium;Chemical_element;Alchemy,Trinity_test,Alchemy,3,3,1,"[0.30160296157839905, 0.10884195345453702, 0.09125458329473643]","[0.02172128672953025, 0.01964732893136604, 0.09125458329473643, 0.9999999999999973]","[False, False]","[False, True, True]",False,False
18202,Menthol;Mentha;Flower;Bird,Menthol,Pretoria,3,3,0,"[0.10264880978959603, 0.021475428920346894, 0.048672236937835976]","[0.009066057686293205, 0.008083685423106867, 0.048672236937835976, 1.0000000000000004]","[False, True]","[False, True, True]",False,False
19949,Theatre;United_States;Pacific_Ocean;Water,Theatre,Zebra,3,3,0,"[0.043582039636561404, 0.2503113455256296, 0.06643941719695959]","[0.01555059761799117, 0.08397100901176052, 0.06643941719695959, 1.0000000000000009]","[True, False]","[True, False, True]",False,False
8850,Voting;Australia;Commonwealth_Games;Scotland,Voting,Scotland,3,3,1,"[0.04116303276385738, 0.15288553437331437, 0.09083149872020405]","[0.01751438554806054, 0.09282686712983139, 0.09083149872020405, 1.0]","[True, False]","[True, False, True]",False,False
18225,Asteroid;Jupiter;Mars;Asteroid,Asteroid,Viking,3,3,0,"[0.1705620356481904, 0.12067849813365042, 0.1092772079548783]","[1.0000000000000016, 0.1705620356481904, 0.1092772079548783, 1.0000000000000016]","[False, False]","[False, False, True]",False,False
10458,Metric_expansion_of_space;Nature;River;Ocean,Metric_expansion_of_space,Ocean,3,3,1,"[0.1506342645813714, 0.04272319558110549, 0.06479074096116107]","[0.022333515366681208, 0.15251425518071945, 0.06479074096116107, 1.0000000000000016]","[False, True]","[True, False, True]",False,False
19235,Dog;English_language;15th_century;North_America,Dog,Telephone,3,3,0,"[0.0335646884629323, 0.038346837176783506, 0.02691389131397808]","[0.026823084761409738, 0.12632546415141147, 0.02691389131397808, 1.0000000000000007]","[True, False]","[True, False, True]",False,False
7578,North_Sea;Atlantic_Ocean;Gulf_of_Mexico;Mississippi_River,North_Sea,Mississippi_River,3,3,1,"[0.2688909210919146, 0.19554962554222374, 0.1270966384235372]","[0.07513269449485595, 0.05716207430677831, 0.1270966384235372, 1.0000000000000007]","[False, False]","[False, True, True]",False,False
19135,Brain;Computer_science;Internet;Optical_fiber,Brain,Telephone,3,3,0,"[0.04916586828560618, 0.09915001996411385, 0.035057045482461816]","[0.0462527562912229, 0.021700329194616452, 0.035057045482461816, 1.0000000000000027]","[True, False]","[False, True, True]",False,False
17852,Asteroid;3_Juno;Germany;North_Sea,Asteroid,Viking,3,3,0,"[0.32073396402171633, 0.030318529108465386, 0.14600411539539376]","[0.01715817722390835, 0.015927517374254456, 0.14600411539539376, 0.9999999999999997]","[False, True]","[False, True, True]",False,False
18442,The_Holocaust;Cancer;Protein;Nickel,The_Holocaust,Mineral,3,3,0,"[0.025632273275147246, 0.07313814899460751, 0.03162537505844128]","[0.014449173402042492, 0.009669635551125853, 0.03162537505844128, 1.0000000000000004]","[True, False]","[False, True, True]",False,False
18015,Brain;Computer_science;Internet;Optical_fiber,Brain,Telephone,3,3,0,"[0.04916586828560618, 0.09915001996411385, 0.035057045482461816]","[0.0462527562912229, 0.021700329194616452, 0.035057045482461816, 1.0000000000000027]","[True, False]","[False, True, True]",False,False
19026,World_Trade_Organization;United_States;September_11%2C_2001_attacks;Saudi_Arabia,World_Trade_Organization,Jyllands-Posten_Muhammad_cartoons_controversy,3,3,0,"[0.0906119771745868, 0.24103640312636945, 0.10552941968847213]","[0.05186609510010058, 0.13416537649315086, 0.10552941968847213, 0.9999999999999979]","[True, False]","[True, False, True]",False,False
4510,Czech_Republic;9th_century;Norway;Limerick,Czech_Republic,Limerick,3,3,1,"[0.044936150250362836, 0.057180530346369246, 0.047756779048444574]","[0.03823616455533594, 0.020630653489463326, 0.047756779048444574, 0.9999999999999992]","[True, False]","[False, True, True]",False,False
2518,United_States_Declaration_of_Independence;Despotism;Byzantine_Empire;Rome,United_States_Declaration_of_Independence,Rome,3,3,1,"[0.03467772885065927, 0.17683939010738034, 0.12254221270307315]","[0.029003372686546902, 0.020656269253352136, 0.12254221270307315, 1.0000000000000018]","[True, False]","[False, True, True]",False,False
17810,Brain;Computer_science;Internet;Optical_fiber,Brain,Telephone,3,3,0,"[0.04916586828560618, 0.09915001996411385, 0.035057045482461816]","[0.0462527562912229, 0.021700329194616452, 0.035057045482461816, 1.0000000000000027]","[True, False]","[False, True, True]",False,False
19719,The_Lorax;Theodore_Roosevelt;Abraham_Lincoln;President_of_the_United_States,The_Lorax,Election,3,3,0,"[0.02815463313925693, 0.059819392499192485, 0.15765720986383022]","[0.021053091661231173, 0.18635153482901806, 0.15765720986383022, 1.0000000000000016]","[True, True]","[True, False, True]",True,False
13279,Glasses;Italy;List_of_countries_by_system_of_government;Estonia,Glasses,Estonia,3,3,1,"[0.014771557146426533, 0.11755601367323565, 0.06219466405235778]","[0.006409961256582488, 0.08770509896484936, 0.06219466405235778, 1.0000000000000029]","[True, False]","[True, False, True]",False,False
19002,Kyrgyzstan;Russian_language;French_language;France,Kyrgyzstan,Victor_Hugo,3,3,0,"[0.1262572911280365, 0.22196609188492242, 0.30480994070258877]","[0.11159333527705088, 0.1036227071382231, 0.30480994070258877, 1.000000000000003]","[True, True]","[False, True, True]",True,False
5718,Vitamin;Protein;Potassium;Avocado,Vitamin,Avocado,3,3,1,"[0.05041036888372837, 0.023642222356278633, 0.03180196434439676]","[0.03987016745956754, 0.010600381443462233, 0.03180196434439676, 1.0000000000000022]","[False, True]","[False, True, True]",False,False
12335,Capacitance;Energy;Aristotle;Astronomy,Capacitance,Astronomy,3,3,1,"[0.07905013476748743, 0.031013799260872842, 0.04713517241489173]","[0.015962930880994954, 0.1303323871059911, 0.04713517241489173, 1.0000000000000027]","[False, True]","[True, False, True]",False,False
3415,Porto-Novo;Mosque;Rome;Raphael,Porto-Novo,Raphael,3,3,1,"[0.024789346692499145, 0.033022113026704436, 0.18033207161676706]","[0.017138488161144595, 0.007461944920719153, 0.18033207161676706, 1.0000000000000036]","[True, True]","[False, True, True]",True,False
18609,Booby;North_America;Caribbean_Sea;India,Booby,Nahuatl_language,3,3,0,"[0.011740233324990785, 0.24625661610432692, 0.043241455267124564]","[0.00521442616199488, 0.0747117363666794, 0.043241455267124564, 0.9999999999999981]","[True, False]","[True, False, True]",False,False
17311,Grease_%28film%29;United_States;U.S._state;Newark%2C_New_Jersey,Grease (film),"Newark, New Jersey",3,3,1,"[0.03456404827440794, 0.44841659139115103, 0.07438474132180341]","[0.014058419738018123, 0.09716807452505703, 0.07438474132180341, 1.0000000000000049]","[True, False]","[True, False, True]",False,False
17833,Theatre;Stage_%28theatre%29;Theatre_in_the_round;Theatre,Theatre,Zebra,3,3,0,"[0.21253257284335733, 0.3453445595740917, 0.6415256018659369]","[1.0000000000000016, 0.21253257284335733, 0.6415256018659369, 1.0000000000000016]","[True, True]","[False, True, True]",True,False
7596,Buddha;Gautama_Buddha;Buddhist_art;Clay,Buddha,Clay,3,3,1,"[0.6864496047462267, 0.36612598920564493, 0.01584378329782263]","[0.007288346010958829, 0.006676657766074268, 0.01584378329782263, 0.9999999999999978]","[False, False]","[False, True, True]",False,False
17269,California_Southern_Railroad;Cape_Horn;Africa;Central_African_Republic,California_Southern_Railroad,Central_African_Republic,3,3,1,"[0.062492821953577304, 0.06520314818306547, 0.25283858200535064]","[0.024537664904149624, 0.02010975040067246, 0.25283858200535064, 0.9999999999999993]","[True, True]","[False, True, True]",True,False
5397,Johann_Sebastian_Bach;Germany;List_of_countries_by_system_of_government;Iran,Johann_Sebastian_Bach,Iran,3,3,1,"[0.06446648163923295, 0.16342106627477895, 0.0884958204435733]","[0.01815903783459125, 0.10557388718631598, 0.0884958204435733, 1.0000000000000018]","[True, False]","[True, False, True]",False,False
17887,Asteroid;Earth;Ocean;Norse_mythology,Asteroid,Viking,3,3,0,"[0.1618323538204031, 0.20035776677030617, 0.040110655259859344]","[0.020681515331157144, 0.06377204397706032, 0.040110655259859344, 1.0000000000000002]","[True, False]","[True, False, True]",False,False
19444,Civil_rights;Suffrage;Politics;Constitutional_monarchy,Civil_rights,Romanticism,3,3,0,"[0.14655601520581676, 0.0869853333344191, 0.20100728020780145]","[0.10671100955450473, 0.07636962521717604, 0.20100728020780145, 1.000000000000002]","[False, True]","[False, True, True]",False,False
19575,Brute_force_attack;United_States;War;Vietnam_War,Brute_force_attack,Yom_Kippur_War,3,3,0,"[0.026195892522632335, 0.19983224716299905, 0.15814797817426957]","[0.02305818619085509, 0.15855745100749694, 0.15814797817426957, 0.9999999999999978]","[True, False]","[True, False, True]",False,False
7291,Danube;North_Sea;Norway;Arctic,Danube,Arctic,3,3,1,"[0.06511150885470003, 0.1254096447790224, 0.09524266424749896]","[0.014565132607678982, 0.09884762032724036, 0.09524266424749896, 1.0000000000000013]","[True, False]","[True, False, True]",False,False
18717,Bird;Fish;Vertebrate;Reptile,Bird,Great_white_shark,3,3,0,"[0.05903193001364046, 0.22727365730066645, 0.14256469643582184]","[0.18545689064566873, 0.10779546471350412, 0.14256469643582184, 0.9999999999999998]","[True, False]","[False, True, True]",False,False
20194,Thailand;Europe;Norway;Culture,Thailand,Henrik_Ibsen,3,3,0,"[0.05120000970349008, 0.1791268735749762, 0.050138384270967624]","[0.07171852487221982, 0.1161233529362002, 0.050138384270967624, 1.000000000000001]","[True, False]","[True, False, True]",False,False
4010,Asteroid;Carl_Friedrich_Gauss;Denmark;Viking,Asteroid,Viking,3,3,1,"[0.056976596230369735, 0.019275301446931133, 0.130823937394943]","[0.012289411951835442, 0.01199379786363976, 0.130823937394943, 1.0000000000000009]","[False, True]","[False, True, True]",False,False
19717,Suffrage;Australia;Flag_of_Australia;Dante_Alighieri,Suffrage,Comet_Halley,3,3,0,"[0.08127371658998506, 0.2808598706292308, 0.013245773072514433]","[0.011929361026494474, 0.017272341161183685, 0.013245773072514433, 1.0000000000000013]","[True, False]","[True, False, True]",False,False
19033,Continent;Asia;Japan;Electronics,Continent,Nintendo_Entertainment_System,3,3,0,"[0.2938208713681173, 0.20636543982416286, 0.022979916403456056]","[0.014429927141068012, 0.008624585258174909, 0.022979916403456056, 1.0000000000000013]","[False, False]","[False, True, True]",False,False
20347,American_Civil_War;United_States;India;United_Nations,American_Civil_War,Kuwait_City,3,3,0,"[0.2762085796733708, 0.18182773917822515, 0.1019182787296828]","[0.10950482836427666, 0.30510236928207757, 0.1019182787296828, 1.0000000000000027]","[False, False]","[True, False, True]",False,False
17572,Brain;Computer_science;Internet;Copper,Brain,Telephone,3,3,0,"[0.04916586828560618, 0.09915001996411385, 0.02548344196816953]","[0.018173649041170404, 0.01064779271333127, 0.02548344196816953, 0.9999999999999997]","[True, False]","[False, True, True]",False,False
19382,Pyramid;Earth;Food;Protein,Pyramid,Bean,3,3,0,"[0.02651419649611107, 0.02772064277526952, 0.056007680815574244]","[0.025188749862140997, 0.025006064978668818, 0.056007680815574244, 0.9999999999999993]","[True, True]","[False, True, True]",True,False
15761,Shetland;Atlantic_Ocean;Pacific_Ocean;Tokelau,Shetland,Tokelau,3,3,1,"[0.06577388128163807, 0.32412957255129043, 0.1519364386848532]","[0.04516087617012431, 0.043745143083183544, 0.1519364386848532, 1.0000000000000004]","[True, False]","[False, True, True]",False,False
10008,Derby;18th_century;President_of_the_United_States;Chester_A._Arthur,Derby,Chester_A._Arthur,3,3,1,"[0.04158866123752522, 0.07704403885804727, 0.2575383623740621]","[0.03219026041071359, 0.026698259381874992, 0.2575383623740621, 1.0000000000000016]","[True, True]","[False, True, True]",True,False
20282,Brain;Animal;Chordate;Mammal,Brain,Telephone,3,3,0,"[0.054012050504966345, 0.1141253798524901, 0.09170303841856253]","[0.07423653050228539, 0.0724197183196405, 0.09170303841856253, 0.9999999999999976]","[True, False]","[False, True, True]",False,False
2305,Shark;Earth;Planet;Mars,Shark,Mars,3,3,1,"[0.02697063926293756, 0.27185376332025557, 0.20397611311183797]","[0.012143611392261387, 0.28944057568363585, 0.20397611311183797, 0.9999999999999999]","[True, False]","[True, False, True]",False,False
5328,Day;19th_century;Ottoman_Empire;Siege,Day,Siege,3,3,1,"[0.03756394332648466, 0.13177487583334369, 0.07908077717478558]","[0.03601284764204029, 0.08709791385507021, 0.07908077717478558, 1.0000000000000024]","[True, False]","[True, False, True]",False,False
20565,War;Military_dictatorship;Greece;Ancient_Greece,War,Frederick_II_of_Prussia,3,3,0,"[0.13610198407517776, 0.08376911993697402, 0.367972866252942]","[0.12650060721846956, 0.054208811401242465, 0.367972866252942, 1.0000000000000042]","[False, True]","[False, True, True]",False,False
19867,Flamingo;Dove;United_States;Pacific_Ocean,Flamingo,Columbia_River,3,3,0,"[0.025919993496797588, 0.011666627690705613, 0.2503113455256296]","[0.01488199400608152, 0.009443566400480958, 0.2503113455256296, 1.0000000000000007]","[False, True]","[False, True, True]",False,False
20240,Tantalum;Color;Human;Pigment,Tantalum,Race,3,3,0,"[0.016184918250515015, 0.09933985608997893, 0.047819094331855425]","[0.020150830069666, 0.2769377873366631, 0.047819094331855425, 1.0000000000000009]","[True, False]","[True, False, True]",False,False
20114,Vitamin_C;Thiamine;Japan;World_War_I,Vitamin_C,History_of_nuclear_weapons,3,3,0,"[0.09964532533875416, 0.014994559512831565, 0.10303664415821147]","[0.030393868677546534, 0.005523062366896503, 0.10303664415821147, 0.9999999999999994]","[False, True]","[False, True, True]",False,False
19158,Hydrogen;Iron;Ship;Sea,Hydrogen,Parrot,3,3,0,"[0.0969290204430776, 0.022457937338641352, 0.03542320775810604]","[0.011657264302362172, 0.0058942178198429646, 0.03542320775810604, 1.0]","[False, True]","[False, True, True]",False,False
19795,R%C3%A9union;France;AIDS;Africa,Réunion,Working_poor,3,3,0,"[0.21979319460633964, 0.040650218286693754, 0.07603629687661742]","[0.10302857996678866, 0.15123131788104383, 0.07603629687661742, 1.0000000000000004]","[False, True]","[True, False, True]",False,False
17012,Water_polo;Football_%28soccer%29;London;Chelsea_F.C.,Water_polo,Chelsea_F.C.,3,3,1,"[0.44415361532047165, 0.07479015090482585, 0.10492134930619527]","[0.07161077666714322, 0.20161545203038667, 0.10492134930619527, 0.9999999999999993]","[False, True]","[True, False, True]",False,False
9326,Fractal;Geometry;Physics;Acceleration,Fractal,Acceleration,3,3,1,"[0.06726465939768965, 0.11410512921838134, 0.12254142745771084]","[0.023210937036429912, 0.022766445976176424, 0.12254142745771084, 0.9999999999999993]","[True, True]","[False, True, True]",True,False
3288,Michael_Jordan;Looney_Tunes;World_War_II;Adolf_Hitler,Michael_Jordan,Adolf_Hitler,3,3,1,"[0.02988909117901375, 0.020287960987011255, 0.2660941455506817]","[0.012889096788405151, 0.011125850179197089, 0.2660941455506817, 0.9999999999999986]","[False, True]","[False, True, True]",False,False
383,Bangladesh;Bay_of_Bengal;Indian_Ocean;Tuna,Bangladesh,Tuna,3,3,1,"[0.18080077320886379, 0.170097555228648, 0.04202971276088048]","[0.007448629344426756, 0.005175379404025157, 0.04202971276088048, 1.000000000000002]","[False, False]","[False, True, True]",False,False
17794,Saturn_V;Aluminium;Iron;Mesopotamia,Saturn_V,Stone_Age,3,3,0,"[0.02467725197393036, 0.08674848335777373, 0.07736535896279606]","[0.02653660931285309, 0.018190549170812174, 0.07736535896279606, 1.000000000000002]","[True, False]","[False, True, True]",False,False
14479,Medal_of_Honor;Louisville%2C_Kentucky;Tuberculosis;Bacteria,Medal_of_Honor,Bacteria,3,3,1,"[0.03665730124912164, 0.009976436484291983, 0.11596884600499602]","[0.007215589198132527, 0.006935628139133007, 0.11596884600499602, 0.999999999999997]","[False, True]","[False, True, True]",False,False
19975,German_reunification;NATO;Dwight_D._Eisenhower;Harry_S._Truman,German_reunification,Newspaper,3,3,0,"[0.14535490446635127, 0.09542218916582261, 0.09538750183395744]","[0.047520198535818514, 0.044902918583896397, 0.09538750183395744, 0.999999999999996]","[False, False]","[False, True, True]",False,False
4147,Asteroid;Comet;Denmark;Viking,Asteroid,Viking,3,3,1,"[0.12012399482448842, 0.013537931744296166, 0.130823937394943]","[0.012289411951835442, 0.009428356196154198, 0.130823937394943, 1.0000000000000009]","[False, True]","[False, True, True]",False,False
2448,The_Lord_of_the_Rings_film_trilogy;J._R._R._Tolkien;Roman_Catholic_Church;Jesus,The_Lord_of_the_Rings_film_trilogy,Jesus,3,3,1,"[0.19385143139788827, 0.036889627489679416, 0.18869421453000393]","[0.022972535449481434, 0.017065179024002793, 0.18869421453000393, 0.9999999999999987]","[False, True]","[False, True, True]",False,False
13240,George_Eliot;England;United_Kingdom;T._S._Eliot,George_Eliot,T._S._Eliot,3,3,1,"[0.0806368067763772, 0.5659328445737464, 0.057962433230976426]","[0.48364684947927855, 0.07019155597009046, 0.057962433230976426, 1.0000000000000009]","[True, False]","[False, False, True]",False,False
20665,Coin;Nauru;Coconut;South_America,Coin,Ape,3,3,0,"[0.028009526443877997, 0.03326865960063757, 0.018185816082115783]","[0.02207937288060852, 0.040620077304110346, 0.018185816082115783, 0.9999999999999994]","[True, False]","[True, False, True]",False,False
