,path,source_article,target_article,human_path_length,shortest_path_length,is_successful,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing
17868,Brain;Eye;Sleep;United_States,Brain,Telephone,3,3,0,"[0.15615342602174184, 0.04617582769201945, 0.019821649029669874]","[0.02488507958871585, 0.025893331796709662, 0.019821649029669874, 0.9999999999999998]","[False, False]","[True, False, True]",False,False
17407,Oslo;Capital;South_Africa;Ladysmith_Black_Mambazo,Oslo,Reggae,3,3,0,"[0.08952386549288756, 0.11106668410284308, 0.11916442976363838]","[0.020927758733387005, 0.01151117541826367, 0.11916442976363838, 1.000000000000001]","[True, True]","[False, True, True]",True,False
19062,Theatre;United_States;Western_Sahara;Africa,Theatre,Zebra,3,3,0,"[0.043582039636561404, 0.10815544905490877, 0.15608972144803812]","[0.025432902982615968, 0.2004574636752428, 0.15608972144803812, 1.0000000000000004]","[True, True]","[True, False, True]",True,False
19587,Richard_Francis_Burton;Latin;Virgil;French_language,Richard_Francis_Burton,Vole,3,3,0,"[0.02047893058833063, 0.07675981546322123, 0.022012914177182114]","[0.021352998521496334, 0.29070276436800996, 0.022012914177182114, 1.0000000000000002]","[True, False]","[True, False, True]",False,False
19405,Pyramid;Mexico;Spanish_language;Middle_Ages,Pyramid,Bean,3,3,0,"[0.038694230531195195, 0.2083326522349557, 0.06656183195225258]","[0.0291483487834284, 0.09336124065099845, 0.06656183195225258, 0.9999999999999993]","[True, False]","[True, False, True]",False,False
20658,Brain;Computer_science;Internet;Optical_fiber,Brain,Telephone,3,3,0,"[0.04916586828560618, 0.09915001996411385, 0.035057045482461816]","[0.0462527562912229, 0.021700329194616452, 0.035057045482461816, 1.0000000000000027]","[True, False]","[False, True, True]",False,False
4940,Brain;Psychology;19th_century;Telephone,Brain,Telephone,3,3,1,"[0.17836432623845397, 0.02550232612981301, 0.05001752972804696]","[0.01987493081672035, 0.016774730449665248, 0.05001752972804696, 1.0000000000000009]","[False, True]","[False, True, True]",False,False
19941,Asteroid;Jupiter;Ancient_Rome;Dark_Ages,Asteroid,Viking,3,3,0,"[0.1705620356481904, 0.035990255428856116, 0.1015250184229147]","[0.016780851772797103, 0.014015058371806059, 0.1015250184229147, 1.0000000000000002]","[False, True]","[False, True, True]",False,False
15612,Royal_Parks_of_London;England;Christianity;Liberalism,Royal_Parks_of_London,Liberalism,3,3,1,"[0.09043669707386141, 0.09097219295078726, 0.05899987253137749]","[0.013755780258559183, 0.06781968075967618, 0.05899987253137749, 0.9999999999999993]","[True, False]","[True, False, True]",False,False
18474,Pliocene;Elephant;India;Extinction,Pliocene,Tiger,3,3,0,"[0.044812790385912286, 0.05332562994840296, 0.05754065482457654]","[0.08139597085553527, 0.06151066015154217, 0.05754065482457654, 1.0000000000000018]","[True, True]","[False, False, True]",True,False
14434,Marvin_Gaye;United_Kingdom;The_Beatles;Paul_McCartney,Marvin_Gaye,Paul_McCartney,3,3,1,"[0.0399116420547085, 0.11260174569806237, 0.4948988225307673]","[0.04206226198447417, 0.03974126671983206, 0.4948988225307673, 0.9999999999999992]","[True, True]","[False, True, True]",True,False
18269,Pyramid;Egypt;Cereal;Protein,Pyramid,Bean,3,3,0,"[0.14021050119287728, 0.018388667242852645, 0.10935129430204289]","[0.025188749862140997, 0.011362242624666657, 0.10935129430204289, 0.9999999999999993]","[False, True]","[False, True, True]",False,False
20167,Brain;Bee;Protein;Genetic_code,Brain,Telephone,3,3,0,"[0.01817583932433713, 0.015542732099115024, 0.32590846651788435]","[0.013534714387688199, 0.005448218008009129, 0.32590846651788435, 1.0000000000000004]","[False, True]","[False, True, True]",False,False
3423,Lake_Victoria;Ice_age;Canada;Ice_hockey,Lake_Victoria,Ice_hockey,3,3,1,"[0.0434217445221516, 0.05391160626059461, 0.14944765015513248]","[0.022372244071467488, 0.1664148033434248, 0.14944765015513248, 1.000000000000001]","[True, True]","[True, False, True]",True,False
18195,Asteroid;Carl_Friedrich_Gauss;Germany;Netherlands,Asteroid,Viking,3,3,0,"[0.056976596230369735, 0.05200675181391487, 0.3044066364043762]","[0.017782016484853284, 0.017721594979921727, 0.3044066364043762, 1.000000000000002]","[False, True]","[False, True, True]",False,False
12061,Blade_Runner;Hong_Kong;United_Kingdom;Anne_of_Great_Britain,Blade_Runner,Anne_of_Great_Britain,3,3,1,"[0.02361004722311075, 0.06817449287830392, 0.1714787502427292]","[0.018531396518830907, 0.014317136066373873, 0.1714787502427292, 1.000000000000003]","[True, True]","[False, True, True]",True,False
12731,Death_Valley_National_Park;North_America;Earth;Pluto,Death_Valley_National_Park,Pluto,3,3,1,"[0.07581355161582852, 0.09456767540370772, 0.13661059424634747]","[0.014233209858117081, 0.01339138128317593, 0.13661059424634747, 1.0000000000000004]","[True, True]","[False, True, True]",True,False
19945,Saint_Petersburg;United_Kingdom;Scotland;Olympic_Games,Saint_Petersburg,James_Bond,3,3,0,"[0.09584650417311796, 0.49389208200427753, 0.04224638048574006]","[0.04616443046578659, 0.10047215221627474, 0.04224638048574006, 1.0]","[True, False]","[True, False, True]",False,False
18679,Abraham_Lincoln;United_States_House_of_Representatives;United_States_Senate;U.S._state,Abraham_Lincoln,Senate_of_Canada,3,3,0,"[0.09620056653957676, 0.634686582004709, 0.12440557262737863]","[0.11292413090090611, 0.1736353581438176, 0.12440557262737863, 1.0000000000000016]","[True, False]","[True, False, True]",False,False
1823,Libreville;Market;Currency;Fertile_Crescent,Libreville,Fertile_Crescent,3,3,1,"[0.014268151804578183, 0.06117531471025329, 0.02861764026330725]","[0.019164268710360515, 0.005380613615024281, 0.02861764026330725, 0.9999999999999971]","[True, False]","[False, True, True]",False,False
13973,Johnny_Appleseed;Apple;Insect;Thorax,Johnny_Appleseed,Thorax,3,3,1,"[0.14816664895402648, 0.039594964005158544, 0.330437294055085]","[0.006613485945556025, 0.005592956804471606, 0.330437294055085, 0.9999999999999989]","[False, True]","[False, True, True]",False,False
19679,Pyramid;Mexico;Salsa_music;Latin_America,Pyramid,Bean,3,3,0,"[0.038694230531195195, 0.04924214829516053, 0.1505855661492146]","[0.016862801855014452, 0.29931813136596996, 0.1505855661492146, 1.0000000000000013]","[True, True]","[True, False, True]",True,False
12815,Double_bass;Gold;Olympic_Games;Sport,Double_bass,Sport,3,3,1,"[0.013588300797558926, 0.030564432602905704, 0.24047057355719947]","[0.01645475889022049, 0.015549487949375966, 0.24047057355719947, 0.9999999999999983]","[True, True]","[False, True, True]",True,False
