path,source_article,target_article,human_path_length,shortest_path_length,is_successful,top,center_top,center,center_bottom,bottom,count_images,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,used_top,used_center_bottom,used_bottom,treatment_used_top,prop_scores_used_top,treatment_used_center_bottom,prop_scores_used_center_bottom,treatment_used_bottom,prop_scores_used_bottom,treatment_seq_strictly_increasing,prop_scores_seq_strictly_increasing,treatment_target_strictly_increasing,prop_scores_target_strictly_increasing
synthesizer;speech synthesis;vowel;latin;science;physical science,synthesizer,physical science,5,4,1,2,2,0,1,1,3,"[0.2816527282104098, 0.06938918033931127, 0.09859574256282208, 0.06425253347344415, 0.401165887229303]","[0.03774758641710444, 0.03969883290621927, 0.008474724169532894, 0.030880489676453772, 0.401165887229303, 0.9999999999999984]","[False, True, False, True]","[True, False, True, True, True]",False,False,5.0,-141.8,185.69518033594733,-457.0,-162.0,-43.0,-38.0,-9.0,4.0,-8.5,304.02795924059353,-419.0,-126.5,45.0,163.0,295.0,0,0,0,0,0.08019576379569868,0,0.07570212851572206,0,0.0526441703955753,0,0.04860696567334186,0,0.46052934364567627
solar system;earth;united states;baseball;babe ruth,solar system,babe ruth,4,4,1,2,0,2,0,1,5,"[0.3319328545283022, 0.08151216872548508, 0.08267822831567623, 0.16405210271871448]","[0.00802282670227088, 0.011879534009329739, 0.03595959282161238, 0.16405210271871448, 0.9999999999999996]","[False, True, True]","[True, True, True, True]",False,True,4.0,-595.25,729.3140041619018,-1667.0,-684.5,-341.0,-251.75,-32.0,3.0,97.66666666666669,1340.535838138367,-1342.0,-508.5,325.0,817.5,1310.0,0,0,0,0,0.08894836097469297,0,0.11376311122970556,0,0.08272562385224518,0,0.14218051986018074,1,0.7981507967401953
dresden;lion;animal;australian green tree frog;frog;african dwarf frog,dresden,african dwarf frog,5,4,1,0,0,1,3,2,2,"[0.016579475390403935, 0.02090111277622261, 0.06489325044024397, 0.6375547081887945, 0.4190676903889163]","[0.004590797274357274, 0.041997740528160986, 0.047235755764281094, 0.3263517955914826, 0.4190676903889163, 0.9999999999999981]","[True, True, True, False]","[True, True, True, True, True]",False,True,5.0,-148.4,215.4780731304232,-531.0,-97.0,-45.0,-40.0,-29.0,4.0,14.25,382.8963088531063,-434.0,-120.5,-5.5,129.25,502.0,0,1,0,0,0.07828844546802742,1,0.064201019286608,0,0.05811554955664616,0,0.0368407058392343,1,0.4626182938580751
milk;protein;atom;neutron;quark;proton,milk,isospin,5,4,0,2,0,3,1,0,3,"[0.07960846746898884, 0.06131049362159926, 0.27985977867725753, 0.16831981753377567, 0.17587637434971273]","[0.005841313978743905, 0.01787244775566184, 0.2636547920588811, 0.34616526762172223, 0.17587637434971273, 0.999999999999999]","[False, True, False, True]","[True, True, True, False, True]",False,False,5.0,-99.6,59.239345033516365,-160.0,-158.0,-97.0,-52.0,-31.0,4.0,26.5,85.56284240252891,-63.0,-31.5,20.0,78.0,129.0,0,0,0,0,0.07900564563706729,0,0.06208369618279515,0,0.05656122794729043,0,0.05251641964725955,0,0.4626000337814435
jet set willy;netherlands;nato;turkey;climate,jet set willy,batholith,4,4,0,0,1,0,3,1,4,"[0.019407510648758255, 0.16763668298286, 0.1925852806146226, 0.036041727275520054]","[0.01121097840481951, 0.02462988110327847, 0.009216462551982867, 0.036041727275520054, 0.9999999999999989]","[True, True, False]","[True, False, True, True]",False,False,4.0,-300.25,66.4448392779053,-346.0,-343.75,-325.5,-282.0,-204.0,3.0,12.666666666666666,141.82500954815174,-139.0,-52.0,35.0,88.5,142.0,0,1,0,0,0.09858563829252155,1,0.11310297421121548,0,0.10280904559605651,0,0.19051065820646015,0,0.5468214488454024
algol;diamond;carbon;periodic table;erbium,algol,erbium,4,4,1,0,1,2,1,1,2,"[0.024110340148523063, 0.2686991338719614, 0.10897071021802836, 0.12761446613257052]","[0.013913398145329816, 0.0190818135979614, 0.06609401944687618, 0.12761446613257052, 1.000000000000001]","[True, False, True]","[True, True, True, True]",False,True,4.0,-143.0,46.99645376692444,-180.0,-174.75,-157.5,-125.75,-77.0,3.0,-21.666666666666668,68.19335255971313,-96.0,-51.5,-7.0,15.5,38.0,0,0,0,0,0.10475356933810652,0,0.09360878004189332,0,0.07916325648142447,0,0.1623871103026303,1,0.6411831193377846
globe theatre;tokyo;world war ii;nuclear weapon;neutron;quark,globe theatre,quark,5,4,1,2,0,0,2,2,4,"[0.03414515222600507, 0.08022881381644292, 0.1343738010432378, 0.12055393848656157, 0.16831981753377567]","[0.003009147170392274, 0.0027609448246162377, 0.007706901929422441, 0.006875844950516524, 0.16831981753377567, 1.0000000000000029]","[True, True, False, True]","[False, True, False, True, True]",False,False,5.0,-249.0,308.5093191461159,-790.0,-190.0,-150.0,-84.0,-31.0,4.0,13.25,539.5969946790536,-706.0,-146.5,79.5,239.25,600.0,0,0,0,0,0.07423054051771955,0,0.06261103676918255,0,0.05412755943105059,0,0.03467623658841057,0,0.498490836480518
rupee;indonesia;japan;fishing;fish;whale shark,rupee,whale shark,5,4,1,2,0,3,1,0,2,"[0.035712018070198706, 0.0894792360550393, 0.048877563454134784, 0.47453521410221383, 0.14220433716838257]","[0.00604047378545435, 0.012577732347036743, 0.024466800938890136, 0.06771532584386637, 0.14220433716838257, 0.9999999999999996]","[True, False, True, False]","[True, True, True, True, True]",False,True,5.0,-245.8,227.39547049138864,-628.0,-213.0,-191.0,-180.0,-17.0,4.0,49.0,362.2715372019539,-415.0,-112.0,81.5,242.5,448.0,0,0,0,0,0.08285574216982804,0,0.07253277438436989,0,0.07530784967160287,0,0.055492304609070266,1,0.5064120707637976
rhode island;industrial revolution;fossil fuel;electricity;electric charge,rhode island,electric charge,4,4,1,0,1,3,0,1,4,"[0.045923318320736005, 0.12549090822691353, 0.0983069998879692, 0.6038136966166836]","[0.009440388018206127, 0.02441747326651587, 0.020798686756373502, 0.6038136966166836, 0.9999999999999998]","[True, False, True]","[True, False, True, True]",False,False,4.0,-95.25,16.214705259938174,-117.0,-100.5,-93.0,-87.75,-78.0,3.0,5.666666666666667,32.53203549323856,-26.0,-11.0,4.0,21.5,39.0,0,0,0,0,0.10325240725063059,0,0.0952733122150036,0,0.0764477246981139,0,0.15964085811546877,0,0.6271970397744412
southern africa;europe;united kingdom;manchester united f.c.;wayne rooney,southern africa,wayne rooney,4,4,1,1,1,2,1,0,4,"[0.14309364569032504, 0.2417890222080024, 0.20480208698125857, 0.23711374202742624]","[0.008148106433551305, 0.02548767777170631, 0.07425350356173471, 0.23711374202742624, 1.0000000000000002]","[True, False, True]","[True, True, True, True]",False,True,4.0,-580.75,558.778056715425,-1129.0,-1023.25,-587.0,-144.5,-20.0,3.0,322.6666666666667,558.7238435339352,-141.0,12.5,166.0,554.5,943.0,0,0,0,0,0.06873458778242687,0,0.02937480693366964,0,0.06326586267297976,0,0.06857812692183188,1,0.788577728834213
