,path,source_article,target_article,human_path_length,shortest_path_length,is_successful,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing
20377,Hero_of_the_Russian_Federation;Russia;Country;Australia;Canberra;Lake_Burley_Griffin,Hero_of_the_Russian_Federation,Darling_River,5,3,0,"[0.2258364166774872, 0.10234027879805571, 0.12504722820180902, 0.2470348547009831, 0.24448448253945146]","[0.018560878127485324, 0.03994787035276773, 0.011801093011357296, 0.10415242355850517, 0.24448448253945146, 0.9999999999999988]","[False, True, True, False]","[True, False, True, True, True]",False,False
20611,Portugal;European_Union;United_Nations;Hindi;India;Indian_independence_movement,Portugal,Rudyard_Kipling,5,3,0,"[0.15730855957334083, 0.2202723753216876, 0.0367711646740302, 0.1587098337614564, 0.5029239202501894]","[0.07019670170334577, 0.061825387910392535, 0.09741112511988027, 0.07616985148376737, 0.5029239202501894, 1.0000000000000009]","[True, False, True, True]","[False, True, False, True, True]",False,False
19865,Sesame;Copper;Isle_of_Man;United_Kingdom;William_Shakespeare;Macbeth,Sesame,Romeo_and_Juliet,5,3,0,"[0.021537755958399282, 0.014213430173963417, 0.16436450964031046, 0.07374846387416312, 0.106493466892091]","[0.002287013157456866, 0.004408088370818159, 0.014012460950928035, 0.0354242772599729, 0.106493466892091, 0.9999999999999982]","[False, True, False, True]","[True, True, True, True, True]",False,True
19929,Ice_hockey;Ice;Climate;Climate_change;Global_warming;Greenhouse_effect,Ice_hockey,Effects_of_global_warming,5,3,0,"[0.2404044013081387, 0.041280745806226295, 0.5790906689304302, 0.5395313966070485, 0.473852312844663]","[0.012638964862043514, 0.06285691646775438, 0.12337808370441866, 0.30148795406907974, 0.473852312844663, 0.9999999999999998]","[False, True, False, False]","[True, True, True, True, True]",False,True
19994,Cataract;Lens_%28anatomy%29;Retina;Action_potential;Capacitance;Electrical_resistance,Cataract,Manifest_Destiny,5,3,0,"[0.44532360217199884, 0.07711556179070704, 0.10058915718415908, 0.08393535819130242, 0.10382502357490998]","[0.00969764698671318, 0.015370818975682696, 0.016416792438632404, 0.13213009177787077, 0.10382502357490998, 1.0000000000000016]","[False, True, False, True]","[True, True, True, False, True]",False,False
20166,Pyramid;Sun;Photosynthesis;Plant;Soybean;Peanut,Pyramid,Bean,5,3,0,"[0.036733224273107885, 0.09461524728236163, 0.2866644457646204, 0.05554282167285897, 0.0755783258132475]","[0.007718849215028931, 0.013352522109157152, 0.01902719271805706, 0.04951744305989769, 0.0755783258132475, 1.0000000000000007]","[True, True, False, True]","[True, True, True, True, True]",False,True
20005,Forrest_Gump;Novel;Poetry;Art;Leonardo_da_Vinci;Rome,Forrest_Gump,Theatre,5,3,0,"[0.03776120365506435, 0.07864914856812916, 0.07861063114389379, 0.07057190657483467, 0.061059649646733466]","[0.011687873634777787, 0.03808614880291567, 0.021425591482454823, 0.04798665852890982, 0.061059649646733466, 1.0000000000000018]","[True, False, False, False]","[True, False, True, True, True]",False,False
19969,Jesus;Jordan;University;List_of_universities_in_the_United_Kingdom;University_of_Cambridge;Oxford,Jesus,FIFA,5,3,0,"[0.037125132985553644, 0.10559644395512333, 0.4136542646727915, 0.37910158687978923, 0.17537352771737813]","[0.029716660477496964, 0.03331191198106678, 0.10273786257774194, 0.14765133550974158, 0.17537352771737813, 1.0000000000000004]","[True, True, False, False]","[True, True, True, True, True]",False,True
19973,Tim_Henman;France;Paris;Mona_Lisa;Leonardo_da_Vinci;The_Last_Supper_%28Leonardo%29,Tim_Henman,Last_Supper,5,3,0,"[0.07558979395217634, 0.2513960323012996, 0.046213369777610286, 0.279539968359236, 0.36145497019234923]","[0.014853965117995358, 0.02673447118062012, 0.022733215945255233, 0.2144109420798657, 0.36145497019234923, 1.0000000000000013]","[True, False, True, True]","[True, False, True, True, True]",False,False
19796,Theatre;United_Kingdom;British_Empire;South_Africa;Africa;Herbivore,Theatre,Zebra,5,3,0,"[0.05274342217704193, 0.325264486047702, 0.21086457300838304, 0.5288559985334571, 0.05739435640479188]","[0.007906613873932659, 0.019313296773834154, 0.019936996930431564, 0.06650899551784896, 0.05739435640479188, 0.999999999999998]","[True, False, True, False]","[True, True, True, False, True]",False,False
19984,Taiwan;Republic_of_China;Japan;Culture;Folk_music;Music,Taiwan,Hip_hop_music,5,3,0,"[0.5556019965802366, 0.14674867670694913, 0.10521167603664282, 0.1020226620032103, 0.47253299820453565]","[0.016752321147182902, 0.01527775260154171, 0.050630649433413395, 0.10249206517393164, 0.47253299820453565, 1.000000000000001]","[False, False, False, True]","[False, True, True, True, True]",False,False
19568,Tutsi;Africa;North_Africa;Spain;France;United_Kingdom,Tutsi,Alan_Turing,5,3,0,"[0.10992143348309738, 0.4192155578415994, 0.17590485930713995, 0.21639468213824029, 0.21402039732604736]","[0.027008118791881443, 0.13233192259778037, 0.08013268043383996, 0.16298535565213468, 0.21402039732604736, 1.0000000000000027]","[True, False, True, False]","[True, False, True, True, True]",False,False
20485,Lord_Voldemort;Harry_Potter;United_Kingdom;Gibraltar;Nazi_Germany;Holy_Roman_Empire,Lord_Voldemort,Ecology,5,3,0,"[0.45161653829616216, 0.03969583580519211, 0.11337742422663996, 0.04087915602287647, 0.22920666336362347]","[0.008846649283800032, 0.022333713489799744, 0.10800696580727069, 0.026084872013954822, 0.22920666336362347, 0.9999999999999992]","[False, True, False, True]","[True, True, False, True, True]",False,False
20461,Hammurabi;Mesopotamia;Iraq;Saudi_Arabia;United_Arab_Emirates;Dubai,Hammurabi,Thailand,5,3,0,"[0.26694519153594354, 0.1537889810614687, 0.17236335415276613, 0.20582330641439298, 0.3974125924114853]","[0.008493698000336272, 0.023907574636328734, 0.043455085393583774, 0.057969444064918656, 0.3974125924114853, 0.9999999999999969]","[False, True, True, True]","[True, True, True, True, True]",False,True
19773,Electrical_engineering;United_Kingdom;British_Empire;Africa;Zambia;Zambezi,Electrical_engineering,Chinyingi,5,3,0,"[0.056001050668249334, 0.325264486047702, 0.21601621737258866, 0.2583018291708211, 0.3776559846559036]","[0.014857238295539123, 0.04014564761037167, 0.04008287502345156, 0.08297486734456282, 0.3776559846559036, 1.0000000000000013]","[True, False, True, True]","[True, False, True, True, True]",False,False
19656,Theatre;United_Kingdom;Lake_District;Golden_Eagle;Mammal;Animal,Theatre,Zebra,5,3,0,"[0.05274342217704193, 0.10845209468109908, 0.05795904417497079, 0.05068897554843738, 0.0724197183196405]","[0.008726465548975307, 0.026571319693569424, 0.017812166461600883, 0.030361439260455772, 0.0724197183196405, 1.0]","[True, False, False, True]","[True, False, True, True, True]",False,False
20620,Flat_Earth;Europe;Carnivore;Meat;Anatomy;Human,Flat_Earth,Tooth_development,5,3,0,"[0.06717666722519201, 0.040764901730276464, 0.14685995543645494, 0.02691018930842617, 0.145831111967054]","[0.07054680307014563, 0.08950024428839977, 0.045907764786357, 0.07883469266240847, 0.145831111967054, 1.0000000000000033]","[False, True, False, True]","[True, False, True, True, True]",False,False
20116,Asteroid;Jupiter;Roman_mythology;Mythology;Religion;Christianity,Asteroid,Viking,5,3,0,"[0.1705620356481904, 0.10144035790212953, 0.18619632333344005, 0.17820653874743628, 0.21524810071320838]","[0.018722667902908798, 0.013833447899357563, 0.08296922851123102, 0.06422841742386348, 0.21524810071320838, 1.0000000000000024]","[False, True, False, True]","[False, True, False, True, True]",False,False
19654,Scrooge_McDuck;Scotland;England;United_Kingdom;Canada;Great_Lakes,Scrooge_McDuck,Isaac_Brock,5,3,0,"[0.013756715654403374, 0.3066495612018434, 0.5659328445737464, 0.19820719235402356, 0.12617974497177722]","[0.005996506656154088, 0.04190760812577423, 0.06247236612255009, 0.06568181913032604, 0.12617974497177722, 1.000000000000002]","[True, True, False, False]","[True, True, True, True, True]",False,True
19826,Death_Valley_National_Park;Radio;Sony;Music;Folk_music;Guitar,Death_Valley_National_Park,Alternative_rock,5,3,0,"[0.04003952090913192, 0.033609835583796224, 0.042941887268262854, 0.47253299820453565, 0.05701804095027118]","[0.016494519162727317, 0.029857021824492323, 0.009432714947907074, 0.07597557580311025, 0.05701804095027118, 1.0000000000000024]","[False, True, True, False]","[True, False, True, False, True]",False,False
20261,Gliese_876;Binary_star;Telescope;Johannes_Kepler;Transit_of_Venus;Norway,Gliese_876,Lille,5,3,0,"[0.21044107035498574, 0.061472007266318594, 0.05253503669967754, 0.09974781950637299, 0.022688428948443033]","[0.011187416723019119, 0.007394009116695216, 0.01118280755846141, 0.011125988325597668, 0.022688428948443033, 1.0000000000000013]","[False, False, True, False]","[False, True, False, True, True]",False,False
