path,source_article,target_article,human_path_length,shortest_path_length,is_successful,top,center_top,center,center_bottom,bottom,count_images,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,used_top,used_center_bottom,used_bottom,treatment_used_top,prop_scores_used_top
ship;20th century;technology;computer;internet;world wide web;google;gmail,ship,gmail,7,4,1,5,0,1,1,1,4,"[0.04568647257611673, 0.13216029834772247, 0.10778705423921779, 0.15508945232527868, 0.3934715901446399, 0.08608079564840988, 0.41028130832026033]","[0.0061036820584928365, 0.009960172934035226, 0.020837799568278602, 0.029435142939120574, 0.07827550601849322, 0.07853038386322857, 0.41028130832026033, 1.0000000000000013]","[True, False, True, True, False, True]","[True, True, True, True, True, True, True]",False,True,7.0,-125.28571428571428,103.11597723876142,-322.0,-158.0,-123.0,-46.5,-23.0,6.0,49.833333333333336,70.06116375472696,-32.0,12.75,28.0,86.75,161.0,1,0,0,1,0.04672080147950034
whooping crane;chordate;vertebrate;bird;turkey (bird);africa;desert;animal,whooping crane,vulture,7,4,0,3,1,2,0,2,2,"[0.024486527005266462, 0.45276746989343386, 0.10803217840362948, 0.11547248140031423, 0.0336962585582978, 0.05931152723055247, 0.02397726512459887]","[0.030102348351689054, 0.1141253798524901, 0.08063118234257143, 0.06409316059672879, 0.02064069709805032, 0.027118296960048503, 0.02397726512459887, 1.0]","[True, False, True, False, True, False]","[True, False, False, False, True, False, True]",False,False,7.0,-281.85714285714283,183.5968668681727,-513.0,-416.5,-263.0,-155.0,-54.0,6.0,-28.333333333333332,299.382475550368,-428.0,-236.0,-4.0,216.75,289.0,0,0,0,0,0.046710019444584
zinc;iron;earth;planet;gliese 876;gliese 876 c,zinc,gliese 876 c,5,4,1,3,0,2,1,0,5,"[0.07389132328314515, 0.07369636742221027, 0.27185376332025557, 0.30196563689052336, 0.852169313458027]","[0.006807107097457541, 0.012015525840001862, 0.11655798026962207, 0.23281583759601565, 0.852169313458027, 1.0000000000000002]","[False, True, True, True]","[True, True, True, True, True]",False,True,5.0,-164.4,128.55854697374266,-324.0,-238.0,-192.0,-49.0,-19.0,4.0,54.75,106.73760661859842,-86.0,1.0,81.0,134.75,143.0,1,0,0,1,0.07299004881546095
indian standard time;india;united nations;russian language;belarus;flag of belarus,indian standard time,flag of belarus,5,4,1,1,2,0,2,1,3,"[0.24871360242731277, 0.1019182787296828, 0.07622102499613313, 0.20805477585522122, 0.4738399014988928]","[0.030126793381039147, 0.04101511922992793, 0.05157425159065673, 0.07259031414732617, 0.4738399014988928, 1.000000000000001]","[False, False, True, True]","[True, True, True, True, True]",False,True,5.0,-292.4,227.10195948075835,-622.0,-410.0,-239.0,-137.0,-54.0,4.0,142.0,60.06108002136936,83.0,97.25,136.5,181.25,212.0,0,0,0,0,0.07299587226597859
amtrak;united states;potato;flower;bee;honey bee,amtrak,honey bee,5,4,1,3,0,0,1,2,3,"[0.11731702602868647, 0.03624514605331169, 0.06391876188592771, 0.2549472266783, 0.5919331909866956]","[0.0060654959728662075, 0.03817117493064966, 0.015414498559582527, 0.17099387694123191, 0.5919331909866956, 0.9999999999999992]","[False, True, True, True]","[True, False, True, True, True]",False,False,5.0,-422.0,667.8865921696587,-1596.0,-335.0,-112.0,-49.0,-18.0,4.0,394.5,583.7405245483648,31.0,55.0,143.0,482.5,1261.0,1,0,0,1,0.06295185770906835
great pyramid of giza;mathematics;computer science;computer programming;linux;open source;openoffice.org,great pyramid of giza,openoffice.org,6,4,1,2,2,2,1,0,3,"[0.02828177913904269, 0.22923957168989784, 0.31068229556471755, 0.12617729059859992, 0.15516770404242117, 0.11750250808139012]","[0.010121555747625126, 0.018213432747365636, 0.041903223416957056, 0.07921646118287377, 0.10709609376860053, 0.11750250808139012, 1.0000000000000004]","[True, True, False, True, False]","[True, True, True, True, True, True]",False,True,6.0,-63.833333333333336,57.12238323692969,-162.0,-89.0,-39.0,-22.75,-20.0,5.0,28.4,42.46527993549554,-28.0,2.0,31.0,61.0,76.0,0,0,0,0,0.06294375589688771
blue peter;elizabeth ii of the united kingdom;india;nepal;mount everest;tenzing norgay,blue peter,tenzing norgay,5,4,1,3,2,0,0,1,5,"[0.06664665887150585, 0.06248808306095894, 0.19582058056103302, 0.19319343122441662, 0.5183066057558224]","[0.01222310943314074, 0.01860397798057637, 0.05015557030854974, 0.12166772154794285, 0.5183066057558224, 1.0000000000000007]","[False, True, False, True]","[True, True, True, True, True]",False,True,5.0,-216.8,280.1387156392347,-709.0,-152.0,-139.0,-54.0,-30.0,4.0,27.25,462.73057315605735,-570.0,-124.5,61.0,212.75,557.0,1,0,0,1,0.0726009093546457
potassium nitrate;gunpowder;middle east;africa;elephant;ivory,potassium nitrate,ivory,5,4,1,2,1,0,1,2,2,"[0.18238663310118428, 0.02040904795825689, 0.14795139748095704, 0.0900229486116149, 0.2277137686849164]","[0.012743456515657444, 0.00844299995417016, 0.009294471830090547, 0.04928995436800932, 0.2277137686849164, 1.000000000000001]","[False, True, False, True]","[False, True, True, True, True]",False,False,5.0,-224.4,209.2159171764902,-558.0,-254.0,-214.0,-65.0,-31.0,4.0,-8.5,305.3266010902642,-344.0,-223.25,3.0,217.75,304.0,0,0,0,0,0.07259755311457952
visual arts;film;sound;music;musical instrument;clarinet;bassoon,visual arts,bassoon,6,4,1,4,0,3,0,0,5,"[0.09289453500624181, 0.05991435228411705, 0.06581091050574377, 0.11652589303264341, 0.16199098744806634, 0.1424873499970056]","[0.017463705689658778, 0.017825144604648284, 0.02110089553833207, 0.051990000968520106, 0.13201801907849647, 0.1424873499970056, 1.0000000000000067]","[False, True, True, True, False]","[True, True, True, True, True, True]",False,True,6.0,-70.16666666666667,50.72047581269981,-153.0,-94.0,-61.0,-31.75,-19.0,5.0,26.8,55.21503418454072,-50.0,6.0,32.0,45.0,101.0,1,0,0,1,0.06259866938687587
millard fillmore;europe;germany;carl friedrich gauss;mathematical analysis;differential equation,millard fillmore,differential equation,5,4,1,0,1,0,3,2,4,"[0.017455031340371033, 0.28022349835787147, 0.05200675181391487, 0.06815441996583926, 0.24594297041915766]","[0.0023649370669272195, 0.00517835858708864, 0.00840455338047975, 0.03928799867337101, 0.24594297041915766, 1.0000000000000024]","[True, False, True, True]","[True, True, True, True, True]",False,True,5.0,-419.6,464.37840173720394,-947.0,-900.0,-184.0,-34.0,-33.0,4.0,228.25,331.297826736005,-1.0,35.0,99.0,292.25,716.0,0,1,0,0,0.06259854137669972
ethiopia;africa;carnivore;frog;african dwarf frog,ethiopia,african dwarf frog,4,4,1,3,1,0,1,0,2,"[0.24765165896429514, 0.018896230703937172, 0.06582795388518026, 0.4190676903889163]","[0.01741697281514809, 0.10480832844607507, 0.042711653051441346, 0.4190676903889163, 0.9999999999999981]","[False, True, True]","[True, False, True, True]",False,False,4.0,-236.5,262.993662788035,-604.0,-337.75,-151.0,-49.75,-40.0,3.0,188.0,171.14029332684925,13.0,104.5,196.0,275.5,355.0,1,0,0,1,0.08687525264465339
map projection;earth;mount everest;united kingdom;england,map projection,charlie chaplin,4,4,0,1,0,2,1,1,4,"[0.16628751618567686, 0.06562339064421117, 0.05050210263285103, 0.5659328445737464]","[0.022757746242477672, 0.043803590044888166, 0.03353747873410159, 0.5659328445737464, 1.0000000000000024]","[False, False, True]","[True, False, True, True]",False,False,4.0,-580.75,439.91088112631786,-998.0,-937.25,-595.0,-238.5,-135.0,3.0,-214.66666666666663,562.1959919221529,-863.0,-391.0,81.0,109.5,138.0,0,0,0,0,0.0869243817081459
cane toad;australia;united states;computer;computer programming;basic,cane toad,basic,5,4,1,4,1,0,0,1,2,"[0.06349409012951983, 0.2049404741940757, 0.036229024125313446, 0.329411707483881, 0.3626411069430972]","[0.007421168142773727, 0.02728334105055775, 0.0352086753630474, 0.302055752242208, 0.3626411069430972, 1.0000000000000007]","[True, False, True, True]","[True, True, True, True, True]",False,True,5.0,-531.0,662.1302741908121,-1635.0,-587.0,-379.0,-44.0,-10.0,4.0,144.25,949.7348314134846,-1048.0,-236.5,184.5,565.25,1256.0,1,0,0,1,0.05205738365428897
war of the league of cambrai;henry viii of england;real tennis;20th century;united states;sport;china,war of the league of cambrai,tiger woods,6,4,0,3,0,2,2,0,4,"[0.09896324279815034, 0.1114267901661295, 0.03918655922628516, 0.2029312432823103, 0.08507289258242368, 0.07345274362852353]","[0.02974782359713253, 0.0259154074595314, 0.02311465688525579, 0.09483905042703565, 0.13939169431433518, 0.07345274362852353, 1.0000000000000013]","[True, False, True, False, False]","[False, False, True, True, False, True]",False,False,6.0,-494.6666666666667,587.9318554617249,-1642.0,-470.5,-339.5,-147.0,-50.0,5.0,-84.2,929.822671265871,-1318.0,-274.0,-154.0,38.0,1287.0,0,0,0,0,0.051973513250061554
invertebrate;insect;scientific classification;human;religion;roman catholic church;pope john paul ii;pope;henry ii of england;thomas becket,invertebrate,thomas becket,9,4,1,6,2,1,0,1,6,"[0.08548188783424662, 0.07747629307415024, 0.1375068143422942, 0.23869463269175487, 0.1443282412328175, 0.3408728649855518, 0.5885631954790329, 0.07116113308241254, 0.45261713370615064]","[0.003097728237943674, 0.00910401531332722, 0.010843341482529266, 0.02212706858044857, 0.02065851935444352, 0.10316646656581047, 0.08847300698291981, 0.10852748707428352, 0.45261713370615064, 1.0000000000000033]","[False, True, True, False, True, True, False, True]","[True, True, True, False, True, False, True, True, True]",False,False,9.0,-204.88888888888889,161.35631723335504,-551.0,-293.0,-188.0,-103.0,-28.0,8.0,10.625,240.20047430665673,-438.0,-104.5,21.5,154.75,363.0,1,0,0,1,0.02717007770687451
arabic language;english language;united kingdom;england;london;university of cambridge;oxford;j. r. r. tolkien;the hobbit,arabic language,the hobbit,8,4,1,2,3,2,0,2,7,"[0.23121759516730658, 0.16231138621237448, 0.5659328445737464, 0.2820032973974934, 0.05898190409769288, 0.17537352771737813, 0.08337508805461165, 0.3229231540568823]","[0.015145329012125312, 0.03901539002425273, 0.03461262182357326, 0.03278046705888974, 0.020444471127200128, 0.01881890895179714, 0.013112338726005918, 0.3229231540568823, 0.9999999999999999]","[False, True, False, False, True, False, True]","[True, False, False, False, False, False, True, True]",False,False,8.0,-475.875,424.413692218874,-1088.0,-797.0,-415.0,-93.75,-50.0,7.0,84.71428571428571,299.5940110025089,-435.0,22.5,72.0,165.5,580.0,0,0,0,0,0.0271566448538075
maldives;indian ocean;ocean;weather;rain,maldives,soil moisture,4,4,0,3,1,0,1,0,2,"[0.17043164995023924, 0.4550751415154953, 0.0842418955979379, 0.12685726759893864]","[0.015310826305221504, 0.06229658240609024, 0.05116608638829991, 0.12685726759893864, 1.0000000000000002]","[True, False, True]","[True, False, True, True]",False,False,4.0,-118.0,37.532208390483326,-151.0,-149.5,-121.5,-90.0,-78.0,3.0,19.0,45.92385001282014,-16.0,-7.0,2.0,36.5,71.0,1,0,0,1,0.10116349205776493
ornithischia;bird;albatross;monty python;yes minister,ornithischia,yes minister,4,4,1,0,1,3,0,1,3,"[0.1381910599736076, 0.11837744122698551, 0.013842495619345944, 0.06532759333373649]","[0.004692153992745602, 0.008114827444763608, 0.006107304903821554, 0.06532759333373649, 1.0000000000000009]","[False, False, True]","[True, False, True, True]",False,False,4.0,-109.0,94.6079630193287,-250.0,-118.0,-69.0,-60.0,-48.0,3.0,67.33333333333333,104.33280085061138,-10.0,8.0,26.0,106.0,186.0,0,0,0,0,0.10116269659212851
gas turbine-electric locomotive;north america;united states;american popular music,gas turbine-electric locomotive,bohemian rhapsody,3,4,0,3,0,0,1,0,2,"[0.021256918979384934, 0.3308730019703287, 0.14444065992290775]","[0.015155302708544713, 0.05713603363415369, 0.14444065992290775, 1.0000000000000009]","[True, False]","[True, True, True]",False,True,3.0,-780.0,734.94965813993,-1626.0,-1020.5,-415.0,-357.0,-299.0,2.0,58.0,1794.6370106514576,-1211.0,-576.5,58.0,692.5,1327.0,1,0,0,1,0.12442686035446703
medieval music;middle ages;mediterranean sea;red sea,medieval music,soil moisture,3,4,0,1,0,1,1,1,3,"[0.19966906656600142, 0.0899697664163443, 0.3775651029488926]","[0.01660898151314695, 0.0359104681360256, 0.3775651029488926, 1.0000000000000016]","[False, True]","[True, True, True]",False,True,3.0,-212.0,83.14445261110329,-261.0,-260.0,-259.0,-187.5,-116.0,2.0,72.5,99.7020561473032,2.0,37.25,72.5,107.75,143.0,0,0,0,0,0.12444105090668235
silent film;paris;spain;mexico,silent film,avocado,3,4,0,2,1,1,0,0,3,"[0.03718352576356319, 0.08249356667602066, 0.18474675963371232]","[0.030586271439995028, 0.08486900476430255, 0.18474675963371232, 1.0000000000000029]","[True, True]","[True, True, True]",True,True,3.0,-441.6666666666667,181.02301879411172,-649.0,-505.0,-361.0,-338.0,-315.0,2.0,-23.0,439.8204178980326,-334.0,-178.5,-23.0,132.5,288.0,1,0,0,1,0.1239531281009108
hampshire;agriculture;barley;bread,hampshire,basil,3,4,0,0,1,0,2,1,2,"[0.05105383597655917, 0.1398848825359807, 0.06207252143556209]","[0.008734200589432079, 0.05533587765860395, 0.06207252143556209, 1.0000000000000007]","[True, False]","[True, True, True]",False,True,3.0,-141.0,129.7227813454522,-289.0,-188.0,-87.0,-67.0,-47.0,2.0,121.0,114.5512985522207,40.0,80.5,121.0,161.5,202.0,0,1,0,0,0.12413902990283801
enzyme kinetics;oxygen;sweden;english language;england;wales;snowdonia,enzyme kinetics,snowdonia,6,4,1,4,1,1,0,1,5,"[0.03737481828358975, 0.02046470109337179, 0.06683066617651523, 0.24744514090634143, 0.28208484305084214, 0.25532904104811777]","[0.0034704386951510823, 0.006715487859013469, 0.024847472310288186, 0.02380532739999392, 0.09112131549473104, 0.25532904104811777, 1.0000000000000002]","[False, True, True, True, False]","[True, True, False, True, True, True]",False,False,6.0,-415.0,304.51535265073255,-867.0,-603.5,-329.5,-240.75,-58.0,5.0,31.2,365.064651808416,-371.0,-175.0,-107.0,280.0,529.0,1,0,0,1,0.06264050413241626
aleksandr pushkin;romanticism;roman catholic church;pope benedict xvi;pope john paul ii;nobel peace prize;mother teresa,aleksandr pushkin,mother teresa,6,4,1,0,1,0,4,2,5,"[0.06392056412526562, 0.04052144969013247, 0.33874139507599044, 0.5729274800157376, 0.07485563588446445, 0.12454871662278096]","[0.018981883602892206, 0.01571023288486774, 0.08417123082445824, 0.07057058340289875, 0.093815743000318, 0.12454871662278096, 0.9999999999999994]","[False, True, True, False, True]","[False, True, False, True, True, True]",False,False,6.0,-126.33333333333331,84.68451255493336,-286.0,-140.0,-92.0,-77.75,-59.0,5.0,5.4,155.7764423781722,-200.0,-56.0,-23.0,95.0,211.0,0,1,0,0,0.06263816059106701
henry iii of england;westminster abbey;london;england,henry iii of england,computer programming,3,4,0,2,1,0,0,1,3,"[0.3421021625624872, 0.12398551933276088, 0.2820032973974934]","[0.18478522531625144, 0.14024201984621182, 0.2820032973974934, 1.0000000000000024]","[False, True]","[False, True, True]",False,False,3.0,-526.0,392.4550929724317,-851.0,-744.0,-637.0,-363.5,-90.0,2.0,-380.5,235.46655813512032,-547.0,-463.75,-380.5,-297.25,-214.0,1,0,0,1,0.15866664021734023
battle of the somme (1916);north sea;england;english language,battle of the somme (1916),nineteen eighty-four,3,4,0,1,0,1,1,1,2,"[0.047201151841640816, 0.09248809369323577, 0.24744514090634143]","[0.057297587902265745, 0.06488994123009709, 0.24744514090634143, 1.0000000000000016]","[True, True]","[True, True, True]",True,True,3.0,-539.0,397.5059747978638,-769.0,-768.5,-768.0,-424.0,-80.0,2.0,-344.0,487.9036790187178,-689.0,-516.5,-344.0,-171.5,1.0,0,0,0,0,0.158359831398257
black pepper;india;united states;computer;gnome;fedora core,black pepper,fedora core,5,4,1,3,1,0,1,1,4,"[0.08541393767124927, 0.18182773917822515, 0.036229024125313446, 0.06909211725214935, 0.12048122624604327]","[0.003114607840132388, 0.005851631902003377, 0.010094560442867977, 0.03281603042914796, 0.12048122624604327, 0.999999999999999]","[True, False, True, True]","[True, True, True, True, True]",False,True,5.0,-544.4,661.1772077136354,-1630.0,-654.0,-379.0,-45.0,-14.0,4.0,160.0,917.9132130363232,-976.0,-220.75,182.5,563.25,1251.0,1,0,0,1,0.05157239272130471
tottenham hotspur f.c.;england;commonwealth games;nigeria;africa;democratic republic of the congo;congo river,tottenham hotspur f.c.,mount nyiragongo,6,4,0,2,1,1,2,1,4,"[0.27642083580483306, 0.12655289135233314, 0.07019491799548683, 0.19221877787931166, 0.3047082622617351, 0.5258928440870888]","[0.012605536042396712, 0.033074085336031386, 0.012893746633248515, 0.04207918456969735, 0.18666267898795794, 0.5258928440870888, 0.9999999999999986]","[False, False, True, True, True]","[True, False, True, True, True, True]",False,False,6.0,-360.8333333333333,239.52237195440983,-762.0,-478.75,-252.0,-194.75,-169.0,5.0,118.6,333.62149211344286,-327.0,-27.0,120.0,253.0,574.0,0,0,0,0,0.051604468606608916
muhammad;princeton university;united states;gulf of mexico;tropical cyclone;2005 atlantic hurricane season;2004 atlantic hurricane season,muhammad,2004 atlantic hurricane season,6,4,1,5,1,1,0,0,6,"[0.020927919765213878, 0.07277817506504917, 0.14291890284617878, 0.13033729932915109, 0.5154034119301875, 0.7234551880720129]","[0.007055884307724978, 0.012412067402602556, 0.08328630036539388, 0.144395375800678, 0.5621165691013824, 0.7234551880720129, 0.9999999999999991]","[True, True, False, True, True]","[True, True, True, True, True, True]",False,True,6.0,-383.3333333333333,599.173653181335,-1587.0,-293.0,-113.5,-78.75,-66.0,5.0,-0.6,986.9905268035756,-1521.0,11.0,39.0,232.0,1236.0,1,0,0,1,0.05359207954540085
"classic female blues;piano;boston, massachusetts;united states;september 11, 2001 attacks;george w. bush;condoleezza rice",classic female blues,condoleezza rice,6,4,1,0,0,2,3,2,5,"[0.023745052077944098, 0.013480982499560505, 0.12582756877039272, 0.24103640312636945, 0.15674831025923833, 0.23240184998267846]","[0.019322291938852286, 0.017056594256374912, 0.05156058213512427, 0.1680709436617774, 0.11147527879291846, 0.23240184998267846, 0.9999999999999988]","[False, True, True, False, True]","[False, True, True, False, True, True]",False,False,6.0,-398.5,589.0292861989121,-1581.0,-313.0,-145.5,-105.5,-58.0,5.0,-7.8,953.1787345508712,-1450.0,-73.0,63.0,204.0,1217.0,0,0,0,0,0.0536070622362849
space shuttle challenger disaster;ronald reagan;united nations;germany;johann sebastian bach;johann pachelbel,space shuttle challenger disaster,johann pachelbel,5,4,1,3,0,0,1,2,4,"[0.061280932224116645, 0.07070601763629439, 0.15151061769638646, 0.06446648163923295, 0.2114569789138035]","[0.006444000863505626, 0.007226134316560117, 0.013164099038952493, 0.032910775589719415, 0.2114569789138035, 0.999999999999998]","[True, True, False, True]","[True, True, True, True, True]",False,True,5.0,-314.2,337.64285865393333,-854.0,-418.0,-197.0,-79.0,-23.0,4.0,14.0,505.35729934374154,-436.0,-363.25,-82.5,294.75,657.0,1,0,0,1,0.07227001625317588
"the hobbit;united states;u.s. state;hurricane katrina;levee failures in greater new orleans, 2005",the hobbit,"levee failures in greater new orleans, 2005",4,4,1,2,2,1,0,0,3,"[0.030548403251299757, 0.44841659139115103, 0.15831554544541054, 0.4109710121674749]","[0.010107635573286257, 0.059847165040993335, 0.060184280642974944, 0.4109710121674749, 1.0000000000000007]","[True, False, True]","[True, True, True, True]",False,True,4.0,-523.0,715.1559270536741,-1575.0,-670.5,-231.0,-83.5,-55.0,3.0,506.6666666666667,617.2206520632093,38.0,157.0,276.0,741.0,1206.0,0,0,0,0,0.07228536415202196
immanuel kant;empiricism;science;chemistry;metal;aluminium;aluminium chloride,immanuel kant,aluminium chloride,6,4,1,5,0,0,2,0,5,"[0.10402447512138552, 0.1784894269356966, 0.12308299063279333, 0.14215753138960333, 0.1534198254861176, 0.46528868912911053]","[0.0055014199378828135, 0.010143388796339218, 0.016691598112808313, 0.09498118733567429, 0.07414745129536199, 0.46528868912911053, 1.0000000000000018]","[True, False, True, True, True]","[True, True, True, False, True, True]",False,False,6.0,-118.5,41.176449579826574,-155.0,-149.5,-133.5,-93.5,-54.0,5.0,-6.2,61.84415898045667,-96.0,-36.0,7.0,31.0,63.0,1,0,0,1,0.06356356302701749
dog;dna;information;computer science;abacus;arithmetic;number,dog,elementary algebra,6,4,0,0,3,2,1,1,2,"[0.03573550114028733, 0.06780168622830621, 0.13408325747160144, 0.03844222948640018, 0.11705472531072085, 0.3050593144300806]","[0.016883019244985895, 0.02014856785162609, 0.048786004622116956, 0.053818432168815974, 0.08168091365214493, 0.3050593144300806, 1.0000000000000007]","[True, True, False, True, True]","[True, True, True, True, True, True]",False,True,6.0,-54.0,43.753856972842975,-137.0,-57.0,-42.5,-25.0,-21.0,5.0,23.2,34.86688973797347,-4.0,0.0,7.0,33.0,80.0,0,0,0,0,0.06356376376492799
jehovah;pentateuch;christianity;jesus;god;sigmund freud,jehovah,ebony,5,4,0,3,1,1,0,1,3,"[0.08467181903203759, 0.05987866230026201, 0.4779450275366776, 0.16878496972083445, 0.03771611918950666]","[0.008759450219448194, 0.0170025126451561, 0.025600794579734843, 0.017570356061696275, 0.03771611918950666, 1.0000000000000022]","[False, True, False, False]","[True, True, False, True, True]",False,False,5.0,-151.6,129.33986237815472,-343.0,-183.0,-163.0,-64.0,-5.0,4.0,-14.75,231.18156645084545,-338.0,-99.5,49.5,134.25,180.0,1,0,0,1,0.07819480863915965
roentgenium;germany;united states;president of the united states;james monroe,roentgenium,james monroe,4,4,1,0,2,1,2,0,5,"[0.04358595622286887, 0.2733093299477454, 0.3235514638662403, 0.20187859608089465]","[0.0076619119646995386, 0.04893955849076778, 0.12169290918743639, 0.20187859608089465, 1.000000000000002]","[True, True, False]","[True, True, True, True]",False,True,4.0,-748.75,704.8774716218416,-1718.0,-995.75,-605.0,-358.0,-67.0,3.0,229.33333333333337,1121.450102917349,-963.0,-287.5,388.0,825.5,1263.0,0,0,0,0,0.07818945332312831
crusades;christianity;north korea;united states;space shuttle columbia;space shuttle challenger,crusades,space shuttle challenger,5,4,1,3,2,1,0,0,3,"[0.11732344401426989, 0.04735000761681621, 0.18710276643926474, 0.0875894718363388, 0.5625872782943457]","[0.004757909026258022, 0.004653493300902524, 0.013021555164440732, 0.04709878357448649, 0.5625872782943457, 0.9999999999999984]","[False, True, False, True]","[False, True, True, True, True]",False,False,5.0,-485.0,629.8956262747027,-1582.0,-392.0,-303.0,-119.0,-29.0,4.0,90.75,1139.1331133805215,-1463.0,-161.0,273.5,525.25,1279.0,1,0,0,1,0.060907579199871095
rotterdam;europe;africa;rainforest;monkey;ape,rotterdam,ape,5,4,1,2,1,0,0,3,3,"[0.0502403031819071, 0.20733258691597292, 0.04902896481731065, 0.04101066055407559, 0.34823386954139013]","[0.006472480541380884, 0.025584530368984972, 0.046963490108614475, 0.03294589079077219, 0.34823386954139013, 1.0000000000000002]","[True, False, False, True]","[True, True, False, True, True]",False,False,5.0,-384.8,404.0813037001342,-961.0,-634.0,-255.0,-48.0,-26.0,4.0,233.75,158.47896811038785,22.0,160.75,267.0,340.0,379.0,0,0,1,0,0.060889608162991285
extraterrestrial life;silicon;world war ii;united states;great lakes;lake superior,extraterrestrial life,lake superior,5,4,1,3,0,1,0,2,5,"[0.06994402381745829, 0.01110519421027568, 0.24978762959933554, 0.13497733312301355, 0.4270621411226225]","[0.02145368000254527, 0.005612909010246418, 0.02728086650509716, 0.05667237802404371, 0.4270621411226225, 1.0000000000000002]","[False, True, False, True]","[False, True, True, True, True]",False,False,5.0,-589.0,671.225744440721,-1668.0,-792.0,-338.0,-107.0,-40.0,4.0,16.75,1015.4116981139556,-876.0,-732.75,-193.5,556.0,1330.0,1,0,0,1,0.061377918175966495
acceleration;physics;science;computer science;internet;world wide web;mozilla firefox,acceleration,mozilla firefox,6,4,1,0,3,3,1,0,3,"[0.12254142745771084, 0.2001297939734238, 0.29577111884041113, 0.09915001996411385, 0.3934715901446399, 0.08234608458590956]","[0.004867863546657899, 0.005701250122925606, 0.00912365322845267, 0.015770911940153676, 0.06831726368593807, 0.08234608458590956, 0.9999999999999972]","[True, True, False, True, False]","[True, True, True, True, True, True]",False,True,6.0,-112.0,75.36312095448277,-240.0,-135.25,-105.5,-58.5,-33.0,5.0,20.0,107.78914602129474,-107.0,-58.0,19.0,84.0,162.0,0,0,0,0,0.06137585481949875
sperm whale;sound;music;physics;electric charge;electricity;alexander graham bell;electrical resistance;semiconductor;semiconductor device,sperm whale,semiconductor device,9,4,1,6,2,1,1,0,5,"[0.017628614288633465, 0.06581091050574377, 0.045716956820261605, 0.14454370019374987, 0.6038136966166836, 0.040437354949637475, 0.027086822335747017, 0.4373543605884494, 0.45572163115595227]","[0.00929600260019603, 0.017311387178118177, 0.017500317436422306, 0.07337033972541755, 0.0905448286285408, 0.0932043731427896, 0.07340559495920676, 0.1556434092612364, 0.45572163115595227, 1.0000000000000007]","[True, False, True, True, False, False, True, True]","[True, True, True, True, True, False, True, True, True]",False,False,9.0,-82.11111111111111,50.748015834228546,-150.0,-132.0,-56.0,-44.0,-20.0,8.0,4.5,42.87190222045203,-48.0,-13.0,2.0,17.5,88.0,1,0,0,1,0.030420867107739075
caesar cipher;alphabet;science;chemistry;biology;eukaryote;photosynthesis;sugar;chocolate;vanilla,caesar cipher,vanilla,9,4,1,1,5,1,1,2,5,"[0.14262447562864553, 0.03479385623030182, 0.12308299063279333, 0.11061511354241237, 0.1705900971550771, 0.11562025938259583, 0.09218734546468235, 0.05238158811336449, 0.0441772089521804]","[0.005950820093088905, 0.0059928925479951, 0.01764740180754276, 0.020741039711100567, 0.012422915682697896, 0.013057579659457516, 0.0156983606979389, 0.02521526780478982, 0.0441772089521804, 1.0000000000000009]","[False, True, False, True, False, False, False, False]","[True, True, True, False, True, True, True, True, True]",False,False,9.0,-85.55555555555556,42.11920913048793,-147.0,-119.0,-75.0,-59.0,-26.0,8.0,-1.5,57.482916716931776,-121.0,-20.75,22.0,32.25,57.0,0,0,0,0,0.030416322639054836
"pokémon trading card game;nintendo;united states;u.s. state;louisville, kentucky",pokémon trading card game,mammoth cave national park,4,4,0,4,1,0,0,0,3,"[0.18802238793039688, 0.04247205171286558, 0.44841659139115103, 0.08458378264572021]","[0.01282433652102234, 0.01068887093517921, 0.08554215034968814, 0.08458378264572021, 0.9999999999999998]","[False, True, False]","[False, True, False, True]",False,False,4.0,-511.25,731.2730338252601,-1584.0,-672.75,-214.0,-52.5,-33.0,3.0,-8.666666666666666,1410.2660505498009,-1551.0,-620.5,310.0,762.5,1215.0,1,0,0,1,0.07789115599633162
vampire;folklore;game;art;sculpture;sand art and play,vampire,sand art and play,5,4,1,0,1,1,4,0,2,"[0.09941480509124291, 0.01845997447635858, 0.06170797821370913, 0.21621763191011878, 0.14999239650495702]","[0.009650136418058588, 0.006351712982325509, 0.01958836159107672, 0.052579222036017836, 0.14999239650495702, 0.9999999999999996]","[False, True, True, False]","[False, True, True, True, True]",False,False,5.0,-80.8,49.826699669956064,-138.0,-117.0,-90.0,-30.0,-29.0,4.0,15.0,87.00957801682908,-109.0,-11.5,41.0,67.5,87.0,0,1,0,0,0.07787933133324569
