path,source_article,target_article,human_path_length,shortest_path_length,is_successful,top,center_top,center,center_bottom,bottom,count_images,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,used_top,used_center_bottom,used_bottom,treatment_used_top,prop_scores_used_top
ptolemy;atlantic ocean;tropical cyclone;2005 atlantic hurricane season;2004 atlantic hurricane season;hurricane alex (2004),ptolemy,hurricane alex (2004),5,4,1,0,2,1,1,2,3,"[0.029553179198895302, 0.18221142015538325, 0.5154034119301875, 0.7234551880720129, 0.5471435574853433]","[0.006658971403871082, 0.09396156900650042, 0.3144041547921624, 0.5432716954485818, 0.5471435574853433, 1.0000000000000004]","[True, True, True, False]","[True, True, True, True, True]",False,True,5.0,-142.8,101.082639459009,-274.0,-223.0,-108.0,-69.0,-40.0,4.0,58.5,38.72552990814544,29.0,36.5,45.0,67.0,115.0,0,0,0,0,0.07866268542431483
athens;athena;zeus;jupiter (mythology),athens,pleiades (star cluster),3,4,0,2,1,1,0,0,2,"[0.1161929979399396, 0.22794662516632377, 0.10862085061788165]","[0.018166488939888786, 0.03324587377857104, 0.10862085061788165, 1.0000000000000002]","[True, False]","[True, True, True]",False,True,3.0,-67.33333333333333,35.92121007612819,-107.0,-82.5,-58.0,-47.5,-37.0,2.0,35.0,19.79898987322333,21.0,28.0,35.0,42.0,49.0,1,0,0,1,0.12999126938438885
civil society;culture;ancient greece;wine,civil society,humus,3,4,0,1,1,1,1,0,3,"[0.11613206231197963, 0.07019188553703347, 0.04559859576713071]","[0.011575522099935053, 0.03494686357859791, 0.04559859576713071, 0.9999999999999987]","[False, False]","[True, True, True]",False,True,3.0,-151.33333333333334,58.70547958524258,-219.0,-170.0,-121.0,-117.5,-114.0,2.0,-3.5,143.54267658086914,-105.0,-54.25,-3.5,47.25,98.0,0,0,0,0,0.1299771457757569
suez canal;mediterranean sea;atlantic ocean;ocean;fish;whale shark;shark;cookiecutter shark,suez canal,cookiecutter shark,7,4,1,5,0,0,1,2,3,"[0.16142064029538924, 0.23570762949130383, 0.38150928545766527, 0.0453721799894227, 0.14220433716838257, 0.6094239201003544, 0.5434000438324732]","[0.00466097832159041, 0.011425966850680052, 0.039075993019205384, 0.04718459462365445, 0.14675905511612095, 0.4980569621541615, 0.5434000438324732, 0.9999999999999994]","[True, True, False, True, True, False]","[True, True, True, True, True, True, True]",False,True,7.0,-146.71428571428572,108.95521141844522,-309.0,-207.0,-187.0,-50.0,-17.0,6.0,29.666666666666668,97.45905123007644,-94.0,-31.5,19.0,89.0,170.0,1,0,0,1,0.04527176042736025
batman;crime;economics;biodiversity;life;animal;magellanic penguin;penguin,batman,penguin,7,4,1,1,2,2,2,1,3,"[0.0256350094272862, 0.07704227624327435, 0.048011073186522965, 0.12461264449018716, 0.09214194797109078, 0.07872448071975671, 0.5825133044282735]","[0.007088993013483342, 0.009804816981880593, 0.008966700888335715, 0.04760170477835098, 0.021689742349997425, 0.05207176382802601, 0.5825133044282735, 1.000000000000002]","[True, False, True, False, False, True]","[True, False, True, False, True, True, True]",False,False,7.0,-133.28571428571428,167.78827361262395,-505.0,-111.5,-93.0,-40.5,-31.0,6.0,0.8333333333333334,283.7219883383498,-412.0,-64.75,-2.0,24.0,474.0,0,0,0,0,0.04527628096128828
hirohito;europe;norway;viking;nazi germany;germany,hirohito,svartálfar,5,4,0,3,1,0,0,2,4,"[0.033805234373102275, 0.1791268735749762, 0.07927414118969268, 0.03195902877981312, 0.36800209957239244]","[0.07500267201208233, 0.28022349835787147, 0.15614089186541555, 0.05818928743667624, 0.36800209957239244, 1.0000000000000009]","[True, False, False, True]","[True, False, False, True, True]",False,False,5.0,-491.6,363.3556109378249,-957.0,-788.0,-375.0,-200.0,-138.0,4.0,42.25,495.76229182946133,-588.0,-193.5,87.5,323.25,582.0,1,0,0,1,0.06417023045247583
president of the united states;boeing 747;james bond;volcano;magnesium;periodic table;fluorine,president of the united states,fluorine,6,4,1,2,2,1,2,0,4,"[0.039429504978329775, 0.020774742867768158, 0.01233122364102384, 0.03370381525586553, 0.08071617948126895, 0.14719248885515399]","[0.00771295791369798, 0.007790673487726251, 0.006206698818755625, 0.033512666480370774, 0.06870826467959809, 0.14719248885515399, 1.000000000000002]","[False, False, True, True, True]","[True, False, True, True, True, True]",False,False,6.0,-123.33333333333331,47.8817989080054,-163.0,-157.5,-145.5,-90.75,-52.0,5.0,-17.2,54.751255693362864,-111.0,-10.0,-9.0,22.0,22.0,0,0,0,0,0.0641713531700477
soil ph;soil salination;irrigation;mesopotamia;babylonia;pythagorean theorem;algebra;elementary algebra,soil ph,elementary algebra,7,4,1,4,0,1,1,2,1,"[0.2478162190444417, 0.2513400034609567, 0.046130043044990465, 0.3836513777022074, 0.050319204139114046, 0.08093658975988018, 0.4127363337435412]","[0.03580845643619667, 0.011077549463605141, 0.012878964849894614, 0.016490099745375117, 0.014407687942269796, 0.06216516581415222, 0.4127363337435412, 0.9999999999999988]","[True, False, True, False, True, True]","[False, True, True, False, True, True, True]",False,False,7.0,-53.42857142857143,35.47232321522956,-112.0,-75.0,-34.0,-28.5,-21.0,6.0,1.0,40.43266006584281,-53.0,-25.0,4.5,19.0,61.0,1,0,0,1,0.05030768174314709
australian green tree frog;england;british empire;africa;egypt;egyptian pyramids;pyramid,australian green tree frog,pyramid,6,4,1,2,0,2,2,1,4,"[0.023000737569721975, 0.2394202431294305, 0.21601621737258866, 0.17927428689388406, 0.11889507283226737, 0.781258894546546]","[0.004897494098712796, 0.023862272736384253, 0.01803197770889727, 0.03204347523912091, 0.14021050119287728, 0.781258894546546, 1.0000000000000022]","[True, False, False, False, True]","[True, False, True, True, True, True]",False,False,6.0,-391.8333333333333,306.0669316778058,-771.0,-596.0,-442.0,-133.5,-18.0,5.0,150.6,329.6616447207652,-292.0,32.0,56.0,459.0,498.0,0,0,0,0,0.05028705598551073
batman;chemistry;ice;soil,batman,banana,3,4,0,2,1,1,0,0,3,"[0.009190633617316353, 0.06358889916656227, 0.03363986397331706]","[0.005340370687588791, 0.06122153157578148, 0.03363986397331706, 1.0000000000000004]","[True, False]","[True, False, True]",False,False,3.0,-87.0,2.0,-89.0,-88.0,-87.0,-86.0,-85.0,2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0,0,1,0.13051117831912884
