,path,source_article,target_article,human_path_length,shortest_path_length,is_successful,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing
15491,Republic_of_Macedonia;Time_zone;Telecommunication;Bluetooth;Linux;Open_source,Republic_of_Macedonia,Open_source,5,3,1,"[0.02975372832647145, 0.0415400198329056, 0.11498492122727079, 0.038348927452021286, 0.15516770404242117]","[0.021099938390350396, 0.017012860001514002, 0.07857028447242907, 0.02484500926935939, 0.15516770404242117, 0.9999999999999988]","[True, True, False, True]","[False, True, False, True, True]",False,False
15672,San_Diegan;United_States;Atlantic_Ocean;Indian_Ocean;Australia;Christmas_Island,San_Diegan,Christmas_Island,5,3,1,"[0.05477284005790191, 0.1937470081230291, 0.4234682297475014, 0.16439992024477332, 0.29529564526929364]","[0.019813095045354345, 0.12058325244191789, 0.07666907243336092, 0.11300112834758105, 0.29529564526929364, 1.0000000000000002]","[True, True, False, True]","[True, False, True, True, True]",False,False
13131,Floppy_disk;Solar_eclipse;Deluge_%28mythology%29;Deity;Christianity;Last_Supper,Floppy_disk,Last_Supper,5,3,1,"[0.04357336507734433, 0.030125633915019344, 0.11904830688924067, 0.14368179607350276, 0.34530291405632113]","[0.005858903553675156, 0.005674754456368062, 0.028488327686026355, 0.05261801073375224, 0.34530291405632113, 1.0000000000000004]","[False, True, True, True]","[False, True, True, True, True]",False,False
12524,Commodore_64;United_States;China;Sun_Yat-sen;Communism;Mao_Zedong,Commodore_64,Mao_Zedong,5,3,1,"[0.028405141910683062, 0.13939169431433518, 0.31432026333894725, 0.06918150535836738, 0.16884078294424762]","[0.00803553433035438, 0.05737137373549185, 0.16168372624366778, 0.10350396602672998, 0.16884078294424762, 0.9999999999999991]","[True, True, False, True]","[True, True, False, True, True]",False,False
17800,Asteroid;Trojan_War;Bronze_Age;Iron_Age;Scotland;North_Sea,Asteroid,Viking,5,3,0,"[0.020409060568606703, 0.05539436586029423, 0.36276462567216466, 0.05957658872196577, 0.09246466686013512]","[0.01715817722390835, 0.018981423489719665, 0.03621823154601088, 0.03410454501152236, 0.09246466686013512, 0.9999999999999997]","[True, True, False, True]","[True, True, False, True, True]",False,False
16579,Theatre;United_States;Atlantic_Ocean;Africa;Lion;Zebra,Theatre,Zebra,5,3,1,"[0.043582039636561404, 0.1937470081230291, 0.1427463457463413, 0.08824656998322776, 0.049161085266737646]","[0.003615741833142461, 0.016189258083425456, 0.008264853865379994, 0.029718491766621884, 0.049161085266737646, 0.9999999999999984]","[True, False, False, False]","[True, False, True, True, True]",False,False
16599,Theatre;Dance;Animal;Mammal;Lion;Zebra,Theatre,Zebra,5,3,1,"[0.1309595713347672, 0.013040777138701852, 0.0724197183196405, 0.06584703656220749, 0.049161085266737646]","[0.003615741833142461, 0.002698358304444707, 0.014429096082751143, 0.02639381305403988, 0.049161085266737646, 0.9999999999999984]","[False, True, False, False]","[False, True, True, True, True]",False,False
14619,Morecambe_Bay;United_Kingdom;Bermuda;United_States;Mexico;Salsa_music,Morecambe_Bay,Salsa_music,5,3,1,"[0.051366120036831914, 0.12914617004413348, 0.1472007299611496, 0.30149003094917387, 0.04924214829516053]","[0.003385116072518939, 0.02765402320660881, 0.014214378448181788, 0.057556186181733464, 0.04924214829516053, 0.999999999999995]","[True, True, True, False]","[True, False, True, False, True]",False,False
16743,Trade_union;California;Mexico;United_States;U.S._state;Houston%2C_Texas,Trade_union,"Houston, Texas",5,3,1,"[0.046195055572376326, 0.19667581423781605, 0.30149003094917387, 0.44841659139115103, 0.10704878406000885]","[0.021970876273302135, 0.06285187406519584, 0.08308574979047252, 0.1218780272250606, 0.10704878406000885, 0.9999999999999982]","[True, True, True, False]","[True, True, True, False, True]",False,False
12640,Cross_Fell;Lake_District;Granite;Precambrian;History_of_Earth;Dinosaur,Cross_Fell,Dinosaur,5,3,1,"[0.15764725181233158, 0.028300246589985794, 0.034549044760620644, 0.14448460253892795, 0.12958597063352392]","[0.014938639223406325, 0.028482073866179083, 0.013583391584531791, 0.035337510290765685, 0.12958597063352392, 0.9999999999999966]","[False, True, True, False]","[True, False, True, True, True]",False,False
19994,Cataract;Lens_%28anatomy%29;Retina;Action_potential;Capacitance;Electrical_resistance,Cataract,Manifest_Destiny,5,3,0,"[0.44532360217199884, 0.07711556179070704, 0.10058915718415908, 0.08393535819130242, 0.10382502357490998]","[0.00969764698671318, 0.015370818975682696, 0.016416792438632404, 0.13213009177787077, 0.10382502357490998, 1.0000000000000016]","[False, True, False, True]","[True, True, True, False, True]",False,False
10216,Tin%28II%29_chloride;Crystal;Glass;Stone_Age;Dinosaur;Jurassic,Tin(II) chloride,Jurassic,5,3,1,"[0.05222293428155941, 0.10264979312898816, 0.0323567058000663, 0.08275865418632428, 0.17290682601130922]","[0.0027372514669146072, 0.007266917818292594, 0.006281906216404419, 0.04259834046062391, 0.17290682601130922, 0.9999999999999991]","[True, False, True, True]","[True, False, True, True, True]",False,False
19346,Morocco;5th_century;17th_century;Isaac_Newton;Quantum_mechanics;Special_relativity,Morocco,Luminiferous_aether,5,3,0,"[0.0172650127745452, 0.3913341986586261, 0.09083215079728629, 0.057732141412582726, 0.144542719436025]","[0.008166226972437745, 0.0023854293229754156, 0.007983650661221997, 0.08024503609413204, 0.144542719436025, 1.0000000000000009]","[True, False, False, True]","[False, True, True, True, True]",False,False
11876,Basilica_of_Santa_Maria_degli_Angeli;Francis_of_Assisi;Germany;United_States;Abraham_Lincoln;President_of_the_United_States,Basilica_of_Santa_Maria_degli_Angeli,President_of_the_United_States,5,3,1,"[0.43280970946307634, 0.02619191138140827, 0.2733093299477454, 0.12059845833811413, 0.15765720986383022]","[0.010011924658420832, 0.015821606807681056, 0.11231467337267032, 0.3235514638662403, 0.15765720986383022, 1.0000000000000016]","[False, True, False, True]","[True, True, True, False, True]",False,False
