,link,#_clicks_norm,in_image
381,atom,524.0,0
382,atonality,20.0,0
383,attack on pearl harbor,194.0,0
384,attalus i,22.0,0
385,attention-deficit hyperactivity disorder,42.0,0
386,attila the hun,42.0,0
387,auckland,10.0,1
388,"augusta, lady gregory",4.0,0
389,augustan literature,12.0,0
390,auguste rodin,16.0,0
391,augustine of hippo,46.0,0
392,augustus,4.26,1
393,australia,195.58,1
394,australian english,58.0,0
395,australian green tree frog,116.0,0
396,australian open,21.27,1
397,australian ringneck,0.0,0
398,australian constitutional law,0.0,0
399,australian rules football,5.54,1
400,austria,70.24,1
401,autism,64.0,0
402,auto racing,7.2,1
403,autobianchi primula,0.0,0
404,autocracy,48.0,0
405,automated teller machine,4.0,0
406,automatic number plate recognition,0.0,0
407,automobile,12.97,1
408,autorack,22.0,0
409,autostereogram,0.0,0
410,autumn,66.0,0
411,avacha volcano,22.0,0
412,avalanche,76.0,0
413,avatar  the last airbender,0.0,0
414,avocado,34.0,0
415,avon gorge,20.0,0
416,avro lancaster,4.0,0
417,axe,38.0,1
418,ayaan hirsi ali,22.0,0
419,aye-aye,0.0,0
420,"aymer de valence, 2nd earl of pembroke",2.0,0
421,azerbaijan,11.58,1
422,azerbaijani people,32.0,0
423,aztec,160.0,0
424,bae systems,2.67,1
425,basic,48.0,0
426,bbc,1.79,1
427,bbc television drama,12.0,0
428,bp,20.0,0
429,bt tower,8.0,0
430,b vitamins,64.0,0
431,babe ruth,5.78,1
432,baboon,52.0,0
433,babur,30.0,0
434,baby gender mentor,2.0,0
435,babylonia,100.0,0
436,backgammon,46.0,0
437,bacteria,7.48,1
438,baden-powell house,0.0,0
439,badger,30.0,0
440,badminton,30.0,0
441,badugi,0.0,0
442,baghdad,6.67,1
443,bahá'í faith,0.9,1
444,bahamas,0.0,1
445,bahrain,2.77,1
446,baker island,21.0,1
447,bald eagle,318.0,0
448,baltic sea,26.13,1
449,"baltimore, maryland",3.75,1
450,bamako,0.0,1
451,banana,348.0,0
452,bandicoot,18.0,0
453,bangalore,20.0,0
454,bangkok,14.74,1
455,bangladesh,12.22,1
456,banjul,120.0,1
457,bank of china (hong kong),4.0,0
458,banknote,56.0,0
459,banksy,6.0,0
460,bantu,0.97,1
461,barack obama,64.0,1
462,barbados,10.25,1
463,barbara mcclintock,26.0,0
464,barbary lion,20.0,0
465,barbary macaque,10.0,0
466,barcelona,29.33,1
467,barium,10.67,1
468,barley,148.0,0
469,barn owl,42.0,1
470,barnacle,32.0,0
471,baroque,74.0,0
472,barracuda,32.0,0
473,baruch spinoza,24.0,0
474,baseball,5.12,1
475,basel,5.5,1
476,basil,38.0,0
477,basil brush,0.0,0
478,basilica of san francesco d'assisi,0.0,1
479,basilica of santa maria degli angeli,18.0,0
480,basketball,2.89,1
481,basking shark,110.0,0
482,bass (fish),4.0,0
483,basset hound,0.0,0
484,bassoon,8.0,1
485,bat,186.0,0
486,bat-eared fox,38.0,0
487,"bath, somerset",8.0,0
488,bath school disaster,8.0,0
489,batholith,26.0,0
490,batman,64.71,1
491,battle of alesia,44.0,0
492,battle of amiens,34.0,0
493,battle of austerlitz,14.0,1
494,battle of badr,20.0,0
495,battle of bicocca,10.0,0
496,battle of britain,86.0,0
497,battle of cannae,24.0,1
498,battle of france,3.0,1
499,battle of gettysburg,62.0,0
500,battle of grunwald,12.0,0
501,battle of hastings,50.0,0
502,battle of jutland,22.0,0
503,battle of lechaeum,18.0,0
504,battle of leyte gulf,26.0,0
505,battle of marathon,40.0,0
506,battle of midway,70.0,0
507,battle of moscow,56.0,0
508,battle of normandy,12.0,1
509,battle of rennell island,16.0,0
510,battle of sitka,4.0,0
511,battle of smolensk (1943),0.0,0
512,battle of stalingrad,76.0,0
513,battle of tours,26.0,0
514,battle of vaslui,16.0,0
515,battle of warsaw (1920),8.0,0
516,battle of the bulge,44.0,0
517,battle of the eastern solomons,10.0,0
518,battle of the little bighorn,6.0,0
519,battle of the santa cruz islands,32.0,0
520,battle of the somme (1916),18.0,0
521,battles of the mexican-american war,2.0,0
522,bay area rapid transit,34.0,0
523,bay of bengal,3.15,1
524,beach,68.0,0
525,bean,1060.0,0
526,bear,5.33,1
527,beatles for sale,28.0,1
528,beaver,92.0,0
529,bedbug,30.0,0
530,bede,24.0,0
531,bee,204.0,0
532,beeching axe,18.0,0
533,beekeeping,58.0,0
534,beep (swblw),2.0,0
535,beer,8.61,1
536,beet,32.0,0
537,beetle,124.0,0
538,behavioral finance,24.0,0
539,behistun inscription,10.0,0
540,beijing,27.75,1
541,beirut,9.14,1
542,belarus,9.33,1
543,belfast,13.12,1
544,belgium,62.59,1
545,belize,7.54,1
546,belton house,0.0,0
547,ben-hur (1959 film),0.0,0
548,ben jonson,28.0,0
549,ben nevis,30.0,0
550,bench language,0.0,0
551,benin,2.2,1
552,benito mussolini,10.4,1
553,benjamin britten,2.15,1
554,"benjamin disraeli, 1st earl of beaconsfield",8.0,0
555,benjamin franklin,132.0,0
556,benjamin harrison,7.0,1
557,benjamin mountfort,0.0,0
558,benjamin of tudela,0.0,0
559,benzene,5.33,1
560,berber languages,18.0,0
561,beriberi,20.0,0
562,berkelium,0.0,1
563,berlin,40.16,1
564,berlin wall,12.42,1
565,bermuda,12.96,1
566,bernard hinault,10.0,0
567,bertrand russell,1.8,1
568,beryllium,10.0,1
569,betelgeuse incident,0.0,0
570,bette davis,32.0,0
571,bhutan,4.89,1
572,bible,3.65,1
573,bicycle,52.0,0
574,bicycle thieves,20.0,0
575,big bang,31.61,1
576,bill clinton,9.25,1
577,bill gates,11.87,1
578,billie holiday,26.0,0
579,binary star,50.0,0
580,binoculars,74.0,0
581,binomial nomenclature,46.0,0
582,biodiesel,21.0,1
583,biodiversity,240.0,0
584,biofuel,112.0,0
585,bioinformatics,62.0,0
586,biology,161.35,1
587,bionicle  mask of light,0.0,0
588,biosphere,170.0,0
589,biotechnology,50.0,0
590,bird,27.68,1
591,bird migration,156.0,0
592,bird of prey,128.0,0
593,birmingham,1.84,1
594,birth control,64.0,0
595,bismuth,4.09,1
596,bison,6.86,1
597,bissau,48.0,1
598,björn borg,2.22,1
599,bjørnøya,4.0,0
600,black-backed jackal,20.0,0
601,black-footed cat,0.0,0
602,black-winged stilt,12.0,0
603,black death,106.0,0
604,black rhinoceros,20.0,0
605,black robin,0.0,0
606,black sea,18.4,1
607,black seminoles,8.0,0
608,black wildebeest,42.0,0
609,black hole,186.0,0
610,black panther,22.0,0
611,black pepper,40.0,0
612,black widow spider,0.0,0
613,blackbird,34.0,0
614,blackcap,12.0,0
615,blackjack,38.0,0
616,blackpool,16.0,0
617,blacktip reef shark,44.0,0
618,blade runner,34.0,0
619,blaise pascal,50.0,0
620,blitzkrieg,78.0,0
621,blokus,0.0,0
622,blood type,36.0,0
623,blue jay,14.0,0
624,blue peter,18.0,0
625,blue tit,0.0,0
626,blue whale,80.0,0
627,blue wildebeest,76.0,0
628,blue shark,76.0,0
629,bluegrass music,54.0,0
630,bluetooth,86.0,0
631,boa,20.0,0
632,board game,148.0,0
633,boat,68.0,0
634,bob dylan,3.53,1
635,bob marley,52.0,0
636,bobcat,20.0,0
637,body mass index,24.0,0
638,bodyline,6.67,1
639,boeing 747,68.0,0
640,bog,42.0,0
641,bogotá,15.71,1
642,bohemian rhapsody,28.0,0
643,bohor reedbuck,0.0,0
644,bohrium,60.0,1
645,bolivia,28.24,1
646,bologna,5.27,1
647,boltysh crater,8.0,0
648,bongo (antelope),8.0,0
649,bonobo,32.0,0
650,bontebok,6.0,0
651,booby,28.0,0
652,book,56.8,1
653,book of common prayer,7.62,1
654,book of kells,3.25,1
655,boolean logic,46.0,0
656,borage,10.0,0
657,boris becker,6.67,1
658,boron,7.27,1
659,bosnia and herzegovina,15.56,1
660,"boston, massachusetts",14.5,1
661,boston rfc,10.0,0
662,boston terrier,16.0,0
663,boston and lowell railroad,0.0,0
664,botany,15.43,1
665,botswana,9.12,1
666,bottlenose dolphin,27.0,1
667,boudica,28.0,0
668,boundary waters canoe area wilderness,22.0,0
669,bourbonnais train accident,0.0,0
670,bouvet island,22.0,1
671,box jellyfish,34.0,0
672,boy scout,8.0,0
673,boyle roche,2.0,0
674,brabantian,64.0,1
675,brabham,4.0,1
676,brachiosaurus,42.0,0
677,brahman,48.0,0
678,brain,2104.0,0
679,bran,66.0,0
680,brandon routh,8.0,0
681,brasília,7.2,1
682,brass instrument,62.0,0
683,bratislava,12.36,1
684,brazil,110.63,1
685,bread,9.24,1
686,breaker morant,12.0,0
687,bretton woods system,20.0,0
688,brian close,0.0,0
689,bridge,60.0,0
690,brighton,1.67,1
691,brisbane,6.92,1
692,bristol,10.5,1
693,british east india company,4.34,1
694,british empire,57.81,1
695,british english,180.0,0
696,british house of commons,112.0,0
697,british indian ocean territory,2.47,1
698,british isles,4.93,1
699,british isles (terminology),28.0,0
700,british virgin islands,36.0,1
701,british monarchy,362.0,0
702,britney spears,54.0,0
703,broadcasting,152.0,0
704,bromine,13.5,1
705,bronze age,2.73,1
706,brothers grimm,86.0,0
707,brown trout,22.0,0
708,bruce lee,14.0,0
709,bruce springsteen,40.0,0
710,brunei,2.91,1
711,brush,26.0,0
712,brussels,13.2,1
713,brute force attack,3.67,1
714,bryce canyon national park,10.0,0
715,btrieve,10.0,0
716,bucharest,17.27,1
717,buckingham palace,9.6,1
718,buckminster fuller,22.0,0
719,budapest,16.0,1
720,buddha,3.22,1
721,buddhism,15.55,1
722,buddhist art,32.0,0
723,buenos aires,18.0,1
724,buffy the vampire slayer,42.0,0
725,bulgaria,17.63,1
726,bull shark,50.0,0
727,burkina faso,3.05,1
728,burundi,5.14,1
729,bushbuck,6.0,0
730,bushpig,4.0,0
731,business,154.0,0
732,butter,118.0,0
733,button,36.0,0
734,byzantine empire,27.24,1
735,c++,5.6,1
736,cædmon,2.0,0
737,côte d'ivoire,2.9,1
738,c. s. lewis,5.56,1
739,cf7,0.0,0
740,cpu cache,40.0,0
741,cs gas,16.0,0
742,cactus,54.0,0
743,cadmium,11.56,1
744,caesar cipher,8.0,0
745,caesium,5.07,1
746,caesium fluoride,30.0,0
747,cai lun,14.0,0
748,cairo,39.0,1
749,calcite,24.0,0
750,calcium,4.77,1
751,calcium chloride,52.0,0
752,calculus,15.88,1
753,calgary,8.4,1
754,california,117.38,1
755,california southern railroad,4.0,0
756,californium,24.0,1
757,calligraphy,38.0,0
758,caloris basin,20.0,0
759,calvin coolidge,12.0,1
760,calvin and hobbes,50.0,0
761,camarasaurus,8.0,0
762,cambodia,13.0,1
763,cambrian,4.21,1
764,cambrian explosion,92.0,0
765,cambridge,8.31,1
766,camel,110.0,0
767,cameroon,4.55,1
768,canada,171.02,1
769,canada goose,52.0,0
770,canadian charter of rights and freedoms,42.0,0
771,canadian english,80.0,0
772,canadian house of commons,42.0,0
773,canadian pacific railway,56.0,0
774,canadian senate,36.0,0
775,canadian football,80.0,0
776,canal,124.0,0
777,canaletto,0.0,1
778,canberra,25.71,1
779,cancer,346.0,0
780,cane toad,26.0,0
781,canola,34.0,0
782,canterbury,3.16,1
783,canterbury cathedral,15.33,1
784,canute the great,26.0,0
785,capacitance,48.0,1
786,cape canaveral,40.0,0
787,cape horn,42.0,0
788,cape lion,20.0,0
789,cape porcupine,2.0,0
790,cape town,6.73,1
791,cape verde,2.33,1
792,capital,41.51,1
793,capitalism,10.54,1
794,capitoline triad,12.0,0
795,captain marvel (dc comics),4.0,0
796,caracas,10.4,1
797,caratacus,14.0,0
798,caravaggio,5.14,1
799,carbon,15.64,1
800,carbon dioxide,20.37,1
801,carboniferous,5.09,1
802,carcinus maenas,14.0,0
803,card game,56.0,0
804,cardiff,1.73,1
805,caribbean sea,354.0,0
806,carl friedrich gauss,236.0,0
807,carl g. fisher,0.0,0
808,carl jung,74.0,0
809,carl lewis,9.0,1
810,carl sagan,44.0,0
811,carlsbad caverns national park,10.0,0
812,carnivore,200.0,0
813,caroline island,24.0,0
814,"carolingian gospel book (british library, ms add. 11848)",0.0,0
815,carolus linnaeus,7.86,1
816,carrot,76.0,0
817,casablanca (film),10.0,0
818,casimir effect,32.0,0
819,caspian sea,5.57,1
820,cassini-huygens,4.67,1
821,cassowary,16.0,0
822,castra,4.0,1
823,cat,434.0,0
824,cat's eye nebula,2.0,0
825,cat stevens,10.0,0
826,cataract,44.0,0
827,cataract surgery,4.0,0
828,cathedral of magdeburg,8.0,0
829,catherine cranston,0.0,0
830,catherine ii of russia,14.0,0
831,catholic social teaching,32.0,0
832,cattle,236.0,0
833,cave,11.71,1
834,cayman islands,10.0,1
835,celeriac,8.0,0
836,celery,44.0,0
837,celine dion,42.0,0
838,cell (biology),400.0,0
839,cello,3.2,1
840,celtic f.c.,20.0,0
841,celtic park,10.0,1
842,celtic mythology,12.0,1
843,central african republic,7.48,1
844,central processing unit,134.0,0
845,ceratopsidae,28.0,1
846,cereal,380.0,0
847,cerebellum,106.0,0
848,ceres (dwarf planet),30.0,0
849,cerium,24.0,1
850,chad,8.71,1
851,chadian-sudanese conflict,8.0,0
852,chaffinch,16.0,0
853,channel islands,86.0,0
854,charlemagne,1.96,1
855,charles babbage,44.0,0
856,charles darwin,436.0,0
857,charles dickens,20.59,1
858,charles etienne brasseur de bourbourg,12.0,0
859,charles ii of england,68.0,0
860,charles i of england,14.86,1
861,charles sumner,22.0,0
862,"charles v, holy roman emperor",58.0,0
863,charlie chaplin,94.0,0
864,charlotte's web,2.0,0
865,chartism,16.0,0
866,che guevara,12.0,1
867,cheers,20.0,0
868,cheese,9.5,1
869,cheetah,98.0,0
870,chelsea f.c.,72.0,0
871,chemical element,10.88,1
872,chemical synapse,40.0,0
873,chemistry,74.44,1
874,chennai,24.0,0
875,chepstow bridge,0.0,0
876,chernobyl disaster,34.0,0
877,chess,150.0,0
878,chester a. arthur,54.0,1
879,chestnut,60.0,0
880,chew magna,20.0,0
881,chew stoke,16.0,0
882,chew valley,16.0,0
883,chew valley lake,36.0,0
884,chicago,25.94,1
885,chicago bears,46.0,0
886,chicago and north western railway,16.0,0
887,chicken,158.0,0
888,child,82.0,0
889,children's crusade,12.0,0
890,children's rights movement,18.0,0
891,chile,18.97,1
892,chiltern hills,0.0,0
893,chimpanzee,160.0,0
894,china,140.52,1
895,chinese rites controversy,0.0,0
896,chinese language,228.0,0
897,chinyingi,12.0,0
898,chives,32.0,0
899,chlorine,9.9,1
900,chocolate,9.24,1
901,chola dynasty,28.0,0
902,cholera,1.64,1
903,chordate,306.0,0
904,chris evert,7.2,1
905,christian bale,18.0,0
906,christian monasticism,26.0,0
907,christianity,122.49,1
908,christina aguilera,34.0,0
909,christmas island,3.46,1
910,christopher columbus,4.0,1
911,christopher wren,18.0,0
912,chromatic aberration,16.0,0
913,chromatophore,24.0,0
914,chromium,6.48,1
915,church of england,20.41,1
916,church of ireland,58.0,0
917,cicely,0.0,0
918,cider,54.0,0
919,cinema of the united states,294.0,0
920,citizen kane,20.0,0
921,citizenship,24.67,1
922,citrus,23.74,1
923,city,24.73,1
924,city status in the united kingdom,82.0,0
925,civil war token,0.0,0
926,civil rights,74.0,0
927,civil society,4.91,1
928,civilization,518.0,0
929,civilization (computer game),22.0,0
930,clarinet,4.95,1
931,classic female blues,18.0,0
932,claude lévi-strauss,10.0,0
933,claude monet,7.0,1
934,claudius,36.0,0
935,clay,74.0,0
936,cleopatra vii,86.0,0
937,cleopatra vii of egypt,2.0,0
938,"cleveland, ohio",44.0,0
939,clifton suspension bridge,24.0,0
940,climate,7.87,1
941,climate change,278.0,0
942,clock,104.0,0
943,clone wars (star wars),20.0,0
944,clothing,10.29,1
945,cloud,212.0,0
946,coal,2.18,1
947,coal tit,0.0,0
948,cobalt,6.48,1
949,coccinellidae,42.0,0
950,cochineal,10.0,0
951,cockatiel,16.0,0
952,cocoa,148.0,0
953,coconut,110.0,0
954,coconut crab,44.0,0
955,coconut oil,30.0,0
956,cocos (keeling) islands,1.59,1
957,cod,74.0,0
958,code of hammurabi,32.0,0
959,coffee,180.0,0
960,coin,140.0,0
961,cold war,19.16,1
962,colditz castle,2.0,0
963,colima (volcano),18.0,0
964,collapse of the world trade center,30.0,0
965,colley cibber,1.09,1
966,cologne,6.67,1
967,colombia,21.67,1
968,colombo,13.71,1
969,color,342.0,0
970,color graphics adapter,0.0,0
971,color blindness,92.0,0
972,colorado river,4.0,1
973,colossus of rhodes,6.0,0
974,columba,2.25,1
975,columbia river,42.0,0
976,columbine high school massacre,32.0,0
977,"columbus, ohio",46.0,0
978,comet,37.43,1
979,comet hale-bopp,56.0,0
980,comet halley,48.0,0
981,comet hyakutake,20.0,0
982,comet shoemaker-levy 9,44.0,0
983,comet white-ortiz-bolelli,2.0,0
984,comics,78.0,0
985,comma johanneum,4.0,0
986,commodore 64,8.62,1
987,common basilisk,0.0,0
988,common cuckoo,16.0,0
989,common eider,0.0,0
