,link,#_clicks_norm,in_image
0,áedán mac gabráin,0.0,0
1,åland,1.0,1
2,édouard manet,0.6,1
3,éire,2.0,0
4,óengus i of the picts,0.0,0
5,€2 commemorative coins,2.0,0
6,10th century,132.0,0
7,11th century,5.66,1
8,12th century,190.0,0
9,13th century,5.56,1
10,14th century,218.0,0
11,15th marine expeditionary unit,12.0,0
12,15th century,4.09,1
13,16 cygni,10.0,0
14,16 cygni bb,24.0,0
15,16th century,7.15,1
16,1755 lisbon earthquake,24.0,0
17,17th century,208.0,0
18,1896 summer olympics,48.0,0
19,18th century,5.18,1
20,1928 okeechobee hurricane,24.0,0
21,1973 oil crisis,50.0,0
22,1980 eruption of mount st. helens,20.0,0
23,1997 pacific hurricane season,0.0,0
24,19th century,3.06,1
25,1 ceres,128.0,0
26,1st century,78.0,0
27,1st century bc,100.0,0
28,2-6-0,4.0,0
29,2-8-0,6.0,0
30,2003 atlantic hurricane season,38.4,1
31,2004 atlantic hurricane season,64.0,1
32,2004 indian ocean earthquake,88.0,0
33,2005 atlantic hurricane season,146.25,1
34,2005 hertfordshire oil storage terminal fire,8.0,0
35,2005 kashmir earthquake,14.0,0
36,2005 lake tanganyika earthquake,0.0,0
37,2005 sumatra earthquake,30.0,0
38,20th century,8.22,1
39,21st century,176.0,0
40,2nd century,70.0,0
41,3 juno,40.0,0
42,3rd century,80.0,0
43,4-2-0,2.5,1
44,4-4-0,24.0,0
45,4-6-0,12.0,0
46,47 ursae majoris,14.0,0
47,47 ursae majoris b,16.0,0
48,47 ursae majoris c,4.0,0
49,4 vesta,40.0,0
50,4th century,100.0,0
51,55 cancri,42.0,0
52,55 cancri b,10.0,0
53,55 cancri c,34.0,0
54,55 cancri d,10.0,0
55,55 cancri e,12.0,0
56,5th century,164.0,0
57,6-2-0,10.0,0
58,6th century,150.0,0
59,7th century,112.0,0
60,8th century,120.0,0
61,90377 sedna,16.0,0
62,9th century,3.51,1
63,a. e. j. collins,0.0,0
64,abo blood group system,18.0,0
65,ac dc,0.0,0
66,aids,18.82,1
67,ak-47,46.0,0
68,alco fa,16.0,0
69,ascii,78.0,0
70,at&t,74.0,0
71,atlas experiment,10.0,0
72,a christmas carol,68.0,0
73,a tale of a tub,14.0,0
74,a wrinkle in time,0.0,0
75,a cappella,52.0,0
76,aachen,22.0,0
77,aardvark,32.0,0
78,aarhus,44.0,0
79,abacá,0.0,0
80,abacus,66.0,0
81,abadan,8.0,0
82,abbadid,2.0,0
83,abbas i of persia,0.0,0
84,abbasid,34.0,0
85,abbey,40.0,0
86,abbey theatre,30.0,0
87,abbot,32.0,0
88,abel tasman,18.0,0
89,aberdeen,1.82,1
90,aberration of light,16.0,0
91,aberystwyth,6.0,1
92,abhidhamma pitaka,16.0,0
93,abidjan,13.5,1
94,abkhazia,4.29,1
95,able archer 83,28.0,0
96,abraham goldfaden,0.0,0
97,abraham lincoln,12.34,1
98,absinthe,38.0,0
99,absolute zero,70.0,0
100,abstract art,60.0,0
101,abu dhabi,12.0,1
102,abuja,9.78,1
103,acceleration,104.0,0
104,accountancy,36.0,0
105,accra,9.14,1
106,acetic acid,11.33,1
107,acetone,133.33,1
108,achilles,168.0,0
109,achilles tendon,108.0,0
110,acid rain,132.0,0
111,acorn computers,18.0,0
112,actinium,12.8,1
113,action potential,50.0,0
114,actor,55.11,1
115,acts of union 1707,36.0,0
116,actuary,0.0,0
117,adam smith,1.3,1
118,addis ababa,6.5,1
119,adelaide,7.5,1
120,adenosine triphosphate,66.0,0
121,adi shankara,0.0,0
122,adolf hitler,87.89,1
123,adriaen van der donck,0.0,0
124,advertising,4.47,1
125,aesthetics,13.14,1
126,afghan hound,18.0,0
127,afghanistan,10.78,1
128,africa,69.65,1
129,african american literature,28.0,0
130,african black oystercatcher,0.0,0
131,african brush-tailed porcupine,4.0,0
132,african buffalo,14.0,0
133,african darter,10.0,0
134,african great lakes,76.0,0
135,african grey hornbill,6.0,0
136,african grey parrot,36.0,0
137,african jacana,0.0,0
138,african penguin,31.0,1
139,african union,5.73,1
140,african wild dog,30.0,0
141,african clawed frog,26.0,0
142,african dwarf frog,40.0,0
143,african slave trade,54.0,0
144,afrikaans,2.6,1
145,agamemnon,2.71,1
146,age of enlightenment,238.0,0
147,aggregator,22.0,0
148,agnosticism,64.0,0
149,agriculture,1658.0,0
150,airbus,54.0,0
151,airbus a380,6.89,1
152,aircraft,22.83,1
153,aircraft carrier,86.0,0
154,airship,76.0,0
155,ajax (programming),12.0,0
156,akbar,1.11,1
157,akhenaten,26.0,0
158,akira kurosawa,4.5,1
159,akkadian empire,28.0,0
160,akrotiri and dhekelia,10.0,1
161,aksumite currency,12.0,0
162,al jazeera,36.0,0
163,alamosaurus,0.0,0
164,alan turing,46.0,0
165,albania,8.88,1
166,albatross,64.0,0
167,albert einstein,20.1,1
168,alberto santos-dumont,4.0,0
169,albertosaurus,0.0,0
170,albigensian crusade,22.0,0
171,albinism,32.0,0
172,albrecht dürer,3.0,1
173,albrecht rodenbach,0.0,0
174,alchemy,232.0,0
175,alcibiades,14.0,0
176,alcohol,5.07,1
177,aleksandr pushkin,22.0,0
178,aleksandr vasilevsky,8.0,1
179,aleksey arakcheyev,0.0,0
180,alexander graham bell,168.0,0
181,alexander hamilton,2.09,1
182,alexander the great,214.0,0
183,alfred hitchcock,50.0,0
184,alfred nobel,54.0,0
185,alfred the great,6.82,1
186,algebra,176.0,0
187,algeria,12.08,1
188,algerian civil war,20.0,0
189,algiers,12.0,1
190,algol,24.0,0
191,algoma central railway,0.0,0
192,algorithm,130.0,0
193,alice's adventures in wonderland,38.0,0
194,all blacks,58.0,0
195,all you need is love (the jams song),0.0,0
196,all your base are belong to us,0.0,0
197,allah,16.59,1
198,allegory in the middle ages,24.0,0
199,alligator,50.0,0
200,alliterative verse,16.0,0
201,allosaurus,32.0,0
202,almaty,9.0,1
203,almond,60.0,0
204,alpaca,76.0,0
205,alphabet,7.47,1
206,alternating current,70.0,0
207,alternation of generations,14.0,0
208,alternative rock,37.85,1
209,aluminium,11.76,1
210,aluminium chloride,144.0,0
211,alzheimer's disease,84.0,0
212,amaranth oil,4.0,0
213,"amarillo, texas",12.0,0
214,amazon basin,74.0,0
215,amazon rainforest,178.0,0
216,amazon river,178.0,0
217,amazon parrot,70.0,0
218,amber,48.0,0
219,amda seyon i,0.0,0
220,american civil war,10.25,1
221,american english,10.08,1
222,american revolutionary war,184.0,0
223,american samoa,10.91,1
224,american football,5.5,1
225,american popular music,108.0,0
226,americium,12.0,1
227,amish,26.0,0
228,ammolite,20.0,0
229,ammonia,6.9,1
230,ammonite,20.0,0
231,ammosaurus,22.0,0
232,amsterdam,22.42,1
233,amtrak,4.38,1
234,amur,24.0,0
235,anaconda,76.0,0
236,analytical marxism,56.0,1
237,anarchism,14.55,1
238,anarcho-capitalism,28.0,0
239,anatomy,7.58,1
240,ancient egypt,22.81,1
241,ancient greece,140.5,1
242,ancient rome,774.0,0
243,ancient history,36.0,0
244,andes,4.26,1
245,andorra,4.67,1
246,andrés nocioni,2.0,0
247,andrew carnegie,24.0,0
248,andrew dickson white,8.0,0
249,andrew gonzalez,0.0,0
250,andrew jackson,3.8,1
251,andrew johnson,6.0,1
252,andrew robinson,16.0,0
253,andriyivskyy descent,7.0,1
254,andromeda galaxy,64.0,0
255,andy warhol,6.67,1
256,anemia,54.0,0
257,angel shark,36.0,0
258,angelica,24.0,0
259,angkor,30.0,0
260,angkor wat,34.0,0
261,anglican church of australia,24.0,0
262,anglican communion,27.35,1
263,anglicanism,43.71,1
264,anglo-saxon literature,14.0,0
265,angola,6.0,1
266,anguilla,5.71,1
267,animal,2408.0,0
268,animal law,40.0,0
269,animal rights,6.88,1
270,animation,73.0,1
271,ankylosaurus,18.0,0
272,"ann arbor, michigan",10.0,0
273,anna karenina,22.0,0
274,anne frank,118.0,0
275,anne of great britain,40.0,0
276,annibale bugnini,0.0,0
277,anno domini,68.0,0
278,anschluss,32.0,0
279,ant,32.4,1
280,antananarivo,38.0,1
281,antarctic treaty system,22.0,0
282,antarctic krill,52.0,0
283,antarctica,15.09,1
284,antarctosaurus,0.0,0
285,anteater,32.0,0
286,antelope,80.0,0
287,anthony van dyck,8.0,1
288,anthropology,4.54,1
289,antigua and barbuda,4.67,1
290,antimony,2.25,1
291,antlion,42.0,0
292,antoine lavoisier,52.0,0
293,antonín dvořák,2.0,0
294,anton alexander von werner,0.0,0
295,antonio vivaldi,30.0,0
296,antwerp,3.17,1
297,apaochi,10.0,0
298,apatosaurus,54.0,0
299,ape,170.0,0
300,aphid,12.0,1
301,apollo,2.51,1
302,apollo 11,33.33,1
303,apollo 8,100.0,0
304,apostolic succession,12.0,1
305,apple,358.0,0
306,applied mathematics,100.0,0
307,apricot,66.0,0
308,aquarium,158.0,0
309,arab-israeli conflict,22.86,1
310,arab league,7.29,1
311,arabic language,362.0,0
312,arable land,40.0,0
313,"aradia, or the gospel of the witches",0.0,0
314,aral sea,2.4,1
315,arcadia (play),2.0,0
316,archaeoastronomy,18.0,0
317,archaeology,304.0,0
318,archaeopteryx,58.0,0
319,archbishop of canterbury,23.86,1
320,archimedes,54.0,0
321,architecture,4.74,1
322,architecture of windows nt,0.0,0
323,architecture of the california missions,0.0,0
324,arctic,15.16,1
325,arctic circle,98.0,0
326,arctic monkeys,80.0,0
327,arctic ocean,28.34,1
328,arctic tern,30.0,0
329,arecaceae,42.0,1
330,argan,22.0,0
331,argentina,57.05,1
332,argon,27.6,1
333,argyle diamond mine,16.0,0
334,ariel sharon,8.0,1
335,aristarchus (crater),6.0,0
336,aristotle,44.46,1
337,arithmetic,21.04,1
338,armadillo,44.0,0
339,"armand jean du plessis, cardinal richelieu",4.0,0
340,armenia,4.41,1
341,armia krajowa,6.0,0
342,arnold schwarzenegger,13.33,1
343,arp2 3 complex,0.0,0
344,ars moriendi,6.0,0
345,arsenal f.c.,32.0,0
346,arsenic,4.86,1
347,art,17.21,1
348,arthropod,102.0,0
349,arthur ernest percival,0.0,0
350,arthur sullivan,8.0,0
351,arthur upfield,0.0,0
352,"arthur wellesley, 1st duke of wellington",9.0,1
353,arts and crafts,22.0,0
354,aruba,6.11,1
355,arugula,16.0,0
356,ascariasis,12.0,0
357,asia,29.66,1
358,asp (reptile),0.0,0
359,asparagus,60.0,0
360,asperger syndrome,18.0,0
361,assyria,28.0,0
362,astatine,10.4,1
363,asteroid,66.69,1
364,asthma,54.0,0
365,astrology,3.0,1
366,astronomy,35.6,1
367,astrophysics data system,0.0,0
368,asunción,18.67,1
369,ateneo de manila university,0.0,0
370,athanasius kircher,12.0,0
371,atheism,4.3,1
372,athena,136.0,0
373,athens,97.56,1
374,athletics (track and field),26.0,0
375,"atlanta, georgia",58.0,0
376,atlantic coast line railroad,20.0,0
377,atlantic ocean,84.86,1
378,atlantic herring,0.0,0
379,atlantic slave trade,20.75,1
380,atlantis,32.0,0
